round,comm_costs
1,58280
2,58280
3,58280
4,58280
5,58280
6,58280
7,58280
8,58280
9,58280
10,58280
11,58280
12,58280
13,58280
14,58280
15,58280
16,58280
17,58280
18,58280
19,58280
20,58280
21,58280
22,58280
23,58280
24,58280
25,58280
26,58280
27,58280
28,58280
29,58280
30,58280
31,58280
32,58280
33,58280
34,58280
35,58280
36,58280
37,58280
38,58280
39,58280
40,58280
41,58280
42,58280
43,58280
44,58280
45,58280
46,58280
47,58280
48,58280
49,58280
50,87420
