round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.49757,0.49711,0.49806,0.45247,0.49757,0.49757,0.49757
2,0.49421,0.49405,0.49412,0.49262,0.49421,0.49421,0.49421
3,0.4965,0.49654,0.49655,0.49605,0.4965,0.4965,0.4965
4,0.50114,0.50114,0.50114,0.50114,0.50114,0.50114,0.50114
5,0.50679,0.50676,0.50673,0.50618,0.50679,0.50679,0.50679
6,0.50543,0.50558,0.50521,0.49689,0.50543,0.50543,0.50543
7,0.51779,0.51784,0.51782,0.51764,0.51779,0.51779,0.51779
8,0.52564,0.52593,0.52572,0.52473,0.52564,0.52564,0.52564
9,0.53329,0.53346,0.53334,0.53288,0.53329,0.53329,0.53329
10,0.54164,0.54174,0.54159,0.5412,0.54164,0.54164,0.54164
11,0.55236,0.55495,0.55254,0.54747,0.55236,0.55236,0.55236
12,0.56057,0.56238,0.56042,0.55702,0.56057,0.56057,0.56057
13,0.57329,0.57543,0.57314,0.56994,0.57329,0.57329,0.57329
14,0.57943,0.58475,0.57921,0.57234,0.57943,0.57943,0.57943
15,0.59686,0.60023,0.5967,0.59321,0.59686,0.59686,0.59686
16,0.6265,0.62689,0.62655,0.62626,0.6265,0.6265,0.6265
17,0.61221,0.62211,0.61197,0.60389,0.61221,0.61221,0.61221
18,0.65693,0.65694,0.65693,0.65693,0.65693,0.65693,0.65693
19,0.64021,0.68108,0.64062,0.61909,0.64021,0.64021,0.64021
20,0.67214,0.68808,0.67239,0.66524,0.67214,0.67214,0.67214
21,0.6855,0.68552,0.68549,0.68548,0.6855,0.6855,0.6855
22,0.6775,0.68047,0.67739,0.67608,0.6775,0.6775,0.6775
23,0.68493,0.6863,0.68485,0.68429,0.68493,0.68493,0.68493
24,0.68764,0.69013,0.68754,0.68654,0.68764,0.68764,0.68764
25,0.68914,0.70386,0.68937,0.68359,0.68914,0.68914,0.68914
26,0.69579,0.70451,0.69596,0.69263,0.69579,0.69579,0.69579
27,0.69329,0.70737,0.69351,0.68814,0.69329,0.69329,0.69329
28,0.69786,0.69905,0.69779,0.69736,0.69786,0.69786,0.69786
29,0.65136,0.70135,0.65178,0.62866,0.65136,0.65136,0.65136
30,0.69407,0.69762,0.69396,0.69261,0.69407,0.69407,0.69407
31,0.70214,0.70227,0.70212,0.70208,0.70214,0.70214,0.70214
32,0.70286,0.70343,0.7029,0.70268,0.70286,0.70286,0.70286
33,0.67979,0.69284,0.67956,0.6741,0.67979,0.67979,0.67979
34,0.70036,0.7015,0.70029,0.69989,0.70036,0.70036,0.70036
35,0.70414,0.70521,0.7042,0.7038,0.70414,0.70414,0.70414
36,0.69957,0.70379,0.69969,0.69809,0.69957,0.69957,0.69957
37,0.7045,0.70503,0.70454,0.70434,0.7045,0.7045,0.7045
38,0.70464,0.70466,0.70465,0.70464,0.70464,0.70464,0.70464
39,0.69686,0.70454,0.69702,0.6941,0.69686,0.69686,0.69686
40,0.69664,0.70533,0.69682,0.69352,0.69664,0.69664,0.69664
41,0.70286,0.703,0.70283,0.70279,0.70286,0.70286,0.70286
42,0.67571,0.69231,0.67546,0.66837,0.67571,0.67571,0.67571
43,0.70471,0.70476,0.70473,0.70471,0.70471,0.70471,0.70471
44,0.703,0.70427,0.70307,0.70258,0.703,0.703,0.703
45,0.6935,0.70462,0.6937,0.68942,0.6935,0.6935,0.6935
46,0.704,0.70494,0.70406,0.7037,0.704,0.704,0.704
47,0.70479,0.70479,0.70479,0.70479,0.70479,0.70479,0.70479
48,0.69621,0.69941,0.6961,0.69492,0.69621,0.69621,0.69621
49,0.70414,0.70588,0.70422,0.70357,0.70414,0.70414,0.70414
50,0.69164,0.69956,0.69147,0.68843,0.69164,0.69164,0.69164
