round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.49186,0.49188,0.49191,0.49134,0.49186,0.49186,0.49186
1,1,0.50036,0.50034,0.50034,0.50028,0.50036,0.50036,0.50036
1,2,0.48907,0.489,0.48918,0.48709,0.48907,0.48907,0.48907
1,3,0.49586,0.49512,0.49559,0.48328,0.49586,0.49586,0.49586
1,4,0.49307,0.49096,0.4927,0.46731,0.49307,0.49307,0.49307
1,5,0.49779,0.49787,0.49792,0.49465,0.49779,0.49779,0.49779
1,6,0.53071,0.53273,0.53092,0.52422,0.53071,0.53071,0.53071
1,7,0.498,0.49732,0.49768,0.48027,0.498,0.498,0.498
1,8,0.49279,0.49281,0.49281,0.49266,0.49279,0.49279,0.49279
1,9,0.49507,0.49453,0.49486,0.48729,0.49507,0.49507,0.49507
2,0,0.49314,0.49262,0.49296,0.48715,0.49314,0.49314,0.49314
2,1,0.49336,0.49312,0.49358,0.48493,0.49336,0.49336,0.49336
2,2,0.49379,0.49161,0.49339,0.4652,0.49379,0.49379,0.49379
2,3,0.49179,0.49173,0.49191,0.48897,0.49179,0.49179,0.49179
2,4,0.4935,0.49162,0.49314,0.46931,0.4935,0.4935,0.4935
2,5,0.49471,0.49471,0.49471,0.49471,0.49471,0.49471,0.49471
2,6,0.49379,0.49355,0.49367,0.49136,0.49379,0.49379,0.49379
2,7,0.49364,0.49319,0.49347,0.48836,0.49364,0.49364,0.49364
2,8,0.49436,0.49438,0.49439,0.49423,0.49436,0.49436,0.49436
2,9,0.49414,0.49386,0.49401,0.49101,0.49414,0.49414,0.49414
3,0,0.4955,0.49541,0.49572,0.48688,0.4955,0.4955,0.4955
3,1,0.49743,0.49487,0.49689,0.44212,0.49743,0.49743,0.49743
3,2,0.49621,0.49623,0.49639,0.49067,0.49621,0.49621,0.49621
3,3,0.49436,0.49437,0.49447,0.49205,0.49436,0.49436,0.49436
3,4,0.49593,0.49597,0.49598,0.49547,0.49593,0.49593,0.49593
3,5,0.49714,0.4971,0.49711,0.4969,0.49714,0.49714,0.49714
3,6,0.49836,0.49834,0.49835,0.49833,0.49836,0.49836,0.49836
3,7,0.5,0.50064,0.50046,0.46202,0.5,0.5,0.5
3,8,0.49529,0.49532,0.49539,0.49329,0.49529,0.49529,0.49529
3,9,0.49371,0.49282,0.49346,0.48204,0.49371,0.49371,0.49371
4,0,0.49936,0.49957,0.4996,0.48923,0.49936,0.49936,0.49936
4,1,0.4965,0.49605,0.49629,0.48863,0.4965,0.4965,0.4965
4,2,0.50007,0.49996,0.49996,0.49807,0.50007,0.50007,0.50007
4,3,0.49664,0.49591,0.49636,0.48232,0.49664,0.49664,0.49664
4,4,0.49921,0.49907,0.49909,0.49637,0.49921,0.49921,0.49921
4,5,0.49893,0.49908,0.49913,0.49207,0.49893,0.49893,0.49893
4,6,0.50107,0.50172,0.50143,0.47901,0.50107,0.50107,0.50107
4,7,0.50171,0.50171,0.50171,0.50171,0.50171,0.50171,0.50171
4,8,0.50007,0.50044,0.50038,0.48354,0.50007,0.50007,0.50007
4,9,0.5005,0.49982,0.49991,0.43254,0.5005,0.5005,0.5005
5,0,0.50071,0.50039,0.5003,0.46981,0.50071,0.50071,0.50071
5,1,0.50407,0.50632,0.50453,0.46646,0.50407,0.50407,0.50407
5,2,0.49979,0.49907,0.49933,0.4615,0.49979,0.49979,0.49979
5,3,0.50186,0.50176,0.50169,0.49685,0.50186,0.50186,0.50186
5,4,0.50493,0.50613,0.50525,0.48669,0.50493,0.50493,0.50493
5,5,0.501,0.50078,0.50064,0.47755,0.501,0.501,0.501
5,6,0.50293,0.50287,0.50276,0.49781,0.50293,0.50293,0.50293
5,7,0.50014,0.49955,0.49968,0.46097,0.50014,0.50014,0.50014
5,8,0.50436,0.50595,0.50474,0.47809,0.50436,0.50436,0.50436
5,9,0.50571,0.50568,0.50563,0.50455,0.50571,0.50571,0.50571
6,0,0.50429,0.50493,0.50389,0.47663,0.50429,0.50429,0.50429
6,1,0.50421,0.51179,0.5035,0.39789,0.50421,0.50421,0.50421
6,2,0.50664,0.50681,0.50644,0.49982,0.50664,0.50664,0.50664
6,3,0.50393,0.50902,0.50324,0.40883,0.50393,0.50393,0.50393
6,4,0.50671,0.50705,0.50686,0.50334,0.50671,0.50671,0.50671
6,5,0.50471,0.50498,0.50443,0.49053,0.50471,0.50471,0.50471
6,6,0.511,0.51105,0.51103,0.51083,0.511,0.511,0.511
6,7,0.5075,0.50763,0.50733,0.50246,0.5075,0.5075,0.5075
6,8,0.51021,0.5102,0.51017,0.50987,0.51021,0.51021,0.51021
6,9,0.50793,0.50888,0.50817,0.49798,0.50793,0.50793,0.50793
7,0,0.50621,0.50874,0.50571,0.45902,0.50621,0.50621,0.50621
7,1,0.516,0.51616,0.51589,0.51392,0.516,0.516,0.516
7,2,0.51564,0.51914,0.51599,0.49505,0.51564,0.51564,0.51564
7,3,0.51514,0.51528,0.51504,0.51318,0.51514,0.51514,0.51514
7,4,0.5155,0.5159,0.51562,0.51337,0.5155,0.5155,0.5155
7,5,0.51293,0.51412,0.51315,0.50458,0.51293,0.51293,0.51293
7,6,0.51707,0.51709,0.51708,0.51705,0.51707,0.51707,0.51707
7,7,0.51429,0.51502,0.51445,0.50971,0.51429,0.51429,0.51429
7,8,0.51014,0.51072,0.50991,0.50053,0.51014,0.51014,0.51014
7,9,0.51407,0.51592,0.51434,0.50187,0.51407,0.51407,0.51407
8,0,0.51871,0.5197,0.5185,0.51116,0.51871,0.51871,0.51871
8,1,0.52529,0.52537,0.52532,0.52507,0.52529,0.52529,0.52529
8,2,0.52186,0.52436,0.52212,0.51072,0.52186,0.52186,0.52186
8,3,0.52107,0.52188,0.52089,0.51552,0.52107,0.52107,0.52107
8,4,0.52164,0.52553,0.52196,0.50451,0.52164,0.52164,0.52164
8,5,0.52514,0.52521,0.52518,0.52499,0.52514,0.52514,0.52514
8,6,0.52414,0.52456,0.52402,0.52142,0.52414,0.52414,0.52414
8,7,0.52236,0.52334,0.52252,0.51817,0.52236,0.52236,0.52236
8,8,0.5235,0.52349,0.52349,0.52348,0.5235,0.5235,0.5235
8,9,0.52029,0.52431,0.52062,0.50153,0.52029,0.52029,0.52029
9,0,0.52957,0.53207,0.5298,0.52121,0.52957,0.52957,0.52957
9,1,0.52207,0.52544,0.52174,0.50388,0.52207,0.52207,0.52207
9,2,0.5315,0.53573,0.53179,0.51833,0.5315,0.5315,0.5315
9,3,0.524,0.53148,0.52441,0.49589,0.524,0.524,0.524
9,4,0.51479,0.52525,0.51422,0.45494,0.51479,0.51479,0.51479
9,5,0.52629,0.53587,0.52672,0.49424,0.52629,0.52629,0.52629
9,6,0.52607,0.5344,0.52648,0.49734,0.52607,0.52607,0.52607
9,7,0.52264,0.52724,0.52228,0.49965,0.52264,0.52264,0.52264
9,8,0.5265,0.52832,0.52627,0.51766,0.5265,0.5265,0.5265
9,9,0.53207,0.53255,0.53196,0.52987,0.53207,0.53207,0.53207
10,0,0.5395,0.54468,0.53978,0.52667,0.5395,0.5395,0.5395
10,1,0.52986,0.53618,0.52949,0.50688,0.52986,0.52986,0.52986
10,2,0.52007,0.53462,0.51951,0.46093,0.52007,0.52007,0.52007
10,3,0.52964,0.53571,0.52928,0.50727,0.52964,0.52964,0.52964
10,4,0.53779,0.55059,0.53821,0.50788,0.53779,0.53779,0.53779
10,5,0.53386,0.53776,0.53357,0.52041,0.53386,0.53386,0.53386
10,6,0.52179,0.53356,0.52127,0.47327,0.52179,0.52179,0.52179
10,7,0.53807,0.54833,0.53846,0.51342,0.53807,0.53807,0.53807
10,8,0.53979,0.54116,0.53993,0.5364,0.53979,0.53979,0.53979
10,9,0.54214,0.54234,0.54219,0.54177,0.54214,0.54214,0.54214
11,0,0.55321,0.55323,0.55322,0.55321,0.55321,0.55321,0.55321
11,1,0.54843,0.56512,0.54886,0.51858,0.54843,0.54843,0.54843
11,2,0.55243,0.55248,0.5524,0.55224,0.55243,0.55243,0.55243
11,3,0.55386,0.55393,0.55388,0.55378,0.55386,0.55386,0.55386
11,4,0.55107,0.55824,0.55137,0.53756,0.55107,0.55107,0.55107
11,5,0.55379,0.55378,0.55378,0.55378,0.55379,0.55379,0.55379
11,6,0.55136,0.56096,0.55169,0.5338,0.55136,0.55136,0.55136
11,7,0.55193,0.55194,0.55191,0.55184,0.55193,0.55193,0.55193
11,8,0.552,0.55747,0.55226,0.54173,0.552,0.552,0.552
11,9,0.55093,0.56337,0.5513,0.52866,0.55093,0.55093,0.55093
12,0,0.54871,0.61118,0.54935,0.47623,0.54871,0.54871,0.54871
12,1,0.56086,0.56272,0.5607,0.55724,0.56086,0.56086,0.56086
12,2,0.51321,0.55654,0.51246,0.39479,0.51321,0.51321,0.51321
12,3,0.55307,0.55955,0.55278,0.53987,0.55307,0.55307,0.55307
12,4,0.56471,0.5738,0.56501,0.55149,0.56471,0.56471,0.56471
12,5,0.56364,0.56369,0.56361,0.5635,0.56364,0.56364,0.56364
12,6,0.56107,0.56266,0.56093,0.55796,0.56107,0.56107,0.56107
12,7,0.5525,0.55898,0.55221,0.53915,0.5525,0.5525,0.5525
12,8,0.56021,0.56143,0.56009,0.55774,0.56021,0.56021,0.56021
12,9,0.51114,0.55786,0.51037,0.38432,0.51114,0.51114,0.51114
13,0,0.57014,0.60392,0.57063,0.53296,0.57014,0.57014,0.57014
13,1,0.5735,0.60681,0.57398,0.53823,0.5735,0.5735,0.5735
13,2,0.57479,0.57655,0.57465,0.57207,0.57479,0.57479,0.57479
13,3,0.56529,0.57153,0.56503,0.55506,0.56529,0.56529,0.56529
13,4,0.52657,0.55915,0.52593,0.44883,0.52657,0.52657,0.52657
13,5,0.5535,0.57022,0.55308,0.52426,0.5535,0.5535,0.5535
13,6,0.58129,0.58286,0.5814,0.57948,0.58129,0.58129,0.58129
13,7,0.55321,0.57055,0.55278,0.52297,0.55321,0.55321,0.55321
13,8,0.572,0.57406,0.57185,0.56871,0.572,0.572,0.572
13,9,0.52114,0.56648,0.52043,0.42035,0.52114,0.52114,0.52114
14,0,0.58829,0.62137,0.58873,0.55882,0.58829,0.58829,0.58829
14,1,0.55686,0.57795,0.55641,0.52374,0.55686,0.55686,0.55686
14,2,0.55421,0.57731,0.55374,0.51719,0.55421,0.55421,0.55421
14,3,0.52564,0.58194,0.52493,0.42526,0.52564,0.52564,0.52564
14,4,0.589,0.61965,0.58943,0.5615,0.589,0.589,0.589
14,5,0.53514,0.57621,0.53451,0.46108,0.53514,0.53514,0.53514
14,6,0.59771,0.6075,0.59797,0.58871,0.59771,0.59771,0.59771
14,7,0.54307,0.57484,0.54251,0.48742,0.54307,0.54307,0.54307
14,8,0.57814,0.58409,0.57791,0.57014,0.57814,0.57814,0.57814
14,9,0.56079,0.5788,0.56037,0.53331,0.56079,0.56079,0.56079
15,0,0.60871,0.60919,0.60877,0.60836,0.60871,0.60871,0.60871
15,1,0.61279,0.61351,0.61285,0.61225,0.61279,0.61279,0.61279
15,2,0.61507,0.61909,0.61523,0.61198,0.61507,0.61507,0.61507
15,3,0.55186,0.59052,0.55129,0.49709,0.55186,0.55186,0.55186
15,4,0.588,0.59684,0.58774,0.57797,0.588,0.588,0.588
15,5,0.55621,0.58896,0.55569,0.51015,0.55621,0.55621,0.55621
15,6,0.57371,0.59106,0.57334,0.55174,0.57371,0.57371,0.57371
15,7,0.60171,0.60368,0.60159,0.59965,0.60171,0.60171,0.60171
15,8,0.55486,0.58825,0.55433,0.50724,0.55486,0.55486,0.55486
15,9,0.60879,0.63459,0.60916,0.58955,0.60879,0.60879,0.60879
16,0,0.63,0.63951,0.63022,0.62382,0.63,0.63,0.63
16,1,0.58007,0.6523,0.58066,0.52442,0.58007,0.58007,0.58007
16,2,0.58557,0.60314,0.58521,0.56659,0.58557,0.58557,0.58557
16,3,0.62979,0.65201,0.63011,0.61608,0.62979,0.62979,0.62979
16,4,0.52136,0.61058,0.52058,0.39851,0.52136,0.52136,0.52136
16,5,0.6215,0.62262,0.62142,0.62054,0.6215,0.6215,0.6215
16,6,0.62407,0.62422,0.62404,0.62392,0.62407,0.62407,0.62407
16,7,0.56364,0.66229,0.56431,0.48648,0.56364,0.56364,0.56364
16,8,0.50993,0.61186,0.50911,0.36316,0.50993,0.50993,0.50993
16,9,0.62636,0.65216,0.62671,0.61019,0.62636,0.62636,0.62636
17,0,0.62471,0.62769,0.62458,0.62237,0.62471,0.62471,0.62471
17,1,0.62729,0.63086,0.62714,0.62456,0.62729,0.62729,0.62729
17,2,0.51707,0.62023,0.51627,0.38327,0.51707,0.51707,0.51707
17,3,0.53679,0.62361,0.53606,0.43663,0.53679,0.53679,0.53679
17,4,0.62093,0.66272,0.62136,0.59539,0.62093,0.62093,0.62093
17,5,0.6115,0.6628,0.61198,0.57883,0.6115,0.6115,0.6115
17,6,0.50864,0.62038,0.50781,0.35804,0.50864,0.50864,0.50864
17,7,0.62543,0.62923,0.62528,0.62249,0.62543,0.62543,0.62543
17,8,0.64393,0.66302,0.64422,0.63347,0.64393,0.64393,0.64393
17,9,0.5855,0.61549,0.58506,0.55606,0.5855,0.5855,0.5855
18,0,0.62643,0.67235,0.62687,0.60023,0.62643,0.62643,0.62643
18,1,0.59864,0.6688,0.59919,0.55279,0.59864,0.59864,0.59864
18,2,0.56964,0.67075,0.5703,0.49582,0.56964,0.56964,0.56964
18,3,0.55171,0.63594,0.55104,0.46834,0.55171,0.55171,0.55171
18,4,0.65157,0.65221,0.65151,0.65115,0.65157,0.65157,0.65157
18,5,0.622,0.67272,0.62246,0.59255,0.622,0.622,0.622
18,6,0.53221,0.6393,0.53146,0.41941,0.53221,0.53221,0.53221
18,7,0.5125,0.63879,0.51168,0.36706,0.5125,0.5125,0.5125
18,8,0.52093,0.6341,0.52014,0.39108,0.52093,0.52093,0.52093
18,9,0.62564,0.67465,0.6261,0.59787,0.62564,0.62564,0.62564
19,0,0.57464,0.67707,0.57529,0.50364,0.57464,0.57464,0.57464
19,1,0.67029,0.68121,0.67049,0.66541,0.67029,0.67029,0.67029
19,2,0.66243,0.66319,0.66237,0.66198,0.66243,0.66243,0.66243
19,3,0.60979,0.67732,0.61031,0.56933,0.60979,0.60979,0.60979
19,4,0.62336,0.64135,0.62305,0.61063,0.62336,0.62336,0.62336
