round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.48143,0.48213,0.48217,0.48135,0.48143,0.48143,0.48143
1,1,0.49536,0.49497,0.49498,0.49485,0.49536,0.49536,0.49536
1,2,0.49393,0.49274,0.49289,0.4907,0.49393,0.49393,0.49393
1,3,0.49929,0.50024,0.50022,0.48907,0.49929,0.49929,0.49929
1,4,0.48357,0.48284,0.48579,0.46157,0.48357,0.48357,0.48357
1,5,0.51286,0.51156,0.51135,0.50978,0.51286,0.51286,0.51286
1,6,0.53643,0.53802,0.53573,0.52898,0.53643,0.53643,0.53643
1,7,0.49179,0.49145,0.49256,0.47512,0.49179,0.49179,0.49179
1,8,0.49643,0.49642,0.49642,0.49641,0.49643,0.49643,0.49643
1,9,0.50107,0.49995,0.49996,0.4932,0.50107,0.50107,0.50107
2,0,0.49,0.48631,0.48693,0.48237,0.49,0.49,0.49
2,1,0.49429,0.49595,0.49618,0.48776,0.49429,0.49429,0.49429
2,2,0.49357,0.49609,0.49698,0.46491,0.49357,0.49357,0.49357
2,3,0.5,0.49938,0.49941,0.49538,0.5,0.5,0.5
2,4,0.48643,0.48639,0.48857,0.46613,0.48643,0.48643,0.48643
2,5,0.51464,0.51489,0.51489,0.51464,0.51464,0.51464,0.51464
2,6,0.50036,0.50068,0.50067,0.49901,0.50036,0.50036,0.50036
2,7,0.48964,0.48965,0.49008,0.4846,0.48964,0.48964,0.48964
2,8,0.4975,0.49749,0.49749,0.49747,0.4975,0.4975,0.4975
2,9,0.49214,0.49124,0.49144,0.48887,0.49214,0.49214,0.49214
3,0,0.49714,0.50061,0.50057,0.49146,0.49714,0.49714,0.49714
3,1,0.50393,0.49812,0.49889,0.44404,0.50393,0.50393,0.50393
3,2,0.495,0.49305,0.4934,0.48771,0.495,0.495,0.495
3,3,0.50286,0.50239,0.50232,0.49912,0.50286,0.50286,0.50286
3,4,0.49179,0.49133,0.49138,0.49083,0.49179,0.49179,0.49179
3,5,0.51464,0.51547,0.51541,0.51438,0.51464,0.51464,0.51464
3,6,0.50321,0.5032,0.5032,0.5032,0.50321,0.50321,0.50321
3,7,0.4975,0.4951,0.4964,0.46118,0.4975,0.4975,0.4975
3,8,0.49679,0.49665,0.49668,0.49554,0.49679,0.49679,0.49679
3,9,0.49321,0.49104,0.49183,0.48103,0.49321,0.49321,0.49321
4,0,0.50036,0.50448,0.50417,0.49319,0.50036,0.50036,0.50036
4,1,0.49714,0.49481,0.49514,0.48781,0.49714,0.49714,0.49714
4,2,0.50643,0.50724,0.50716,0.50546,0.50643,0.50643,0.50643
4,3,0.49929,0.50031,0.50028,0.48742,0.49929,0.49929,0.49929
4,4,0.48893,0.48939,0.48952,0.48767,0.48893,0.48893,0.48893
4,5,0.51536,0.51361,0.51299,0.50849,0.51536,0.51536,0.51536
4,6,0.51357,0.51494,0.51239,0.49129,0.51357,0.51357,0.51357
4,7,0.50107,0.50109,0.50109,0.50107,0.50107,0.50107,0.50107
4,8,0.50607,0.50643,0.50571,0.49169,0.50607,0.50607,0.50607
4,9,0.49929,0.49221,0.49603,0.42708,0.49929,0.49929,0.49929
5,0,0.495,0.48577,0.4886,0.46472,0.495,0.495,0.495
