round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.48571,0.24286,0.5,0.32692,0.48571,0.48571,0.48571
1,1,0.49214,0.24607,0.5,0.32982,0.49214,0.49214,0.49214
1,2,0.50714,0.25357,0.5,0.33649,0.50714,0.50714,0.50714
1,3,0.50321,0.25161,0.5,0.33476,0.50321,0.50321,0.50321
1,4,0.50536,0.25268,0.5,0.33571,0.50536,0.50536,0.50536
1,5,0.51107,0.25554,0.5,0.33822,0.51107,0.51107,0.51107
1,6,0.50286,0.25143,0.5,0.3346,0.50286,0.50286,0.50286
1,7,0.50214,0.25107,0.5,0.33428,0.50214,0.50214,0.50214
1,8,0.50107,0.25054,0.5,0.33381,0.50107,0.50107,0.50107
1,9,0.49536,0.24768,0.5,0.33126,0.49536,0.49536,0.49536
2,0,0.485,0.48973,0.49277,0.44832,0.485,0.485,0.485
2,1,0.49536,0.5001,0.50007,0.44839,0.49536,0.49536,0.49536
2,2,0.50214,0.49682,0.49793,0.45213,0.50214,0.50214,0.50214
2,3,0.50357,0.50257,0.50166,0.45447,0.50357,0.50357,0.50357
2,4,0.50429,0.50179,0.50119,0.45728,0.50429,0.50429,0.50429
2,5,0.50429,0.49677,0.49786,0.45474,0.50429,0.50429,0.50429
2,6,0.50393,0.50344,0.50225,0.45601,0.50393,0.50393,0.50393
2,7,0.49964,0.49777,0.49846,0.45743,0.49964,0.49964,0.49964
2,8,0.49536,0.49184,0.49472,0.4461,0.49536,0.49536,0.49536
2,9,0.49821,0.50119,0.50081,0.45705,0.49821,0.49821,0.49821
3,0,0.48429,0.48242,0.48264,0.48164,0.48429,0.48429,0.48429
3,1,0.48714,0.48585,0.4861,0.4843,0.48714,0.48714,0.48714
3,2,0.49679,0.49741,0.49743,0.49605,0.49679,0.49679,0.49679
3,3,0.49179,0.492,0.49206,0.49101,0.49179,0.49179,0.49179
3,4,0.48643,0.48679,0.48688,0.48572,0.48643,0.48643,0.48643
3,5,0.51429,0.51607,0.51579,0.51273,0.51429,0.51429,0.51429
3,6,0.50071,0.50096,0.50095,0.49997,0.50071,0.50071,0.50071
3,7,0.48821,0.48831,0.48846,0.48668,0.48821,0.48821,0.48821
3,8,0.49679,0.49687,0.49691,0.49507,0.49679,0.49679,0.49679
3,9,0.49071,0.49007,0.49019,0.48883,0.49071,0.49071,0.49071
4,0,0.48464,0.4852,0.48521,0.48462,0.48464,0.48464,0.48464
4,1,0.50036,0.50066,0.50065,0.5003,0.50036,0.50036,0.50036
4,2,0.49929,0.49872,0.49872,0.4982,0.49929,0.49929,0.49929
4,3,0.50571,0.50547,0.50543,0.50461,0.50571,0.50571,0.50571
4,4,0.49179,0.49133,0.49138,0.49083,0.49179,0.49179,0.49179
4,5,0.51071,0.5103,0.51028,0.51025,0.51071,0.51071,0.51071
4,6,0.50536,0.50516,0.50512,0.5044,0.50536,0.50536,0.50536
4,7,0.50179,0.50167,0.50166,0.50133,0.50179,0.50179,0.50179
4,8,0.49964,0.49961,0.49961,0.4995,0.49964,0.49964,0.49964
4,9,0.50464,0.50481,0.50481,0.50456,0.50464,0.50464,0.50464
5,0,0.49,0.48975,0.48975,0.48973,0.49,0.49,0.49
5,1,0.49821,0.49803,0.49803,0.49802,0.49821,0.49821,0.49821
5,2,0.50536,0.50524,0.50524,0.50524,0.50536,0.50536,0.50536
5,3,0.5,0.49988,0.49988,0.49977,0.5,0.5,0.5
5,4,0.49607,0.49594,0.49594,0.49592,0.49607,0.49607,0.49607
5,5,0.52179,0.52198,0.52199,0.52178,0.52179,0.52179,0.52179
5,6,0.50643,0.50637,0.50637,0.50635,0.50643,0.50643,0.50643
5,7,0.50071,0.50072,0.50072,0.50071,0.50071,0.50071,0.50071
5,8,0.49857,0.49859,0.49859,0.49855,0.49857,0.49857,0.49857
5,9,0.50143,0.50133,0.50133,0.50132,0.50143,0.50143,0.50143
6,0,0.49429,0.49303,0.49308,0.49267,0.49429,0.49429,0.49429
6,1,0.49893,0.49821,0.49823,0.49754,0.49893,0.49893,0.49893
6,2,0.50714,0.50755,0.50753,0.50695,0.50714,0.50714,0.50714
6,3,0.50143,0.50152,0.50152,0.50136,0.50143,0.50143,0.50143
6,4,0.49679,0.497,0.49701,0.49667,0.49679,0.49679,0.49679
6,5,0.52464,0.52589,0.52568,0.52405,0.52464,0.52464,0.52464
