round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.50314,0.50959,0.50381,0.41539,0.50314,0.50314,0.50314
2,0.50279,0.50782,0.50343,0.42203,0.50279,0.50279,0.50279
3,0.499,0.49915,0.49919,0.49317,0.499,0.499,0.499
4,0.50043,0.50107,0.50083,0.47126,0.50043,0.50043,0.50043
5,0.50407,0.50405,0.50405,0.50398,0.50407,0.50407,0.50407
6,0.50164,0.50152,0.50141,0.49175,0.50164,0.50164,0.50164
7,0.50086,0.50139,0.50119,0.48208,0.50086,0.50086,0.50086
8,0.50264,0.50264,0.50236,0.48908,0.50264,0.50264,0.50264
9,0.50379,0.50499,0.50414,0.48181,0.50379,0.50379,0.50379
10,0.50343,0.50338,0.5033,0.50048,0.50343,0.50343,0.50343
11,0.50586,0.50861,0.5063,0.47062,0.50586,0.50586,0.50586
12,0.507,0.50742,0.50716,0.5027,0.507,0.507,0.507
13,0.50243,0.5094,0.50165,0.37263,0.50243,0.50243,0.50243
14,0.5085,0.51601,0.50906,0.44905,0.5085,0.5085,0.5085
15,0.51457,0.54339,0.51526,0.42116,0.51457,0.51457,0.51457
16,0.50286,0.50322,0.50243,0.47016,0.50286,0.50286,0.50286
17,0.50729,0.51065,0.50773,0.47135,0.50729,0.50729,0.50729
18,0.50586,0.50595,0.50592,0.50521,0.50586,0.50586,0.50586
19,0.50636,0.50633,0.50631,0.50594,0.50636,0.50636,0.50636
20,0.50414,0.50413,0.50398,0.49979,0.50414,0.50414,0.50414
21,0.51807,0.56474,0.51879,0.41464,0.51807,0.51807,0.51807
22,0.50757,0.51022,0.50797,0.47919,0.50757,0.50757,0.50757
23,0.51493,0.53861,0.51559,0.43041,0.51493,0.51493,0.51493
24,0.50793,0.51101,0.50835,0.47649,0.50793,0.50793,0.50793
25,0.50821,0.51293,0.5087,0.46476,0.50821,0.50821,0.50821
26,0.50807,0.50809,0.50808,0.50805,0.50807,0.50807,0.50807
27,0.51243,0.52588,0.51303,0.44373,0.51243,0.51243,0.51243
28,0.50236,0.507,0.5016,0.38303,0.50236,0.50236,0.50236
29,0.50571,0.50704,0.50604,0.48763,0.50571,0.50571,0.50571
30,0.50643,0.50694,0.50661,0.50062,0.50643,0.50643,0.50643
31,0.5085,0.51285,0.50897,0.46863,0.5085,0.5085,0.5085
32,0.50686,0.50683,0.50681,0.5065,0.50686,0.50686,0.50686
33,0.50707,0.50887,0.50742,0.48618,0.50707,0.50707,0.50707
34,0.50829,0.51063,0.50866,0.48455,0.50829,0.50829,0.50829
35,0.51371,0.53298,0.51436,0.43421,0.51371,0.51371,0.51371
36,0.50736,0.51021,0.50778,0.47634,0.50736,0.50736,0.50736
37,0.50764,0.51057,0.50806,0.4768,0.50764,0.50764,0.50764
38,0.50814,0.509,0.50837,0.49948,0.50814,0.50814,0.50814
39,0.50679,0.5071,0.50692,0.50376,0.50679,0.50679,0.50679
40,0.51064,0.51936,0.5112,0.45333,0.51064,0.51064,0.51064
41,0.50636,0.50635,0.50625,0.50449,0.50636,0.50636,0.50636
42,0.51386,0.53399,0.51451,0.43296,0.51386,0.51386,0.51386
43,0.51214,0.52341,0.51272,0.44964,0.51214,0.51214,0.51214
44,0.51293,0.52768,0.51354,0.44201,0.51293,0.51293,0.51293
45,0.51093,0.51975,0.51148,0.4541,0.51093,0.51093,0.51093
46,0.50829,0.5094,0.50854,0.49697,0.50829,0.50829,0.50829
47,0.50779,0.50916,0.50808,0.493,0.50779,0.50779,0.50779
48,0.51179,0.52183,0.51235,0.45267,0.51179,0.51179,0.51179
49,0.51593,0.54169,0.51659,0.43062,0.51593,0.51593,0.51593
50,0.50921,0.5102,0.50945,0.50011,0.50921,0.50921,0.50921
