round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.50071,0.37539,0.49986,0.33378,0.50071,0.50071,0.50071
1,1,0.49943,0.62464,0.50028,0.33384,0.49943,0.49943,0.49943
1,2,0.4995,0.56545,0.50035,0.33463,0.4995,0.4995,0.4995
1,3,0.49936,0.49187,0.49858,0.3686,0.49936,0.49936,0.49936
1,4,0.50743,0.61152,0.50825,0.35974,0.50743,0.50743,0.50743
1,5,0.5005,0.40419,0.49964,0.33406,0.5005,0.5005,0.5005
1,6,0.50771,0.53161,0.50845,0.39785,0.50771,0.50771,0.50771
1,7,0.50514,0.51769,0.50584,0.40615,0.50514,0.50514,0.50514
1,8,0.50057,0.59993,0.50142,0.33799,0.50057,0.50057,0.50057
1,9,0.4995,0.6133,0.50036,0.33412,0.4995,0.4995,0.4995
2,0,0.50186,0.50485,0.5011,0.38207,0.50186,0.50186,0.50186
2,1,0.50236,0.62969,0.5032,0.34263,0.50236,0.50236,0.50236
2,2,0.50071,0.60573,0.50157,0.3383,0.50071,0.50071,0.50071
2,3,0.50064,0.35038,0.49979,0.33375,0.50064,0.50064,0.50064
2,4,0.50057,0.58921,0.50142,0.33836,0.50057,0.50057,0.50057
2,5,0.50829,0.5398,0.50904,0.39109,0.50829,0.50829,0.50829
2,6,0.50071,0.37539,0.49986,0.33378,0.50071,0.50071,0.50071
2,7,0.50071,0.60573,0.50157,0.3383,0.50071,0.50071,0.50071
2,8,0.49979,0.59756,0.50064,0.33526,0.49979,0.49979,0.49979
2,9,0.50293,0.61574,0.50377,0.34509,0.50293,0.50293,0.50293
3,0,0.50071,0.37539,0.49986,0.33378,0.50071,0.50071,0.50071
3,1,0.49857,0.49871,0.49885,0.48493,0.49857,0.49857,0.49857
3,2,0.49929,0.49915,0.49916,0.49665,0.49929,0.49929,0.49929
3,3,0.50071,0.37539,0.49986,0.33378,0.50071,0.50071,0.50071
3,4,0.49943,0.56214,0.50028,0.33434,0.49943,0.49943,0.49943
3,5,0.50057,0.47655,0.49972,0.33599,0.50057,0.50057,0.50057
3,6,0.4985,0.4977,0.49813,0.47367,0.4985,0.4985,0.4985
3,7,0.51036,0.56912,0.51114,0.38105,0.51036,0.51036,0.51036
3,8,0.50586,0.61007,0.50669,0.35492,0.50586,0.50586,0.50586
3,9,0.49979,0.59756,0.50064,0.33526,0.49979,0.49979,0.49979
4,0,0.5005,0.40419,0.49964,0.33406,0.5005,0.5005,0.5005
4,1,0.50836,0.53592,0.5091,0.39606,0.50836,0.50836,0.50836
4,2,0.50514,0.62608,0.50598,0.35117,0.50514,0.50514,0.50514
4,3,0.499,0.49918,0.49925,0.48807,0.499,0.499,0.499
4,4,0.50014,0.59704,0.501,0.33655,0.50014,0.50014,0.50014
4,5,0.50071,0.37539,0.49986,0.33378,0.50071,0.50071,0.50071
4,6,0.50564,0.51811,0.50633,0.41015,0.50564,0.50564,0.50564
4,7,0.5005,0.40419,0.49964,0.33406,0.5005,0.5005,0.5005
4,8,0.50229,0.62536,0.50313,0.3426,0.50229,0.50229,0.50229
4,9,0.50414,0.62951,0.50498,0.34795,0.50414,0.50414,0.50414
5,0,0.50071,0.37539,0.49986,0.33378,0.50071,0.50071,0.50071
5,1,0.50071,0.60573,0.50157,0.3383,0.50071,0.50071,0.50071
5,2,0.4995,0.59581,0.50036,0.33425,0.4995,0.4995,0.4995
5,3,0.50064,0.35038,0.49979,0.33375,0.50064,0.50064,0.50064
5,4,0.50414,0.51217,0.50481,0.41627,0.50414,0.50414,0.50414
5,5,0.50071,0.37539,0.49986,0.33378,0.50071,0.50071,0.50071
5,6,0.49836,0.49847,0.49864,0.48445,0.49836,0.49836,0.49836
5,7,0.50021,0.39313,0.49936,0.33419,0.50021,0.50021,0.50021
5,8,0.50329,0.62561,0.50413,0.34562,0.50329,0.50329,0.50329
5,9,0.507,0.61335,0.50783,0.35815,0.507,0.507,0.507
6,0,0.50071,0.37539,0.49986,0.33378,0.50071,0.50071,0.50071
6,1,0.50079,0.49733,0.49994,0.33871,0.50079,0.50079,0.50079
6,2,0.50014,0.59704,0.501,0.33655,0.50014,0.50014,0.50014
6,3,0.50071,0.37539,0.49986,0.33378,0.50071,0.50071,0.50071
6,4,0.50114,0.60945,0.50199,0.33961,0.50114,0.50114,0.50114
6,5,0.50057,0.37536,0.49972,0.33384,0.50057,0.50057,0.50057
6,6,0.50064,0.41704,0.49979,0.334,0.50064,0.50064,0.50064
6,7,0.49943,0.49961,0.49963,0.49252,0.49943,0.49943,0.49943
6,8,0.4995,0.57319,0.50036,0.3345,0.4995,0.4995,0.4995
6,9,0.51057,0.57857,0.51136,0.37807,0.51057,0.51057,0.51057
7,0,0.50071,0.37539,0.49986,0.33378,0.50071,0.50071,0.50071
7,1,0.505,0.62759,0.50584,0.35063,0.505,0.505,0.505
7,2,0.50086,0.6,0.50171,0.33899,0.50086,0.50086,0.50086
7,3,0.50064,0.35038,0.49979,0.33375,0.50064,0.50064,0.50064
7,4,0.50186,0.50349,0.50235,0.45767,0.50186,0.50186,0.50186
7,5,0.50071,0.41706,0.49986,0.3339,0.50071,0.50071,0.50071
7,6,0.5035,0.50572,0.5029,0.43331,0.5035,0.5035,0.5035
7,7,0.50957,0.55257,0.51034,0.38691,0.50957,0.50957,0.50957
7,8,0.49957,0.59343,0.50043,0.33453,0.49957,0.49957,0.49957
7,9,0.4995,0.58299,0.50036,0.33437,0.4995,0.4995,0.4995
8,0,0.50071,0.37539,0.49986,0.33378,0.50071,0.50071,0.50071
8,1,0.50021,0.39313,0.49936,0.33419,0.50021,0.50021,0.50021
8,2,0.49943,0.62464,0.50028,0.33384,0.49943,0.49943,0.49943
8,3,0.50071,0.37539,0.49986,0.33378,0.50071,0.50071,0.50071
8,4,0.50314,0.50574,0.5025,0.42097,0.50314,0.50314,0.50314
8,5,0.50057,0.37536,0.49972,0.33384,0.50057,0.50057,0.50057
8,6,0.50071,0.48998,0.49986,0.33655,0.50071,0.50071,0.50071
