round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.51429,0.25714,0.5,0.33962,0.51429,0.51429,0.51429
1,1,0.49321,0.74634,0.50105,0.33217,0.49321,0.49321,0.49321
1,2,0.50714,0.50358,0.50002,0.33778,0.50714,0.50714,0.50714
1,3,0.49857,0.5079,0.50147,0.37276,0.49857,0.49857,0.49857
1,4,0.51429,0.62755,0.50912,0.36316,0.51429,0.51429,0.51429
1,5,0.48964,0.57796,0.50067,0.33115,0.48964,0.48964,0.48964
1,6,0.51,0.52822,0.50756,0.39839,0.51,0.51,0.51
1,7,0.50393,0.50614,0.50222,0.40843,0.50393,0.50393,0.50393
1,8,0.5025,0.6259,0.50143,0.33824,0.5025,0.5025,0.5025
1,9,0.49536,0.24768,0.5,0.33126,0.49536,0.49536,0.49536
2,0,0.51107,0.49257,0.49841,0.38165,0.51107,0.51107,0.51107
2,1,0.49571,0.63583,0.50347,0.34001,0.49571,0.49571,0.49571
2,2,0.50786,0.56626,0.50076,0.34002,0.50786,0.50786,0.50786
2,3,0.49643,0.2483,0.49964,0.33174,0.49643,0.49643,0.49643
2,4,0.50893,0.75358,0.50361,0.34367,0.50893,0.50893,0.50893
2,5,0.51714,0.5356,0.50727,0.38958,0.51714,0.51714,0.51714
2,6,0.49714,0.49857,0.5,0.33269,0.49714,0.49714,0.49714
2,7,0.50429,0.68911,0.50216,0.33968,0.50429,0.50429,0.50429
2,8,0.50214,0.6508,0.50108,0.33682,0.50214,0.50214,0.50214
2,9,0.49929,0.6005,0.50384,0.34468,0.49929,0.49929,0.49929
3,0,0.51429,0.25714,0.5,0.33962,0.51429,0.51429,0.51429
3,1,0.49286,0.49482,0.49534,0.48118,0.49286,0.49286,0.49286
3,2,0.5025,0.50339,0.50334,0.50116,0.5025,0.5025,0.5025
3,3,0.49679,0.24839,0.5,0.3319,0.49679,0.49679,0.49679
3,4,0.50679,0.75304,0.50144,0.3389,0.50679,0.50679,0.50679
3,5,0.48964,0.52586,0.50059,0.33418,0.48964,0.48964,0.48964
3,6,0.5125,0.5165,0.51368,0.49135,0.5125,0.5125,0.5125
3,7,0.51536,0.5752,0.51342,0.38858,0.51536,0.51536,0.51536
3,8,0.505,0.58011,0.50396,0.34979,0.505,0.505,0.505
3,9,0.49571,0.5811,0.50035,0.33267,0.49571,0.49571,0.49571
4,0,0.51464,0.55725,0.50041,0.34175,0.51464,0.51464,0.51464
4,1,0.49929,0.52402,0.50608,0.38936,0.49929,0.49929,0.49929
4,2,0.51321,0.65169,0.50622,0.35371,0.51321,0.51321,0.51321
4,3,0.49714,0.49572,0.49614,0.48405,0.49714,0.49714,0.49714
4,4,0.50821,0.7534,0.50289,0.34209,0.50821,0.50821,0.50821
4,5,0.48929,0.54454,0.50032,0.33038,0.48929,0.48929,0.48929
4,6,0.51,0.52194,0.5077,0.41345,0.51,0.51,0.51
4,7,0.4975,0.24884,0.49964,0.33222,0.4975,0.4975,0.4975
4,8,0.50286,0.58432,0.5018,0.34089,0.50286,0.50286,0.50286
4,9,0.50071,0.61264,0.50525,0.34833,0.50071,0.50071,0.50071
5,0,0.51429,0.25714,0.5,0.33962,0.51429,0.51429,0.51429
5,1,0.49357,0.59642,0.50137,0.33478,0.49357,0.49357,0.49357
5,2,0.50714,0.50358,0.50002,0.33778,0.50714,0.50714,0.50714
5,3,0.49679,0.24839,0.5,0.3319,0.49679,0.49679,0.49679
5,4,0.50893,0.51146,0.50487,0.42366,0.50893,0.50893,0.50893
5,5,0.48893,0.49446,0.49997,0.32961,0.48893,0.48893,0.48893
5,6,0.50607,0.50576,0.50511,0.49131,0.50607,0.50607,0.50607
5,7,0.4975,0.24884,0.49964,0.33222,0.4975,0.4975,0.4975
5,8,0.50321,0.56926,0.50216,0.34352,0.50321,0.50321,0.50321
5,9,0.50464,0.62037,0.50911,0.35947,0.50464,0.50464,0.50464
6,0,0.51429,0.25714,0.5,0.33962,0.51429,0.51429,0.51429
6,1,0.50679,0.43549,0.49899,0.3389,0.50679,0.50679,0.50679
6,2,0.50786,0.58709,0.50075,0.33938,0.50786,0.50786,0.50786
6,3,0.49679,0.24839,0.5,0.3319,0.49679,0.49679,0.49679
6,4,0.50893,0.75358,0.50361,0.34367,0.50893,0.50893,0.50893
6,5,0.48929,0.54454,0.50032,0.33038,0.48929,0.48929,0.48929
6,6,0.49679,0.41515,0.49964,0.33253,0.49679,0.49679,0.49679
6,7,0.50107,0.50064,0.50061,0.49508,0.50107,0.50107,0.50107
6,8,0.50179,0.62572,0.50072,0.33603,0.50179,0.50179,0.50179
6,9,0.50821,0.58275,0.51249,0.37906,0.50821,0.50821,0.50821
7,0,0.51429,0.25714,0.5,0.33962,0.51429,0.51429,0.51429
7,1,0.49714,0.60667,0.50482,0.34602,0.49714,0.49714,0.49714
7,2,0.50857,0.60394,0.50148,0.34162,0.50857,0.50857,0.50857
7,3,0.49679,0.24839,0.5,0.3319,0.49679,0.49679,0.49679
7,4,0.51179,0.51288,0.50876,0.46756,0.51179,0.51179,0.51179
7,5,0.48929,0.54454,0.50032,0.33038,0.48929,0.48929,0.48929
7,6,0.50571,0.51499,0.50771,0.43862,0.50571,0.50571,0.50571
7,7,0.51643,0.56821,0.51453,0.39655,0.51643,0.51643,0.51643
7,8,0.50179,0.62572,0.50072,0.33603,0.50179,0.50179,0.50179
7,9,0.49536,0.24768,0.5,0.33126,0.49536,0.49536,0.49536
8,0,0.51429,0.25714,0.5,0.33962,0.51429,0.51429,0.51429
8,1,0.50714,0.37876,0.49931,0.33714,0.50714,0.50714,0.50714
8,2,0.50679,0.42015,0.49966,0.33698,0.50679,0.50679,0.50679
8,3,0.49679,0.24839,0.5,0.3319,0.49679,0.49679,0.49679
8,4,0.50821,0.52781,0.51223,0.43073,0.50821,0.50821,0.50821
8,5,0.48929,0.54454,0.50032,0.33038,0.48929,0.48929,0.48929
8,6,0.49679,0.46276,0.49963,0.33378,0.49679,0.49679,0.49679
8,7,0.49357,0.49324,0.49449,0.46954,0.49357,0.49357,0.49357
8,8,0.50179,0.62572,0.50072,0.33603,0.50179,0.50179,0.50179
8,9,0.49571,0.5811,0.50035,0.33267,0.49571,0.49571,0.49571
9,0,0.51429,0.25714,0.5,0.33962,0.51429,0.51429,0.51429
9,1,0.49393,0.74651,0.50176,0.33372,0.49393,0.49393,0.49393
9,2,0.50714,0.50358,0.50002,0.33778,0.50714,0.50714,0.50714
9,3,0.49679,0.24839,0.5,0.3319,0.49679,0.49679,0.49679
9,4,0.50607,0.51628,0.50952,0.45098,0.50607,0.50607,0.50607
9,5,0.48929,0.54454,0.50032,0.33038,0.48929,0.48929,0.48929
9,6,0.50714,0.65252,0.50433,0.34657,0.50714,0.50714,0.50714
9,7,0.50429,0.68911,0.50216,0.33968,0.50429,0.50429,0.50429
9,8,0.50179,0.62572,0.50072,0.33603,0.50179,0.50179,0.50179
9,9,0.50214,0.50195,0.50195,0.50181,0.50214,0.50214,0.50214
10,0,0.51571,0.57004,0.50159,0.34676,0.51571,0.51571,0.51571
10,1,0.50143,0.57056,0.50878,0.36762,0.50143,0.50143,0.50143
10,2,0.51286,0.65889,0.50585,0.35232,0.51286,0.51286,0.51286
10,3,0.49679,0.24839,0.5,0.3319,0.49679,0.49679,0.49679
10,4,0.49357,0.24705,0.49892,0.33046,0.49357,0.49357,0.49357
10,5,0.48964,0.57796,0.50067,0.33115,0.48964,0.48964,0.48964
10,6,0.49679,0.41515,0.49964,0.33253,0.49679,0.49679,0.49679
10,7,0.50679,0.50933,0.50539,0.44782,0.50679,0.50679,0.50679
10,8,0.50607,0.58931,0.50503,0.35268,0.50607,0.50607,0.50607
10,9,0.49607,0.58119,0.50069,0.33408,0.49607,0.49607,0.49607
11,0,0.51464,0.55725,0.50041,0.34175,0.51464,0.51464,0.51464
11,1,0.49393,0.74651,0.50176,0.33372,0.49393,0.49393,0.49393
11,2,0.51429,0.59168,0.50744,0.36374,0.51429,0.51429,0.51429
11,3,0.49679,0.24839,0.5,0.3319,0.49679,0.49679,0.49679
11,4,0.49571,0.53329,0.50099,0.33881,0.49571,0.49571,0.49571
11,5,0.51107,0.50701,0.50465,0.46234,0.51107,0.51107,0.51107
11,6,0.49643,0.41506,0.49927,0.333,0.49643,0.49643,0.49643
11,7,0.50857,0.51614,0.50696,0.426,0.50857,0.50857,0.50857
11,8,0.50143,0.75063,0.50036,0.3346,0.50143,0.50143,0.50143
11,9,0.49571,0.5811,0.50035,0.33267,0.49571,0.49571,0.49571
12,0,0.51429,0.25714,0.5,0.33962,0.51429,0.51429,0.51429
12,1,0.49393,0.6354,0.50174,0.33495,0.49393,0.49393,0.49393
12,2,0.50679,0.42015,0.49966,0.33698,0.50679,0.50679,0.50679
12,3,0.49679,0.24839,0.5,0.3319,0.49679,0.49679,0.49679
12,4,0.50821,0.7534,0.50289,0.34209,0.50821,0.50821,0.50821
12,5,0.48893,0.49446,0.49997,0.32961,0.48893,0.48893,0.48893
12,6,0.49714,0.49857,0.5,0.33269,0.49714,0.49714,0.49714
12,7,0.49643,0.49674,0.49738,0.47064,0.49643,0.49643,0.49643
12,8,0.50179,0.58405,0.50072,0.33666,0.50179,0.50179,0.50179
12,9,0.49786,0.63291,0.50246,0.33859,0.49786,0.49786,0.49786
13,0,0.51429,0.25714,0.5,0.33962,0.51429,0.51429,0.51429
13,1,0.50464,0.50458,0.50458,0.50457,0.50464,0.50464,0.50464
13,2,0.50714,0.50358,0.50002,0.33778,0.50714,0.50714,0.50714
13,3,0.49679,0.24839,0.5,0.3319,0.49679,0.49679,0.49679
13,4,0.49393,0.24714,0.49928,0.33062,0.49393,0.49393,0.49393
13,5,0.48893,0.49446,0.49997,0.32961,0.48893,0.48893,0.48893
13,6,0.49714,0.49857,0.5,0.33269,0.49714,0.49714,0.49714
13,7,0.49643,0.49665,0.49752,0.46224,0.49643,0.49643,0.49643
13,8,0.50179,0.62572,0.50072,0.33603,0.50179,0.50179,0.50179
13,9,0.5075,0.6156,0.5119,0.36868,0.5075,0.5075,0.5075
14,0,0.51429,0.25714,0.5,0.33962,0.51429,0.51429,0.51429
14,1,0.50143,0.62336,0.509,0.35729,0.50143,0.50143,0.50143
14,2,0.52,0.56639,0.51364,0.39617,0.52,0.52,0.52
14,3,0.49679,0.24839,0.5,0.3319,0.49679,0.49679,0.49679
14,4,0.50643,0.75295,0.50108,0.33811,0.50643,0.50643,0.50643
14,5,0.48964,0.57796,0.50067,0.33115,0.48964,0.48964,0.48964
14,6,0.50321,0.75152,0.50036,0.3354,0.50321,0.50321,0.50321
14,7,0.51036,0.51597,0.50894,0.44891,0.51036,0.51036,0.51036
14,8,0.50179,0.58405,0.50072,0.33666,0.50179,0.50179,0.50179
14,9,0.49571,0.5811,0.50035,0.33267,0.49571,0.49571,0.49571
15,0,0.51464,0.53503,0.50045,0.34305,0.51464,0.51464,0.51464
15,1,0.49393,0.61014,0.50172,0.33556,0.49393,0.49393,0.49393
15,2,0.50786,0.56626,0.50076,0.34002,0.50786,0.50786,0.50786
15,3,0.49679,0.24839,0.5,0.3319,0.49679,0.49679,0.49679
15,4,0.51571,0.64752,0.51055,0.36503,0.51571,0.51571,0.51571
15,5,0.51679,0.51631,0.50978,0.45873,0.51679,0.51679,0.51679
15,6,0.51571,0.52396,0.51723,0.47998,0.51571,0.51571,0.51571
15,7,0.51143,0.68399,0.50934,0.35765,0.51143,0.51143,0.51143
15,8,0.50179,0.75071,0.50072,0.3354,0.50179,0.50179,0.50179
15,9,0.49536,0.24768,0.5,0.33126,0.49536,0.49536,0.49536
16,0,0.51429,0.25714,0.5,0.33962,0.51429,0.51429,0.51429
16,1,0.50357,0.63224,0.51109,0.36227,0.50357,0.50357,0.50357
16,2,0.52179,0.55686,0.51571,0.41175,0.52179,0.52179,0.52179
16,3,0.49679,0.24839,0.5,0.3319,0.49679,0.49679,0.49679
16,4,0.5125,0.69681,0.50724,0.35337,0.5125,0.5125,0.5125
16,5,0.48893,0.49446,0.49997,0.32961,0.48893,0.48893,0.48893
16,6,0.49714,0.49857,0.5,0.33269,0.49714,0.49714,0.49714
16,7,0.51536,0.69323,0.51329,0.36658,0.51536,0.51536,0.51536
16,8,0.50464,0.65769,0.50358,0.34357,0.50464,0.50464,0.50464
16,9,0.51286,0.57642,0.51695,0.39824,0.51286,0.51286,0.51286
17,0,0.51429,0.25714,0.5,0.33962,0.51429,0.51429,0.51429
17,1,0.50679,0.54923,0.51348,0.40223,0.50679,0.50679,0.50679
17,2,0.51393,0.65855,0.50695,0.35527,0.51393,0.51393,0.51393
17,3,0.49679,0.24839,0.5,0.3319,0.49679,0.49679,0.49679
17,4,0.50679,0.75304,0.50144,0.3389,0.50679,0.50679,0.50679
17,5,0.48893,0.49446,0.49997,0.32961,0.48893,0.48893,0.48893
17,6,0.51893,0.60702,0.5163,0.38751,0.51893,0.51893,0.51893
17,7,0.52,0.59773,0.51807,0.39567,0.52,0.52,0.52
17,8,0.50179,0.75071,0.50072,0.3354,0.50179,0.50179,0.50179
17,9,0.50071,0.61997,0.50525,0.34774,0.50071,0.50071,0.50071
18,0,0.51429,0.25714,0.5,0.33962,0.51429,0.51429,0.51429
18,1,0.50571,0.63516,0.51318,0.36774,0.50571,0.50571,0.50571
18,2,0.49357,0.5591,0.50067,0.33356,0.49357,0.49357,0.49357
18,3,0.49679,0.24839,0.5,0.3319,0.49679,0.49679,0.49679
18,4,0.50857,0.70804,0.50326,0.34351,0.50857,0.50857,0.50857
18,5,0.48929,0.51119,0.50024,0.33341,0.48929,0.48929,0.48929
18,6,0.49714,0.49857,0.5,0.33269,0.49714,0.49714,0.49714
18,7,0.50286,0.75125,0.50072,0.33588,0.50286,0.50286,0.50286
18,8,0.50643,0.60904,0.50538,0.35167,0.50643,0.50643,0.50643
18,9,0.49536,0.24768,0.5,0.33126,0.49536,0.49536,0.49536
19,0,0.51429,0.50789,0.5027,0.41025,0.51429,0.51429,0.51429
19,1,0.49464,0.65577,0.50244,0.33649,0.49464,0.49464,0.49464
19,2,0.51036,0.50987,0.50573,0.45008,0.51036,0.51036,0.51036
19,3,0.49679,0.24839,0.5,0.3319,0.49679,0.49679,0.49679
