round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.48571,0.24286,0.5,0.32692,0.48571,0.48571,0.48571
1,1,0.49214,0.24607,0.5,0.32982,0.49214,0.49214,0.49214
1,2,0.50714,0.25357,0.5,0.33649,0.50714,0.50714,0.50714
1,3,0.50321,0.25161,0.5,0.33476,0.50321,0.50321,0.50321
1,4,0.50536,0.25268,0.5,0.33571,0.50536,0.50536,0.50536
1,5,0.51107,0.25554,0.5,0.33822,0.51107,0.51107,0.51107
1,6,0.50286,0.25143,0.5,0.3346,0.50286,0.50286,0.50286
1,7,0.50214,0.25107,0.5,0.33428,0.50214,0.50214,0.50214
1,8,0.50107,0.25054,0.5,0.33381,0.50107,0.50107,0.50107
1,9,0.49536,0.24768,0.5,0.33126,0.49536,0.49536,0.49536
2,0,0.48643,0.49351,0.4972,0.40856,0.48643,0.48643,0.48643
2,1,0.49607,0.50577,0.50223,0.40895,0.49607,0.49607,0.49607
2,2,0.51214,0.51699,0.50654,0.41961,0.51214,0.51214,0.51214
2,3,0.50464,0.50557,0.50211,0.41169,0.50464,0.50464,0.50464
2,4,0.50786,0.50892,0.5038,0.42259,0.50786,0.50786,0.50786
2,5,0.51786,0.52472,0.50904,0.42084,0.51786,0.51786,0.51786
2,6,0.50857,0.51604,0.50635,0.41965,0.50857,0.50857,0.50857
2,7,0.50321,0.50371,0.5016,0.41956,0.50321,0.50321,0.50321
2,8,0.49821,0.49351,0.49739,0.40956,0.49821,0.49821,0.49821
2,9,0.50321,0.51504,0.50668,0.42529,0.50321,0.50321,0.50321
3,0,0.48571,0.49168,0.49596,0.41656,0.48571,0.48571,0.48571
3,1,0.50036,0.51443,0.50627,0.42199,0.50036,0.50036,0.50036
3,2,0.51071,0.5124,0.50532,0.42557,0.51071,0.51071,0.51071
3,3,0.50536,0.50697,0.5029,0.41909,0.50536,0.50536,0.50536
3,4,0.50464,0.50152,0.50069,0.42412,0.50464,0.50464,0.50464
3,5,0.51536,0.51648,0.50693,0.42748,0.51536,0.51536,0.51536
3,6,0.5075,0.51232,0.50535,0.42493,0.5075,0.5075,0.5075
3,7,0.50107,0.49901,0.49952,0.42525,0.50107,0.50107,0.50107
3,8,0.4975,0.49261,0.4967,0.41618,0.4975,0.4975,0.4975
3,9,0.50107,0.50922,0.50442,0.42863,0.50107,0.50107,0.50107
4,0,0.49321,0.4959,0.49606,0.48949,0.49321,0.49321,0.49321
4,1,0.50357,0.50524,0.50505,0.49984,0.50357,0.50357,0.50357
4,2,0.49929,0.49747,0.49761,0.49143,0.49929,0.49929,0.49929
4,3,0.50107,0.50033,0.50031,0.49356,0.50107,0.50107,0.50107
4,4,0.50214,0.50108,0.50103,0.49612,0.50214,0.50214,0.50214
4,5,0.51321,0.51148,0.51104,0.50729,0.51321,0.51321,0.51321
4,6,0.50536,0.50497,0.50473,0.49902,0.50536,0.50536,0.50536
4,7,0.50179,0.50142,0.50136,0.49672,0.50179,0.50179,0.50179
4,8,0.49607,0.49573,0.49588,0.49172,0.49607,0.49607,0.49607
4,9,0.50964,0.51084,0.51049,0.50598,0.50964,0.50964,0.50964
5,0,0.49143,0.49725,0.49779,0.4683,0.49143,0.49143,0.49143
5,1,0.49571,0.49923,0.4994,0.46846,0.49571,0.49571,0.49571
5,2,0.50321,0.49963,0.49972,0.46959,0.50321,0.50321,0.50321
5,3,0.50107,0.49925,0.49944,0.46585,0.50107,0.50107,0.50107
5,4,0.50321,0.50089,0.5007,0.47275,0.50321,0.50321,0.50321
5,5,0.50679,0.50205,0.5016,0.47519,0.50679,0.50679,0.50679
5,6,0.50821,0.5089,0.50684,0.47729,0.50821,0.50821,0.50821
5,7,0.49857,0.497,0.49761,0.47129,0.49857,0.49857,0.49857
5,8,0.49964,0.49892,0.49915,0.47124,0.49964,0.49964,0.49964
5,9,0.50321,0.50648,0.50524,0.47939,0.50321,0.50321,0.50321
6,0,0.49357,0.49314,0.49314,0.49314,0.49357,0.49357,0.49357
6,1,0.49857,0.49821,0.49821,0.4981,0.49857,0.49857,0.49857
6,2,0.505,0.505,0.505,0.50497,0.505,0.505,0.505
6,3,0.505,0.50497,0.50497,0.50497,0.505,0.505,0.505
6,4,0.49536,0.49536,0.49536,0.49534,0.49536,0.49536,0.49536
6,5,0.5225,0.52309,0.52305,0.52242,0.5225,0.5225,0.5225
