round,comm_costs
1,107520000
2,107520000
3,107520000
4,107520000
5,107520000
6,107520000
7,107520000
8,107520000
9,107520000
10,107520000
11,107520000
12,107520000
13,107520000
14,107520000
15,107520000
16,107520000
17,107520000
18,107520000
19,107520000
20,107520000
21,107520000
22,107520000
23,107520000
24,107520000
25,107520000
26,107520000
27,107520000
28,107520000
29,107520000
30,107520000
31,107520000
32,107520000
33,107520000
34,107520000
35,107520000
36,107520000
37,107520000
38,107520000
39,107520000
40,107520000
41,107520000
42,107520000
43,107520000
44,107520000
45,107520000
46,107520000
47,107520000
48,107520000
49,107520000
50,107520000
