round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,loss
1,0.42714,0.41551,0.42683,0.4071,0.42714,0.42714,0.42714,0.88937
2,0.46643,0.43562,0.46584,0.39508,0.46643,0.46643,0.46643,0.82232
3,0.49679,0.49497,0.49634,0.45972,0.49679,0.49679,0.49679,0.72768
4,0.54364,0.55043,0.54332,0.5268,0.54364,0.54364,0.54364,0.68252
5,0.6355,0.66722,0.63587,0.61772,0.6355,0.6355,0.6355,0.65659
6,0.56179,0.64023,0.56114,0.48947,0.56179,0.56179,0.56179,0.66755
7,0.67929,0.68625,0.67912,0.67613,0.67929,0.67929,0.67929,0.61664
8,0.70364,0.70396,0.70368,0.70355,0.70364,0.70364,0.70364,0.60309
9,0.55143,0.6927,0.55216,0.45189,0.55143,0.55143,0.55143,0.78989
10,0.68136,0.70052,0.68109,0.67336,0.68136,0.68136,0.68136,0.60936
11,0.70664,0.70859,0.70656,0.7059,0.70664,0.70664,0.70664,0.594
12,0.64364,0.69607,0.6432,0.6177,0.64364,0.64364,0.64364,0.63203
13,0.57943,0.69496,0.57877,0.50541,0.57943,0.57943,0.57943,0.71428
14,0.69271,0.71695,0.693,0.68408,0.69271,0.69271,0.69271,0.59912
15,0.69543,0.71875,0.69571,0.68728,0.69543,0.69543,0.69543,0.59825
16,0.70436,0.70896,0.70423,0.70264,0.70436,0.70436,0.70436,0.59468
17,0.67271,0.71235,0.67308,0.65698,0.67271,0.67271,0.67271,0.61438
18,0.71071,0.71307,0.7108,0.70997,0.71071,0.71071,0.71071,0.5858
19,0.71064,0.71701,0.71079,0.7086,0.71064,0.71064,0.71064,0.58626
20,0.69421,0.71843,0.6945,0.68569,0.69421,0.69421,0.69421,0.59766
21,0.70257,0.70969,0.70241,0.69992,0.70257,0.70257,0.70257,0.59603
22,0.71093,0.71754,0.71108,0.70881,0.71093,0.71093,0.71093,0.5853
23,0.71529,0.7154,0.71527,0.71524,0.71529,0.71529,0.71529,0.58572
24,0.65707,0.70972,0.6575,0.63447,0.65707,0.65707,0.65707,0.62761
25,0.691,0.70727,0.69076,0.68464,0.691,0.691,0.691,0.6036
26,0.707,0.71199,0.70687,0.70518,0.707,0.707,0.707,0.59352
27,0.69429,0.70676,0.69407,0.68946,0.69429,0.69429,0.69429,0.60016
28,0.71664,0.72027,0.71675,0.71554,0.71664,0.71664,0.71664,0.58307
29,0.71486,0.71856,0.71497,0.71371,0.71486,0.71486,0.71486,0.58229
30,0.692,0.71955,0.6923,0.68224,0.692,0.692,0.692,0.59897
31,0.71771,0.7193,0.71779,0.71725,0.71771,0.71771,0.71771,0.58101
32,0.66829,0.71338,0.66868,0.6501,0.66829,0.66829,0.66829,0.61817
33,0.71836,0.72026,0.71844,0.71779,0.71836,0.71836,0.71836,0.5804
34,0.71321,0.72317,0.71339,0.71009,0.71321,0.71321,0.71321,0.58372
35,0.66721,0.71349,0.66761,0.64847,0.66721,0.66721,0.66721,0.61848
36,0.71421,0.72202,0.71437,0.71178,0.71421,0.71421,0.71421,0.58274
37,0.68371,0.70892,0.68342,0.67365,0.68371,0.68371,0.68371,0.61089
38,0.71964,0.71971,0.71963,0.71961,0.71964,0.71964,0.71964,0.58227
39,0.70843,0.72477,0.70866,0.70318,0.70843,0.70843,0.70843,0.58713
40,0.72164,0.72354,0.72172,0.7211,0.72164,0.72164,0.72164,0.57965
41,0.71914,0.71918,0.71915,0.71914,0.71914,0.71914,0.71914,0.58015
42,0.72157,0.72327,0.72165,0.72108,0.72157,0.72157,0.72157,0.57873
43,0.71779,0.72253,0.71791,0.71635,0.71779,0.71779,0.71779,0.58024
44,0.70386,0.71268,0.70368,0.70064,0.70386,0.70386,0.70386,0.59442
45,0.7215,0.72227,0.72155,0.72129,0.7215,0.7215,0.7215,0.57872
46,0.70114,0.71381,0.70093,0.69651,0.70114,0.70114,0.70114,0.59899
47,0.7015,0.7128,0.7013,0.69735,0.7015,0.7015,0.7015,0.59733
48,0.66479,0.71423,0.6652,0.64459,0.66479,0.66479,0.66479,0.62248
49,0.70657,0.71458,0.7064,0.7037,0.70657,0.70657,0.70657,0.59237
50,0.71957,0.71966,0.71955,0.71953,0.71957,0.71957,0.71957,0.57939
