round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.3,0.15,0.5,0.23077,0.3,0.3,0.3
1,8,0.33333,0.16667,0.5,0.25,0.33333,0.33333,0.33333
2,1,0.44444,0.22222,0.5,0.30769,0.44444,0.44444,0.44444
2,7,0.22222,0.11111,0.5,0.18182,0.22222,0.22222,0.22222
3,2,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
3,3,0.77778,0.38889,0.5,0.4375,0.77778,0.77778,0.77778
4,3,0.88889,0.9375,0.75,0.8,0.88889,0.88889,0.88889
4,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,3,0.88889,0.9375,0.75,0.8,0.88889,0.88889,0.88889
5,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0,0.8,0.7619,0.7619,0.7619,0.8,0.8,0.8
6,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,1,0.55556,0.75,0.6,0.5,0.55556,0.55556,0.55556
7,7,0.44444,0.64286,0.64286,0.44444,0.44444,0.44444,0.44444
8,6,0.66667,0.75,0.75,0.66667,0.66667,0.66667,0.66667
8,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,0,0.9,0.9375,0.83333,0.86667,0.9,0.9,0.9
10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,2,0.66667,0.75,0.75,0.66667,0.66667,0.66667,0.66667
11,8,0.66667,0.75,0.75,0.66667,0.66667,0.66667,0.66667
12,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,9,0.77778,0.875,0.66667,0.67857,0.77778,0.77778,0.77778
13,1,0.77778,0.85714,0.75,0.75,0.77778,0.77778,0.77778
13,8,0.88889,0.92857,0.83333,0.86154,0.88889,0.88889,0.88889
14,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,6,0.77778,0.75,0.75,0.75,0.77778,0.77778,0.77778
15,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,5,0.88889,0.91667,0.875,0.88312,0.88889,0.88889,0.88889
16,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,9,0.77778,0.875,0.66667,0.67857,0.77778,0.77778,0.77778
17,1,0.77778,0.85714,0.75,0.75,0.77778,0.77778,0.77778
17,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,6,0.77778,0.75,0.75,0.75,0.77778,0.77778,0.77778
20,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,9,0.77778,0.875,0.66667,0.67857,0.77778,0.77778,0.77778
21,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,6,0.77778,0.75,0.75,0.75,0.77778,0.77778,0.77778
22,6,0.77778,0.75,0.75,0.75,0.77778,0.77778,0.77778
22,9,0.77778,0.875,0.66667,0.67857,0.77778,0.77778,0.77778
23,5,0.77778,0.85714,0.75,0.75,0.77778,0.77778,0.77778
23,9,0.77778,0.875,0.66667,0.67857,0.77778,0.77778,0.77778
24,6,0.77778,0.75,0.75,0.75,0.77778,0.77778,0.77778
24,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,8,0.88889,0.875,0.91667,0.88312,0.88889,0.88889,0.88889
26,1,0.77778,0.85714,0.75,0.75,0.77778,0.77778,0.77778
26,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,5,0.77778,0.85714,0.75,0.75,0.77778,0.77778,0.77778
28,1,0.77778,0.85714,0.75,0.75,0.77778,0.77778,0.77778
28,6,0.77778,0.75,0.75,0.75,0.77778,0.77778,0.77778
29,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,9,0.88889,0.92857,0.83333,0.86154,0.88889,0.88889,0.88889
30,0,0.8,0.7619,0.7619,0.7619,0.8,0.8,0.8
30,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,9,0.88889,0.92857,0.83333,0.86154,0.88889,0.88889,0.88889
32,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,5,0.77778,0.85714,0.75,0.75,0.77778,0.77778,0.77778
33,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,8,0.88889,0.875,0.91667,0.88312,0.88889,0.88889,0.88889
34,0,0.8,0.7619,0.7619,0.7619,0.8,0.8,0.8
34,9,0.88889,0.92857,0.83333,0.86154,0.88889,0.88889,0.88889
35,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,0,0.8,0.7619,0.7619,0.7619,0.8,0.8,0.8
36,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37,5,0.77778,0.85714,0.75,0.75,0.77778,0.77778,0.77778
37,9,0.88889,0.92857,0.83333,0.86154,0.88889,0.88889,0.88889
38,6,0.77778,0.75,0.75,0.75,0.77778,0.77778,0.77778
38,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39,0,0.8,0.7619,0.7619,0.7619,0.8,0.8,0.8
39,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,8,0.88889,0.875,0.91667,0.88312,0.88889,0.88889,0.88889
40,9,0.88889,0.92857,0.83333,0.86154,0.88889,0.88889,0.88889
41,1,0.88889,0.91667,0.875,0.88312,0.88889,0.88889,0.88889
41,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42,8,0.88889,0.875,0.91667,0.88312,0.88889,0.88889,0.88889
43,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
