round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
2,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
3,0.84211,0.84211,0.86407,0.83969,0.84211,0.84211,0.84211
4,0.87719,0.86835,0.88765,0.87329,0.87719,0.87719,0.87719
5,0.89474,0.92771,0.86047,0.87996,0.89474,0.89474,0.89474
6,0.83333,0.83559,0.85703,0.83114,0.83333,0.83333,0.83333
7,0.9386,0.93651,0.93236,0.93435,0.9386,0.9386,0.9386
8,0.9386,0.94737,0.92319,0.93298,0.9386,0.9386,0.9386
9,0.9386,0.93651,0.93236,0.93435,0.9386,0.9386,0.9386
10,0.9386,0.93651,0.93236,0.93435,0.9386,0.9386,0.9386
11,0.9386,0.94122,0.92778,0.93369,0.9386,0.9386,0.9386
12,0.92105,0.91461,0.91828,0.91636,0.92105,0.92105,0.92105
13,0.9386,0.94122,0.92778,0.93369,0.9386,0.9386,0.9386
14,0.9386,0.94122,0.92778,0.93369,0.9386,0.9386,0.9386
15,0.9386,0.93651,0.93236,0.93435,0.9386,0.9386,0.9386
16,0.9386,0.94122,0.92778,0.93369,0.9386,0.9386,0.9386
17,0.95614,0.95162,0.95562,0.95353,0.95614,0.95614,0.95614
18,0.95614,0.94917,0.9602,0.95392,0.95614,0.95614,0.95614
19,0.94737,0.94399,0.94399,0.94399,0.94737,0.94737,0.94737
20,0.9386,0.94122,0.92778,0.93369,0.9386,0.9386,0.9386
21,0.94737,0.94399,0.94399,0.94399,0.94737,0.94737,0.94737
22,0.94737,0.94399,0.94399,0.94399,0.94737,0.94737,0.94737
23,0.95614,0.95536,0.95103,0.95311,0.95614,0.95614,0.95614
24,0.95614,0.95536,0.95103,0.95311,0.95614,0.95614,0.95614
25,0.94737,0.94106,0.94858,0.94448,0.94737,0.94737,0.94737
26,0.95614,0.95536,0.95103,0.95311,0.95614,0.95614,0.95614
27,0.94737,0.94399,0.94399,0.94399,0.94737,0.94737,0.94737
28,0.94737,0.94399,0.94399,0.94399,0.94737,0.94737,0.94737
29,0.96491,0.96726,0.95807,0.9623,0.96491,0.96491,0.96491
30,0.94737,0.94106,0.94858,0.94448,0.94737,0.94737,0.94737
31,0.94737,0.94399,0.94399,0.94399,0.94737,0.94737,0.94737
32,0.95614,0.95162,0.95562,0.95353,0.95614,0.95614,0.95614
33,0.94737,0.94106,0.94858,0.94448,0.94737,0.94737,0.94737
34,0.97368,0.97973,0.96512,0.97158,0.97368,0.97368,0.97368
35,0.97368,0.97973,0.96512,0.97158,0.97368,0.97368,0.97368
36,0.97368,0.97973,0.96512,0.97158,0.97368,0.97368,0.97368
37,0.94737,0.94399,0.94399,0.94399,0.94737,0.94737,0.94737
38,0.94737,0.94399,0.94399,0.94399,0.94737,0.94737,0.94737
39,0.95614,0.95536,0.95103,0.95311,0.95614,0.95614,0.95614
40,0.96491,0.97333,0.95349,0.96191,0.96491,0.96491,0.96491
41,0.95614,0.96711,0.94186,0.95213,0.95614,0.95614,0.95614
42,0.96491,0.96726,0.95807,0.9623,0.96491,0.96491,0.96491
43,0.96491,0.96726,0.95807,0.9623,0.96491,0.96491,0.96491
44,0.96491,0.95942,0.96725,0.96299,0.96491,0.96491,0.96491
45,0.95614,0.96711,0.94186,0.95213,0.95614,0.95614,0.95614
46,0.95614,0.96711,0.94186,0.95213,0.95614,0.95614,0.95614
47,0.95614,0.96711,0.94186,0.95213,0.95614,0.95614,0.95614
48,0.95614,0.96711,0.94186,0.95213,0.95614,0.95614,0.95614
49,0.95614,0.96711,0.94186,0.95213,0.95614,0.95614,0.95614
50,0.95614,0.96711,0.94186,0.95213,0.95614,0.95614,0.95614
