round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
1,6,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
1,7,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
1,8,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
1,9,0.79825,0.87766,0.73256,0.74776,0.79825,0.79825,0.79825
2,1,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
2,2,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
2,4,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
2,5,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
2,7,0.72807,0.79054,0.78169,0.72788,0.72807,0.72807,0.72807
3,1,0.88596,0.87595,0.89011,0.88113,0.88596,0.88596,0.88596
3,2,0.7807,0.81618,0.82394,0.78055,0.7807,0.7807,0.7807
3,3,0.77193,0.86598,0.69767,0.70595,0.77193,0.77193,0.77193
3,7,0.81579,0.88587,0.75581,0.77404,0.81579,0.81579,0.81579
3,9,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
4,0,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
4,2,0.89474,0.92771,0.86047,0.87996,0.89474,0.89474,0.89474
4,3,0.52632,0.72165,0.61972,0.50032,0.52632,0.52632,0.52632
4,5,0.66667,0.82569,0.55814,0.49861,0.66667,0.66667,0.66667
4,7,0.77193,0.81159,0.8169,0.77186,0.77193,0.77193,0.77193
5,0,0.89474,0.88509,0.90174,0.89066,0.89474,0.89474,0.89474
5,1,0.89474,0.92771,0.86047,0.87996,0.89474,0.89474,0.89474
5,2,0.87719,0.91765,0.83721,0.85791,0.87719,0.87719,0.87719
5,3,0.86842,0.91279,0.82558,0.8466,0.86842,0.86842,0.86842
5,7,0.7807,0.86979,0.7093,0.72023,0.7807,0.7807,0.7807
6,0,0.9386,0.93651,0.93236,0.93435,0.9386,0.9386,0.9386
6,2,0.92105,0.93483,0.89993,0.91284,0.92105,0.92105,0.92105
6,4,0.83333,0.83559,0.85703,0.83114,0.83333,0.83333,0.83333
6,7,0.75439,0.80282,0.80282,0.75439,0.75439,0.75439,0.75439
6,8,0.48246,0.71078,0.58451,0.44113,0.48246,0.48246,0.48246
7,1,0.92982,0.92532,0.92532,0.92532,0.92982,0.92982,0.92982
7,3,0.92105,0.93483,0.89993,0.91284,0.92105,0.92105,0.92105
7,4,0.92982,0.92532,0.92532,0.92532,0.92982,0.92982,0.92982
7,7,0.91228,0.90435,0.91123,0.90747,0.91228,0.91228,0.91228
7,8,0.92982,0.92532,0.92532,0.92532,0.92982,0.92982,0.92982
8,0,0.91228,0.90314,0.91582,0.90821,0.91228,0.91228,0.91228
8,5,0.86842,0.91279,0.82558,0.8466,0.86842,0.86842,0.86842
8,6,0.91228,0.93827,0.88372,0.90132,0.91228,0.91228,0.91228
8,7,0.92982,0.92532,0.92532,0.92532,0.92982,0.92982,0.92982
8,8,0.9386,0.94737,0.92319,0.93298,0.9386,0.9386,0.9386
