round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.3,0.15,0.5,0.23077,0.3,0.3,0.3
1,6,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
1,7,0.22222,0.11111,0.5,0.18182,0.22222,0.22222,0.22222
1,8,0.33333,0.16667,0.5,0.25,0.33333,0.33333,0.33333
1,9,0.77778,0.875,0.66667,0.67857,0.77778,0.77778,0.77778
2,1,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
2,2,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
2,4,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
2,5,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
2,7,0.77778,0.75,0.85714,0.75,0.77778,0.77778,0.77778
3,1,0.66667,0.66667,0.65,0.64935,0.66667,0.66667,0.66667
3,2,0.77778,0.8,0.83333,0.775,0.77778,0.77778,0.77778
3,3,0.88889,0.9375,0.75,0.8,0.88889,0.88889,0.88889
3,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,9,0.33333,0.16667,0.5,0.25,0.33333,0.33333,0.33333
4,0,0.3,0.15,0.5,0.23077,0.3,0.3,0.3
4,2,0.88889,0.92857,0.83333,0.86154,0.88889,0.88889,0.88889
4,3,0.44444,0.64286,0.64286,0.44444,0.44444,0.44444,0.44444
4,5,0.66667,0.8125,0.625,0.58462,0.66667,0.66667,0.66667
4,7,0.77778,0.75,0.85714,0.75,0.77778,0.77778,0.77778
5,0,0.9,0.875,0.92857,0.89011,0.9,0.9,0.9
5,1,0.77778,0.85714,0.75,0.75,0.77778,0.77778,0.77778
5,2,0.88889,0.92857,0.83333,0.86154,0.88889,0.88889,0.88889
5,3,0.88889,0.9375,0.75,0.8,0.88889,0.88889,0.88889
5,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0,0.8,0.7619,0.7619,0.7619,0.8,0.8,0.8
6,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,4,0.77778,0.83333,0.8,0.775,0.77778,0.77778,0.77778
6,7,0.77778,0.75,0.85714,0.75,0.77778,0.77778,0.77778
6,8,0.33333,0.16667,0.5,0.25,0.33333,0.33333,0.33333
7,1,0.77778,0.85714,0.75,0.75,0.77778,0.77778,0.77778
7,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0,0.9,0.875,0.92857,0.89011,0.9,0.9,0.9
8,5,0.77778,0.85714,0.75,0.75,0.77778,0.77778,0.77778
8,6,0.77778,0.8,0.83333,0.775,0.77778,0.77778,0.77778
8,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,8,0.88889,0.92857,0.83333,0.86154,0.88889,0.88889,0.88889
9,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,5,0.88889,0.91667,0.875,0.88312,0.88889,0.88889,0.88889
9,6,0.77778,0.75,0.75,0.75,0.77778,0.77778,0.77778
9,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,0,0.8,0.7619,0.7619,0.7619,0.8,0.8,0.8
10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,6,0.77778,0.75,0.75,0.75,0.77778,0.77778,0.77778
10,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,8,0.88889,0.875,0.91667,0.88312,0.88889,0.88889,0.88889
11,1,0.77778,0.85714,0.75,0.75,0.77778,0.77778,0.77778
11,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,8,0.88889,0.875,0.91667,0.88312,0.88889,0.88889,0.88889
