round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.7,0.35,0.5,0.41176,0.7,0.7,0.7
1,8,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
2,1,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
2,7,0.77778,0.38889,0.5,0.4375,0.77778,0.77778,0.77778
3,2,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
3,3,0.77778,0.38889,0.5,0.4375,0.77778,0.77778,0.77778
4,3,0.77778,0.38889,0.5,0.4375,0.77778,0.77778,0.77778
4,7,0.77778,0.38889,0.5,0.4375,0.77778,0.77778,0.77778
5,3,0.77778,0.38889,0.5,0.4375,0.77778,0.77778,0.77778
5,7,0.77778,0.38889,0.5,0.4375,0.77778,0.77778,0.77778
6,0,0.7,0.35,0.5,0.41176,0.7,0.7,0.7
6,7,0.77778,0.38889,0.5,0.4375,0.77778,0.77778,0.77778
7,1,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
7,7,0.77778,0.38889,0.5,0.4375,0.77778,0.77778,0.77778
8,6,0.33333,0.16667,0.5,0.25,0.33333,0.33333,0.33333
8,7,0.77778,0.38889,0.5,0.4375,0.77778,0.77778,0.77778
9,2,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
9,7,0.77778,0.38889,0.5,0.4375,0.77778,0.77778,0.77778
10,0,0.7,0.35,0.5,0.41176,0.7,0.7,0.7
10,3,0.77778,0.38889,0.5,0.4375,0.77778,0.77778,0.77778
11,2,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
11,8,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
12,2,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
12,9,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
13,1,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
13,8,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
14,2,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
14,6,0.33333,0.16667,0.5,0.25,0.33333,0.33333,0.33333
15,4,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
15,5,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
16,3,0.77778,0.38889,0.5,0.4375,0.77778,0.77778,0.77778
16,9,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
17,1,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
17,4,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
18,3,0.77778,0.38889,0.5,0.4375,0.77778,0.77778,0.77778
18,7,0.77778,0.38889,0.5,0.4375,0.77778,0.77778,0.77778
19,3,0.77778,0.38889,0.5,0.4375,0.77778,0.77778,0.77778
19,6,0.33333,0.16667,0.5,0.25,0.33333,0.33333,0.33333
20,4,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
20,9,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
21,4,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
21,6,0.33333,0.16667,0.5,0.25,0.33333,0.33333,0.33333
22,6,0.33333,0.16667,0.5,0.25,0.33333,0.33333,0.33333
22,9,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
23,5,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
23,9,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
24,6,0.33333,0.16667,0.5,0.25,0.33333,0.33333,0.33333
24,7,0.77778,0.38889,0.5,0.4375,0.77778,0.77778,0.77778
25,4,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
25,8,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
26,1,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
26,2,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
27,4,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
27,5,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
28,1,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
28,6,0.33333,0.16667,0.5,0.25,0.33333,0.33333,0.33333
29,7,0.77778,0.38889,0.5,0.4375,0.77778,0.77778,0.77778
29,9,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
30,0,0.7,0.35,0.5,0.41176,0.7,0.7,0.7
30,4,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
31,7,0.77778,0.38889,0.5,0.4375,0.77778,0.77778,0.77778
31,9,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
32,2,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
32,5,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
