round,comm_costs
1,41300
2,41300
3,41300
4,41300
5,41300
6,41300
7,41300
8,41300
9,41300
10,41300
11,41300
12,41300
13,41300
14,41300
15,41300
16,41300
17,41300
18,41300
19,41300
20,41300
21,41300
22,41300
23,41300
24,41300
25,41300
26,41300
27,41300
28,41300
29,41300
30,41300
31,41300
32,41300
33,41300
34,41300
35,41300
36,41300
37,41300
38,41300
39,41300
40,41300
41,41300
42,41300
43,41300
44,41300
45,41300
46,41300
47,41300
48,41300
49,41300
50,82600
