round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
1,6,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
1,7,0.64035,0.81696,0.52326,0.43242,0.64035,0.64035,0.64035
1,8,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
1,9,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
2,1,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
2,2,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
2,4,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
2,5,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
2,7,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
3,1,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
3,2,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
3,3,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
3,7,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
3,9,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
4,0,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
4,2,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
4,3,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
4,5,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
4,7,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
5,0,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
5,1,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
5,2,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
5,3,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
5,7,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
6,0,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
6,2,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
6,4,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
