round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.71081,0.47066,0.49042,0.45461,0.71081,0.71081,0.71081
2,0.75281,0.64568,0.52456,0.4895,0.75281,0.75281,0.75281
3,0.77233,0.72577,0.57064,0.56733,0.77233,0.77233,0.77233
4,0.79646,0.76163,0.6314,0.65085,0.79646,0.79646,0.79646
5,0.80807,0.77474,0.65986,0.68409,0.80807,0.80807,0.80807
6,0.8123,0.77377,0.67577,0.7004,0.8123,0.8123,0.8123
7,0.81599,0.77541,0.6876,0.71202,0.81599,0.81599,0.81599
8,0.81746,0.77562,0.69303,0.71706,0.81746,0.81746,0.81746
9,0.82115,0.77866,0.70338,0.72683,0.82115,0.82115,0.82115
10,0.82225,0.77808,0.70881,0.73135,0.82225,0.82225,0.82225
11,0.82409,0.77952,0.71423,0.73618,0.82409,0.82409,0.82409
12,0.8252,0.78042,0.71744,0.739,0.8252,0.8252,0.8252
13,0.82593,0.78098,0.71966,0.74091,0.82593,0.82593,0.82593
14,0.8263,0.78133,0.72064,0.74179,0.8263,0.8263,0.8263
15,0.82925,0.78534,0.72631,0.74727,0.82925,0.82925,0.82925
16,0.83036,0.78706,0.72803,0.74907,0.83036,0.83036,0.83036
17,0.83201,0.78978,0.73037,0.75159,0.83201,0.83201,0.83201
18,0.83349,0.79195,0.73283,0.75408,0.83349,0.83349,0.83349
19,0.83386,0.79287,0.73283,0.75432,0.83386,0.83386,0.83386
20,0.83496,0.79442,0.7348,0.75625,0.83496,0.83496,0.83496
21,0.83625,0.79651,0.73665,0.75823,0.83625,0.83625,0.83625
22,0.83625,0.79635,0.73689,0.75838,0.83625,0.83625,0.83625
23,0.83699,0.7979,0.73738,0.75917,0.83699,0.83699,0.83699
24,0.83699,0.79821,0.73689,0.75887,0.83699,0.83699,0.83699
25,0.8368,0.79798,0.73652,0.75853,0.8368,0.8368,0.8368
26,0.83643,0.7972,0.73628,0.75813,0.83643,0.83643,0.83643
27,0.83717,0.79797,0.738,0.75967,0.83717,0.83717,0.83717
28,0.83699,0.79774,0.73763,0.75932,0.83699,0.83699,0.83699
29,0.83791,0.79904,0.73923,0.7609,0.83791,0.83791,0.83791
30,0.83791,0.79904,0.73923,0.7609,0.83791,0.83791,0.83791
31,0.83901,0.80073,0.74096,0.76268,0.83901,0.83901,0.83901
32,0.83901,0.80105,0.74046,0.76239,0.83901,0.83901,0.83901
33,0.83901,0.80073,0.74096,0.76268,0.83901,0.83901,0.83901
34,0.83938,0.80118,0.7417,0.76337,0.83938,0.83938,0.83938
35,0.83901,0.80041,0.74145,0.76297,0.83901,0.83901,0.83901
36,0.83883,0.80034,0.74083,0.76248,0.83883,0.83883,0.83883
37,0.8392,0.80096,0.74133,0.76302,0.8392,0.8392,0.8392
38,0.83975,0.80196,0.74194,0.76377,0.83975,0.83975,0.83975
39,0.83938,0.80134,0.74145,0.76322,0.83938,0.83938,0.83938
40,0.83938,0.8015,0.7412,0.76308,0.83938,0.83938,0.83938
41,0.8392,0.80112,0.74108,0.76288,0.8392,0.8392,0.8392
42,0.83938,0.80102,0.74194,0.76351,0.83938,0.83938,0.83938
43,0.83938,0.80118,0.7417,0.76337,0.83938,0.83938,0.83938
44,0.83975,0.80148,0.74268,0.7642,0.83975,0.83975,0.83975
45,0.83975,0.80148,0.74268,0.7642,0.83975,0.83975,0.83975
46,0.83993,0.80202,0.74256,0.76425,0.83993,0.83993,0.83993
47,0.83993,0.80186,0.7428,0.7644,0.83993,0.83993,0.83993
48,0.83975,0.8018,0.74219,0.76391,0.83975,0.83975,0.83975
49,0.83975,0.80164,0.74243,0.76406,0.83975,0.83975,0.83975
50,0.83957,0.80125,0.74231,0.76386,0.83957,0.83957,0.83957
