round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.71394,0.46083,0.4888,0.44808,0.71394,0.71394,0.71394
1,1,0.70768,0.47349,0.49055,0.4577,0.70768,0.70768,0.70768
1,2,0.70971,0.47749,0.49215,0.45919,0.70971,0.70971,0.70971
1,3,0.71339,0.4642,0.48942,0.44999,0.71339,0.71339,0.71339
1,4,0.71247,0.47522,0.49201,0.45644,0.71247,0.71247,0.71247
1,5,0.70915,0.47412,0.49104,0.4574,0.70915,0.70915,0.70915
1,6,0.70823,0.46839,0.48919,0.45441,0.70823,0.70823,0.70823
1,7,0.70805,0.47323,0.49055,0.45737,0.70805,0.70805,0.70805
1,8,0.70952,0.47214,0.49054,0.45605,0.70952,0.70952,0.70952
1,9,0.711,0.46818,0.4898,0.45313,0.711,0.711,0.711
2,0,0.75134,0.63436,0.51691,0.47314,0.75134,0.75134,0.75134
2,1,0.75391,0.64967,0.53393,0.50882,0.75391,0.75391,0.75391
2,2,0.75447,0.65437,0.53208,0.5045,0.75447,0.75447,0.75447
2,3,0.75115,0.6324,0.51679,0.47305,0.75115,0.75115,0.75115
2,4,0.75281,0.6452,0.52554,0.49172,0.75281,0.75281,0.75281
2,5,0.75447,0.65422,0.53233,0.50503,0.75447,0.75447,0.75447
2,6,0.75115,0.63253,0.52222,0.4858,0.75115,0.75115,0.75115
2,7,0.75207,0.63915,0.52727,0.49621,0.75207,0.75207,0.75207
2,8,0.75355,0.64932,0.529,0.49867,0.75355,0.75355,0.75355
2,9,0.74876,0.61136,0.51692,0.47597,0.74876,0.74876,0.74876
3,0,0.77418,0.75292,0.56545,0.5575,0.77418,0.77418,0.77418
3,1,0.77454,0.72401,0.58001,0.58193,0.77454,0.77454,0.77454
3,2,0.77602,0.72653,0.58396,0.58772,0.77602,0.77602,0.77602
3,3,0.77141,0.73968,0.56139,0.5514,0.77141,0.77141,0.77141
3,4,0.77381,0.72125,0.57903,0.58057,0.77381,0.77381,0.77381
3,5,0.77823,0.73008,0.58987,0.59621,0.77823,0.77823,0.77823
