round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.70115,0.47167,0.49083,0.45297,0.70115,0.70115,0.70115
1,1,0.74713,0.50647,0.50255,0.48273,0.74713,0.74713,0.74713
1,2,0.70345,0.45388,0.47776,0.45408,0.70345,0.70345,0.70345
1,3,0.70115,0.46585,0.49049,0.44667,0.70115,0.70115,0.70115
1,4,0.71198,0.50408,0.50101,0.4583,0.71198,0.71198,0.71198
1,5,0.73733,0.45658,0.48262,0.45638,0.73733,0.73733,0.73733
1,6,0.69585,0.44079,0.47404,0.4443,0.69585,0.69585,0.69585
1,7,0.66129,0.38573,0.46078,0.41073,0.66129,0.66129,0.66129
1,8,0.6659,0.41597,0.47049,0.42475,0.6659,0.6659,0.6659
1,9,0.7212,0.49462,0.49901,0.44914,0.7212,0.7212,0.7212
2,0,0.72874,0.50665,0.50085,0.44511,0.72874,0.72874,0.72874
2,1,0.78851,0.66423,0.53669,0.52129,0.78851,0.78851,0.78851
2,2,0.77471,0.66499,0.54858,0.53916,0.77471,0.77471,0.77471
2,3,0.74713,0.76213,0.52731,0.48273,0.74713,0.74713,0.74713
2,4,0.74654,0.70803,0.53564,0.5024,0.74654,0.74654,0.74654
2,5,0.78802,0.62982,0.52276,0.49748,0.78802,0.78802,0.78802
2,6,0.75115,0.56071,0.5104,0.47037,0.75115,0.75115,0.75115
2,7,0.72581,0.61611,0.51569,0.46507,0.72581,0.72581,0.72581
2,8,0.71429,0.54167,0.5065,0.45284,0.71429,0.71429,0.71429
2,9,0.73502,0.5869,0.51409,0.46965,0.73502,0.73502,0.73502
3,0,0.76092,0.73011,0.55993,0.5468,0.76092,0.76092,0.76092
3,1,0.8092,0.735,0.60074,0.61737,0.8092,0.8092,0.8092
3,2,0.8069,0.76332,0.61858,0.63828,0.8069,0.8069,0.8069
3,3,0.77011,0.82958,0.57079,0.55893,0.77011,0.77011,0.77011
3,4,0.76728,0.73919,0.58867,0.59084,0.76728,0.76728,0.76728
3,5,0.80415,0.70965,0.58141,0.59187,0.80415,0.80415,0.80415
3,6,0.78571,0.75487,0.57593,0.57661,0.78571,0.78571,0.78571
3,7,0.75115,0.72261,0.56975,0.56014,0.75115,0.75115,0.75115
3,8,0.75576,0.73873,0.5815,0.57729,0.75576,0.75576,0.75576
3,9,0.75806,0.71504,0.55834,0.54497,0.75806,0.75806,0.75806
4,0,0.77931,0.75165,0.60681,0.61736,0.77931,0.77931,0.77931
4,1,0.81379,0.73506,0.62715,0.64913,0.81379,0.81379,0.81379
4,2,0.84368,0.81499,0.7056,0.73706,0.84368,0.84368,0.84368
4,3,0.77241,0.76975,0.58906,0.59034,0.77241,0.77241,0.77241
4,4,0.79954,0.77175,0.66623,0.68866,0.79954,0.79954,0.79954
4,5,0.80645,0.7088,0.60305,0.62001,0.80645,0.80645,0.80645
4,6,0.79493,0.77047,0.59846,0.60966,0.79493,0.79493,0.79493
4,7,0.76959,0.74793,0.6112,0.62054,0.76959,0.76959,0.76959
4,8,0.78802,0.79522,0.63984,0.65736,0.78802,0.78802,0.78802
4,9,0.7788,0.75655,0.60389,0.61315,0.7788,0.7788,0.7788
5,0,0.78621,0.76006,0.62296,0.6386,0.78621,0.78621,0.78621
5,1,0.81839,0.73598,0.65747,0.68011,0.81839,0.81839,0.81839
5,2,0.84598,0.8052,0.72463,0.75175,0.84598,0.84598,0.84598
5,3,0.78161,0.76741,0.61481,0.62711,0.78161,0.78161,0.78161
5,4,0.81567,0.78538,0.705,0.72841,0.81567,0.81567,0.81567
5,5,0.81797,0.73348,0.6386,0.66164,0.81797,0.81797,0.81797
5,6,0.80415,0.78266,0.62098,0.64012,0.80415,0.80415,0.80415
5,7,0.78111,0.74706,0.6479,0.6657,0.78111,0.78111,0.78111
5,8,0.78571,0.77661,0.64339,0.66136,0.78571,0.78571,0.78571
5,9,0.81797,0.80746,0.68485,0.71233,0.81797,0.81797,0.81797
6,0,0.7908,0.76381,0.63468,0.65322,0.7908,0.7908,0.7908
6,1,0.82529,0.74414,0.68926,0.70898,0.82529,0.82529,0.82529
6,2,0.85287,0.81164,0.74313,0.76811,0.85287,0.85287,0.85287
6,3,0.77931,0.74539,0.6216,0.63591,0.77931,0.77931,0.77931
6,4,0.81797,0.78602,0.71213,0.73485,0.81797,0.81797,0.81797
6,5,0.81567,0.72348,0.64925,0.67063,0.81567,0.81567,0.81567
6,6,0.80876,0.78517,0.63389,0.65639,0.80876,0.80876,0.80876
6,7,0.79032,0.76073,0.66471,0.68494,0.79032,0.79032,0.79032
6,8,0.79263,0.77825,0.66104,0.68197,0.79263,0.79263,0.79263
6,9,0.82488,0.81192,0.70099,0.72918,0.82488,0.82488,0.82488
7,0,0.7908,0.75059,0.64617,0.66586,0.7908,0.7908,0.7908
7,1,0.82759,0.74806,0.69463,0.71419,0.82759,0.82759,0.82759
7,2,0.85287,0.80929,0.74664,0.77011,0.85287,0.85287,0.85287
7,3,0.78391,0.74696,0.63587,0.65329,0.78391,0.78391,0.78391
7,4,0.81797,0.78392,0.71491,0.73682,0.81797,0.81797,0.81797
7,5,0.81106,0.71182,0.65441,0.673,0.81106,0.81106,0.81106
7,6,0.81567,0.79152,0.6516,0.67762,0.81567,0.81567,0.81567
7,7,0.80184,0.77641,0.68571,0.70804,0.80184,0.80184,0.80184
7,8,0.79032,0.76535,0.6646,0.68494,0.79032,0.79032,0.79032
7,9,0.8318,0.81999,0.71426,0.74311,0.8318,0.8318,0.8318
8,0,0.78851,0.74422,0.64462,0.6637,0.78851,0.78851,0.78851
8,1,0.83678,0.762,0.72005,0.73693,0.83678,0.83678,0.83678
8,2,0.85517,0.81007,0.75515,0.77658,0.85517,0.85517,0.85517
8,3,0.78621,0.74536,0.64579,0.6645,0.78621,0.78621,0.78621
8,4,0.82258,0.78432,0.73195,0.75074,0.82258,0.82258,0.82258
8,5,0.81797,0.72581,0.66685,0.68659,0.81797,0.81797,0.81797
8,6,0.82258,0.80204,0.66603,0.69452,0.82258,0.82258,0.82258
8,7,0.80415,0.7769,0.69253,0.71471,0.80415,0.80415,0.80415
8,8,0.78341,0.74396,0.66497,0.68331,0.78341,0.78341,0.78341
8,9,0.8318,0.81016,0.72287,0.74926,0.8318,0.8318,0.8318
9,0,0.78391,0.7321,0.64151,0.65941,0.78391,0.78391,0.78391
9,1,0.83448,0.75606,0.72642,0.73912,0.83448,0.83448,0.83448
9,2,0.86667,0.82422,0.78015,0.79851,0.86667,0.86667,0.86667
9,3,0.78621,0.74085,0.65136,0.67019,0.78621,0.78621,0.78621
9,4,0.82028,0.7773,0.73594,0.75177,0.82028,0.82028,0.82028
9,5,0.82258,0.73374,0.68188,0.70063,0.82258,0.82258,0.82258
9,6,0.82258,0.7975,0.66932,0.69762,0.82258,0.82258,0.82258
9,7,0.80415,0.77246,0.69776,0.7189,0.80415,0.80415,0.80415
9,8,0.78802,0.74713,0.67845,0.69685,0.78802,0.78802,0.78802
9,9,0.82949,0.79959,0.72704,0.75069,0.82949,0.82949,0.82949
10,0,0.7931,0.74718,0.65921,0.67948,0.7931,0.7931,0.7931
10,1,0.83218,0.75194,0.72496,0.73665,0.83218,0.83218,0.83218
10,2,0.86667,0.82422,0.78015,0.79851,0.86667,0.86667,0.86667
10,3,0.78621,0.7389,0.65414,0.67293,0.78621,0.78621,0.78621
10,4,0.82028,0.7773,0.73594,0.75177,0.82028,0.82028,0.82028
10,5,0.82028,0.72903,0.68042,0.69823,0.82028,0.82028,0.82028
10,6,0.82949,0.80324,0.68703,0.71649,0.82949,0.82949,0.82949
10,7,0.80645,0.77753,0.69935,0.72119,0.80645,0.80645,0.80645
10,8,0.79032,0.74744,0.68777,0.70542,0.79032,0.79032,0.79032
10,9,0.8318,0.80014,0.73433,0.75681,0.8318,0.8318,0.8318
11,0,0.7954,0.74695,0.66938,0.68956,0.7954,0.7954,0.7954
11,1,0.83218,0.75194,0.72496,0.73665,0.83218,0.83218,0.83218
11,2,0.86437,0.81952,0.77866,0.79586,0.86437,0.86437,0.86437
11,3,0.78621,0.7389,0.65414,0.67293,0.78621,0.78621,0.78621
11,4,0.82258,0.78016,0.74029,0.75576,0.82258,0.82258,0.82258
11,5,0.81797,0.72418,0.683,0.69879,0.81797,0.81797,0.81797
11,6,0.8341,0.80579,0.69994,0.72935,0.8341,0.8341,0.8341
11,7,0.81567,0.78891,0.71615,0.73828,0.81567,0.81567,0.81567
11,8,0.79263,0.75055,0.69193,0.70966,0.79263,0.79263,0.79263
11,9,0.82949,0.7953,0.73278,0.75438,0.82949,0.82949,0.82949
12,0,0.7954,0.7453,0.67225,0.69206,0.7954,0.7954,0.7954
12,1,0.82989,0.74791,0.7235,0.7342,0.82989,0.82989,0.82989
12,2,0.86437,0.81952,0.77866,0.79586,0.86437,0.86437,0.86437
12,3,0.7908,0.74606,0.66284,0.68258,0.7908,0.7908,0.7908
12,4,0.82258,0.779,0.74307,0.75737,0.82258,0.82258,0.82258
12,5,0.81797,0.72418,0.683,0.69879,0.81797,0.81797,0.81797
12,6,0.8341,0.80579,0.69994,0.72935,0.8341,0.8341,0.8341
12,7,0.81567,0.7868,0.71877,0.74012,0.81567,0.81567,0.81567
12,8,0.79493,0.75363,0.6961,0.71387,0.79493,0.79493,0.79493
12,9,0.82949,0.7934,0.73564,0.75616,0.82949,0.82949,0.82949
13,0,0.8,0.75212,0.6811,0.70136,0.8,0.8,0.8
13,1,0.82989,0.74791,0.7235,0.7342,0.82989,0.82989,0.82989
13,2,0.86207,0.81492,0.77716,0.79322,0.86207,0.86207,0.86207
13,3,0.7931,0.74953,0.66719,0.68734,0.7931,0.7931,0.7931
13,4,0.82719,0.78464,0.75177,0.7652,0.82719,0.82719,0.82719
13,5,0.82028,0.72828,0.6885,0.70402,0.82028,0.82028,0.82028
