round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.3789,0.41212,0.39552,0.28701,0.3789,0.3789,0.3789
2,0.39,0.68677,0.401,0.31833,0.39,0.39,0.39
3,0.5209,0.74419,0.53407,0.47216,0.5209,0.5209,0.5209
4,0.6626,0.74088,0.65941,0.60442,0.6626,0.6626,0.6626
5,0.5738,0.80845,0.58149,0.547,0.5738,0.5738,0.5738
6,0.7582,0.78924,0.75466,0.71475,0.7582,0.7582,0.7582
7,0.7217,0.84336,0.72807,0.73587,0.7217,0.7217,0.7217
8,0.7992,0.83455,0.79588,0.76797,0.7992,0.7992,0.7992
9,0.8347,0.85153,0.83519,0.8303,0.8347,0.8347,0.8347
10,0.8228,0.87375,0.82152,0.81042,0.8228,0.8228,0.8228
11,0.8763,0.88072,0.87683,0.87398,0.8763,0.8763,0.8763
12,0.8478,0.88235,0.84676,0.84281,0.8478,0.8478,0.8478
13,0.8862,0.89052,0.88642,0.8841,0.8862,0.8862,0.8862
14,0.8795,0.89288,0.87806,0.87527,0.8795,0.8795,0.8795
15,0.8959,0.90409,0.89585,0.8954,0.8959,0.8959,0.8959
16,0.8708,0.88238,0.86894,0.86274,0.8708,0.8708,0.8708
17,0.9063,0.90872,0.90695,0.90513,0.9063,0.9063,0.9063
18,0.9031,0.91034,0.90175,0.90072,0.9031,0.9031,0.9031
19,0.9181,0.91864,0.91823,0.9171,0.9181,0.9181,0.9181
20,0.8752,0.90089,0.87399,0.86999,0.8752,0.8752,0.8752
21,0.9146,0.91773,0.91478,0.91411,0.9146,0.9146,0.9146
22,0.8957,0.91379,0.89456,0.89114,0.8957,0.8957,0.8957
23,0.9222,0.92369,0.92262,0.9216,0.9222,0.9222,0.9222
24,0.8948,0.91041,0.89386,0.8923,0.8948,0.8948,0.8948
25,0.905,0.91446,0.90628,0.90506,0.905,0.905,0.905
26,0.8679,0.89278,0.86617,0.85979,0.8679,0.8679,0.8679
27,0.9114,0.91685,0.91262,0.91115,0.9114,0.9114,0.9114
28,0.868,0.89892,0.86613,0.86121,0.868,0.868,0.868
29,0.9119,0.9179,0.91327,0.9118,0.9119,0.9119,0.9119
30,0.879,0.90184,0.87671,0.874,0.879,0.879,0.879
31,0.9156,0.92266,0.91685,0.91626,0.9156,0.9156,0.9156
32,0.8803,0.89858,0.87863,0.87402,0.8803,0.8803,0.8803
33,0.9242,0.92854,0.92492,0.92388,0.9242,0.9242,0.9242
34,0.9247,0.92837,0.9241,0.92349,0.9247,0.9247,0.9247
35,0.9324,0.93519,0.93247,0.93178,0.9324,0.9324,0.9324
36,0.9144,0.92429,0.91395,0.91241,0.9144,0.9144,0.9144
37,0.94,0.94062,0.93998,0.93947,0.94,0.94,0.94
38,0.919,0.93097,0.91882,0.91858,0.919,0.919,0.919
39,0.9179,0.92013,0.91782,0.9159,0.9179,0.9179,0.9179
40,0.9136,0.92758,0.91333,0.91308,0.9136,0.9136,0.9136
