round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.3711,0.41024,0.38795,0.27881,0.3711,0.3711,0.3711
1,1,0.373,0.41089,0.38982,0.28034,0.373,0.373,0.373
1,2,0.3881,0.40862,0.40433,0.29381,0.3881,0.3881,0.3881
1,3,0.3824,0.41066,0.39875,0.28976,0.3824,0.3824,0.3824
1,4,0.3757,0.41012,0.39235,0.28327,0.3757,0.3757,0.3757
1,5,0.3857,0.41152,0.40176,0.2932,0.3857,0.3857,0.3857
1,6,0.375,0.41296,0.39172,0.28375,0.375,0.375,0.375
1,7,0.3836,0.31102,0.40014,0.28967,0.3836,0.3836,0.3836
1,8,0.3741,0.4105,0.39086,0.28161,0.3741,0.3741,0.3741
1,9,0.3771,0.40719,0.3937,0.28545,0.3771,0.3771,0.3771
2,0,0.3749,0.6866,0.3858,0.30268,0.3749,0.3749,0.3749
2,1,0.3886,0.68342,0.39971,0.3156,0.3886,0.3886,0.3886
2,2,0.3758,0.70693,0.38682,0.30354,0.3758,0.3758,0.3758
2,3,0.4096,0.65818,0.42018,0.34163,0.4096,0.4096,0.4096
2,4,0.368,0.70328,0.37944,0.29171,0.368,0.368,0.368
2,5,0.3812,0.68424,0.39292,0.30394,0.3812,0.3812,0.3812
2,6,0.4085,0.66139,0.4193,0.33878,0.4085,0.4085,0.4085
2,7,0.4418,0.65964,0.45158,0.37857,0.4418,0.4418,0.4418
2,8,0.3866,0.67956,0.39779,0.31335,0.3866,0.3866,0.3866
2,9,0.456,0.6605,0.46458,0.39834,0.456,0.456,0.456
3,0,0.5296,0.74476,0.54209,0.48242,0.5296,0.5296,0.5296
3,1,0.5145,0.748,0.5282,0.46429,0.5145,0.5145,0.5145
3,2,0.5258,0.74354,0.53869,0.4779,0.5258,0.5258,0.5258
3,3,0.5155,0.74359,0.52906,0.46461,0.5155,0.5155,0.5155
3,4,0.5178,0.74191,0.53104,0.47028,0.5178,0.5178,0.5178
3,5,0.5062,0.7453,0.52032,0.45345,0.5062,0.5062,0.5062
3,6,0.5231,0.73791,0.53605,0.47357,0.5231,0.5231,0.5231
3,7,0.5211,0.73925,0.53429,0.47076,0.5211,0.5211,0.5211
3,8,0.526,0.74236,0.53892,0.47782,0.526,0.526,0.526
3,9,0.515,0.7446,0.52861,0.46407,0.515,0.515,0.515
4,0,0.656,0.73717,0.65278,0.59761,0.656,0.656,0.656
4,1,0.6672,0.74339,0.66412,0.60866,0.6672,0.6672,0.6672
4,2,0.6607,0.74007,0.65756,0.60237,0.6607,0.6607,0.6607
4,3,0.6627,0.74172,0.65942,0.60456,0.6627,0.6627,0.6627
4,4,0.6658,0.74282,0.66257,0.60715,0.6658,0.6658,0.6658
4,5,0.6687,0.74258,0.66558,0.61091,0.6687,0.6687,0.6687
4,6,0.6632,0.74124,0.66,0.60471,0.6632,0.6632,0.6632
4,7,0.6579,0.73676,0.6547,0.59963,0.6579,0.6579,0.6579
4,8,0.6601,0.7381,0.65707,0.60173,0.6601,0.6601,0.6601
4,9,0.6662,0.74385,0.66288,0.60781,0.6662,0.6662,0.6662
5,0,0.5493,0.79891,0.55765,0.51443,0.5493,0.5493,0.5493
5,1,0.5509,0.80528,0.55947,0.51684,0.5509,0.5509,0.5509
5,2,0.5686,0.80931,0.57651,0.53999,0.5686,0.5686,0.5686
5,3,0.6018,0.81364,0.60898,0.58688,0.6018,0.6018,0.6018
5,4,0.5805,0.80949,0.58813,0.55597,0.5805,0.5805,0.5805
5,5,0.6109,0.81398,0.61752,0.59715,0.6109,0.6109,0.6109
5,6,0.5796,0.8097,0.58714,0.55499,0.5796,0.5796,0.5796
5,7,0.5702,0.80829,0.57814,0.54268,0.5702,0.5702,0.5702
5,8,0.5838,0.80851,0.59124,0.56036,0.5838,0.5838,0.5838
5,9,0.5949,0.81105,0.60202,0.5757,0.5949,0.5949,0.5949
6,0,0.7579,0.78909,0.75436,0.71474,0.7579,0.7579,0.7579
6,1,0.7588,0.7872,0.75533,0.7154,0.7588,0.7588,0.7588
6,2,0.7575,0.78713,0.75398,0.71396,0.7575,0.7575,0.7575
6,3,0.7554,0.78884,0.75181,0.71202,0.7554,0.7554,0.7554
6,4,0.7578,0.78864,0.75429,0.71393,0.7578,0.7578,0.7578
6,5,0.7586,0.78889,0.75511,0.71521,0.7586,0.7586,0.7586
6,6,0.7567,0.78925,0.75312,0.71325,0.7567,0.7567,0.7567
6,7,0.7583,0.7889,0.75481,0.715,0.7583,0.7583,0.7583
6,8,0.7576,0.78896,0.75405,0.71443,0.7576,0.7576,0.7576
6,9,0.7566,0.78976,0.75303,0.71454,0.7566,0.7566,0.7566
7,0,0.7158,0.84318,0.72213,0.72943,0.7158,0.7158,0.7158
7,1,0.7223,0.8437,0.72863,0.73654,0.7223,0.7223,0.7223
7,2,0.7209,0.84352,0.72743,0.73526,0.7209,0.7209,0.7209
7,3,0.7337,0.8459,0.73991,0.74829,0.7337,0.7337,0.7337
7,4,0.7209,0.84352,0.72743,0.73526,0.7209,0.7209,0.7209
7,5,0.7327,0.84503,0.73862,0.74686,0.7327,0.7327,0.7327
7,6,0.7103,0.84299,0.71682,0.72387,0.7103,0.7103,0.7103
7,7,0.7374,0.84648,0.74382,0.75239,0.7374,0.7374,0.7374
7,8,0.725,0.84427,0.73141,0.73925,0.725,0.725,0.725
7,9,0.7303,0.84358,0.73557,0.74262,0.7303,0.7303,0.7303
8,0,0.8001,0.83592,0.79688,0.7699,0.8001,0.8001,0.8001
8,1,0.7963,0.83357,0.79278,0.76317,0.7963,0.7963,0.7963
8,2,0.7931,0.832,0.78944,0.75971,0.7931,0.7931,0.7931
8,3,0.7999,0.83479,0.79665,0.76869,0.7999,0.7999,0.7999
8,4,0.8011,0.8358,0.79801,0.77044,0.8011,0.8011,0.8011
8,5,0.8018,0.83751,0.79871,0.77254,0.8018,0.8018,0.8018
8,6,0.8008,0.83606,0.79767,0.77048,0.8008,0.8008,0.8008
8,7,0.7993,0.83459,0.79598,0.76813,0.7993,0.7993,0.7993
8,8,0.7983,0.83402,0.79494,0.7662,0.7983,0.7983,0.7983
8,9,0.7991,0.83467,0.79579,0.76798,0.7991,0.7991,0.7991
9,0,0.8313,0.84944,0.83187,0.82618,0.8313,0.8313,0.8313
9,1,0.8365,0.8529,0.83696,0.83235,0.8365,0.8365,0.8365
9,2,0.8382,0.85306,0.83858,0.83386,0.8382,0.8382,0.8382
9,3,0.8359,0.85203,0.83636,0.83159,0.8359,0.8359,0.8359
9,4,0.8408,0.85413,0.84111,0.83678,0.8408,0.8408,0.8408
9,5,0.8381,0.85241,0.83846,0.83377,0.8381,0.8381,0.8381
9,6,0.8299,0.84916,0.83052,0.82443,0.8299,0.8299,0.8299
9,7,0.8358,0.85417,0.83626,0.8323,0.8358,0.8358,0.8358
9,8,0.8363,0.85284,0.83677,0.83238,0.8363,0.8363,0.8363
9,9,0.837,0.85352,0.83751,0.83315,0.837,0.837,0.837
10,0,0.8228,0.8726,0.82156,0.81111,0.8228,0.8228,0.8228
10,1,0.823,0.87373,0.82173,0.8108,0.823,0.823,0.823
10,2,0.8227,0.8737,0.82142,0.81034,0.8227,0.8227,0.8227
10,3,0.8223,0.87371,0.82101,0.80974,0.8223,0.8223,0.8223
10,4,0.8218,0.87418,0.82049,0.8089,0.8218,0.8218,0.8218
10,5,0.8209,0.87241,0.81964,0.80843,0.8209,0.8209,0.8209
10,6,0.8261,0.87363,0.82485,0.81512,0.8261,0.8261,0.8261
10,7,0.8191,0.87342,0.81777,0.805,0.8191,0.8191,0.8191
10,8,0.8182,0.87296,0.81687,0.80387,0.8182,0.8182,0.8182
10,9,0.8247,0.87423,0.8234,0.8131,0.8247,0.8247,0.8247
11,0,0.8766,0.88087,0.87713,0.87427,0.8766,0.8766,0.8766
11,1,0.876,0.88061,0.87659,0.87369,0.876,0.876,0.876
11,2,0.8775,0.88122,0.87794,0.87509,0.8775,0.8775,0.8775
11,3,0.8758,0.88034,0.87638,0.87346,0.8758,0.8758,0.8758
11,4,0.8763,0.88083,0.87687,0.874,0.8763,0.8763,0.8763
11,5,0.876,0.88041,0.87654,0.87364,0.876,0.876,0.876
11,6,0.8762,0.88065,0.87673,0.8739,0.8762,0.8762,0.8762
11,7,0.8764,0.88048,0.87688,0.87397,0.8764,0.8764,0.8764
11,8,0.8765,0.88104,0.87709,0.87418,0.8765,0.8765,0.8765
11,9,0.8746,0.87927,0.87516,0.87213,0.8746,0.8746,0.8746
12,0,0.8511,0.88289,0.85012,0.84641,0.8511,0.8511,0.8511
12,1,0.8438,0.88068,0.84272,0.83821,0.8438,0.8438,0.8438
12,2,0.8434,0.87993,0.84231,0.8377,0.8434,0.8434,0.8434
12,3,0.8442,0.88226,0.84317,0.83881,0.8442,0.8442,0.8442
12,4,0.8501,0.8831,0.84907,0.84536,0.8501,0.8501,0.8501
12,5,0.8432,0.87978,0.84213,0.8374,0.8432,0.8432,0.8432
12,6,0.849,0.88293,0.84794,0.84416,0.849,0.849,0.849
12,7,0.8573,0.88606,0.85631,0.85338,0.8573,0.8573,0.8573
12,8,0.8486,0.88269,0.84754,0.8437,0.8486,0.8486,0.8486
12,9,0.843,0.88104,0.84194,0.83737,0.843,0.843,0.843
13,0,0.8833,0.88928,0.88359,0.88046,0.8833,0.8833,0.8833
13,1,0.8859,0.89016,0.88611,0.88378,0.8859,0.8859,0.8859
13,2,0.8869,0.89061,0.88709,0.88505,0.8869,0.8869,0.8869
13,3,0.8859,0.89052,0.88613,0.88367,0.8859,0.8859,0.8859
13,4,0.887,0.89088,0.88722,0.88504,0.887,0.887,0.887
13,5,0.8811,0.88857,0.88138,0.87758,0.8811,0.8811,0.8811
13,6,0.8861,0.89103,0.8863,0.8838,0.8861,0.8861,0.8861
13,7,0.8877,0.8912,0.88792,0.88591,0.8877,0.8877,0.8877
13,8,0.8885,0.89142,0.88869,0.88695,0.8885,0.8885,0.8885
13,9,0.8851,0.89029,0.88531,0.88263,0.8851,0.8851,0.8851
14,0,0.8776,0.89078,0.87611,0.87272,0.8776,0.8776,0.8776
14,1,0.8786,0.89252,0.87713,0.87448,0.8786,0.8786,0.8786
14,2,0.8804,0.89369,0.87896,0.8765,0.8804,0.8804,0.8804
14,3,0.8804,0.89367,0.87896,0.87649,0.8804,0.8804,0.8804
14,4,0.8805,0.89442,0.87906,0.87682,0.8805,0.8805,0.8805
14,5,0.8779,0.89107,0.87641,0.87302,0.8779,0.8779,0.8779
14,6,0.8763,0.88951,0.87476,0.87072,0.8763,0.8763,0.8763
14,7,0.8805,0.89436,0.87909,0.8768,0.8805,0.8805,0.8805
14,8,0.8795,0.89308,0.87805,0.87544,0.8795,0.8795,0.8795
14,9,0.8784,0.89255,0.87691,0.87419,0.8784,0.8784,0.8784
15,0,0.8954,0.90385,0.8954,0.8949,0.8954,0.8954,0.8954
15,1,0.8956,0.90394,0.89553,0.89517,0.8956,0.8956,0.8956
15,2,0.8955,0.90434,0.89539,0.89519,0.8955,0.8955,0.8955
15,3,0.8951,0.90399,0.89503,0.8947,0.8951,0.8951,0.8951
15,4,0.8919,0.90218,0.89187,0.89149,0.8919,0.8919,0.8919
15,5,0.9011,0.90525,0.90118,0.90026,0.9011,0.9011,0.9011
15,6,0.897,0.90468,0.89704,0.89649,0.897,0.897,0.897
15,7,0.8923,0.90269,0.89224,0.89209,0.8923,0.8923,0.8923
15,8,0.8958,0.90416,0.89575,0.89536,0.8958,0.8958,0.8958
15,9,0.8942,0.90348,0.89424,0.8938,0.8942,0.8942,0.8942
16,0,0.8714,0.8827,0.86962,0.86355,0.8714,0.8714,0.8714
16,1,0.8707,0.88217,0.86884,0.86256,0.8707,0.8707,0.8707
16,2,0.8716,0.88298,0.8698,0.8638,0.8716,0.8716,0.8716
16,3,0.8708,0.88245,0.86884,0.86245,0.8708,0.8708,0.8708
16,4,0.8733,0.8851,0.87138,0.86536,0.8733,0.8733,0.8733
16,5,0.8714,0.88272,0.86962,0.86351,0.8714,0.8714,0.8714
16,6,0.8711,0.88249,0.86938,0.86326,0.8711,0.8711,0.8711
16,7,0.8701,0.88159,0.86825,0.86196,0.8701,0.8701,0.8701
16,8,0.8715,0.88329,0.86954,0.86322,0.8715,0.8715,0.8715
16,9,0.8702,0.88193,0.8683,0.86192,0.8702,0.8702,0.8702
17,0,0.9062,0.90847,0.90685,0.905,0.9062,0.9062,0.9062
17,1,0.9057,0.90806,0.90635,0.90446,0.9057,0.9057,0.9057
17,2,0.9059,0.90871,0.90656,0.90485,0.9059,0.9059,0.9059
17,3,0.904,0.90714,0.90463,0.90287,0.904,0.904,0.904
17,4,0.9061,0.90835,0.90675,0.90489,0.9061,0.9061,0.9061
17,5,0.9062,0.90858,0.90685,0.905,0.9062,0.9062,0.9062
17,6,0.9061,0.90858,0.90675,0.90493,0.9061,0.9061,0.9061
17,7,0.9056,0.90807,0.90627,0.90446,0.9056,0.9056,0.9056
17,8,0.9056,0.9079,0.90624,0.90432,0.9056,0.9056,0.9056
17,9,0.9047,0.90775,0.90534,0.90363,0.9047,0.9047,0.9047
18,0,0.9033,0.91025,0.90193,0.90084,0.9033,0.9033,0.9033
18,1,0.9027,0.91012,0.90126,0.9002,0.9027,0.9027,0.9027
18,2,0.9038,0.91127,0.9025,0.90152,0.9038,0.9038,0.9038
18,3,0.9045,0.91126,0.90324,0.90221,0.9045,0.9045,0.9045
18,4,0.9031,0.91028,0.90174,0.90068,0.9031,0.9031,0.9031
18,5,0.9021,0.90975,0.90069,0.89961,0.9021,0.9021,0.9021
18,6,0.9031,0.91066,0.90176,0.90075,0.9031,0.9031,0.9031
18,7,0.9031,0.91013,0.9017,0.90057,0.9031,0.9031,0.9031
18,8,0.9038,0.91076,0.90244,0.90139,0.9038,0.9038,0.9038
18,9,0.9032,0.90969,0.90189,0.90072,0.9032,0.9032,0.9032
19,0,0.9145,0.91625,0.9147,0.9129,0.9145,0.9145,0.9145
19,1,0.9187,0.91914,0.91881,0.91768,0.9187,0.9187,0.9187
19,2,0.9167,0.91776,0.91682,0.91537,0.9167,0.9167,0.9167
19,3,0.9172,0.91807,0.91738,0.91619,0.9172,0.9172,0.9172
19,4,0.9193,0.91958,0.91941,0.91848,0.9193,0.9193,0.9193
19,5,0.9161,0.91732,0.91623,0.91472,0.9161,0.9161,0.9161
19,6,0.9192,0.91962,0.91929,0.91843,0.9192,0.9192,0.9192
19,7,0.9192,0.91973,0.91926,0.91845,0.9192,0.9192,0.9192
19,8,0.9186,0.91927,0.91873,0.91772,0.9186,0.9186,0.9186
19,9,0.9195,0.92002,0.91957,0.91874,0.9195,0.9195,0.9195
20,0,0.8747,0.90058,0.87348,0.86948,0.8747,0.8747,0.8747
20,1,0.8758,0.90107,0.87459,0.87065,0.8758,0.8758,0.8758
20,2,0.8734,0.90001,0.87219,0.86788,0.8734,0.8734,0.8734
20,3,0.8768,0.90141,0.87558,0.87164,0.8768,0.8768,0.8768
20,4,0.8772,0.90189,0.87599,0.87221,0.8772,0.8772,0.8772
20,5,0.878,0.90212,0.87679,0.87304,0.878,0.878,0.878
20,6,0.8745,0.90048,0.87329,0.86924,0.8745,0.8745,0.8745
20,7,0.879,0.90281,0.8778,0.87433,0.879,0.879,0.879
