round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.98362,0.98278,0.97734,0.98001,0.98362,0.98362,0.98362
1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,2,0.98783,0.7177,0.73323,0.72518,0.98783,0.98783,0.98783
1,3,0.99201,0.6485,0.6452,0.64684,0.99201,0.99201,0.99201
1,4,0.99817,0.98,0.99904,0.98932,0.99817,0.99817,0.99817
1,5,0.98018,0.9874,0.82091,0.87632,0.98018,0.98018,0.98018
1,6,0.99117,0.98842,0.97736,0.98275,0.99117,0.99117,0.99117
1,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,8,0.99736,0.99762,0.99661,0.99711,0.99736,0.99736,0.99736
1,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0,0.98362,0.98123,0.97893,0.98007,0.98362,0.98362,0.98362
2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,2,0.98562,0.71404,0.73141,0.72231,0.98562,0.98562,0.98562
2,3,0.99201,0.6485,0.6452,0.64684,0.99201,0.99201,0.99201
2,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,5,0.98678,0.99137,0.82577,0.88079,0.98678,0.98678,0.98678
2,6,0.99327,0.99002,0.98385,0.98689,0.99327,0.99327,0.99327
2,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,8,0.99842,0.9981,0.99844,0.99827,0.99842,0.99842,0.99842
2,9,0.66667,0.66667,0.5,0.55556,0.66667,0.66667,0.66667
3,0,0.98284,0.97508,0.98394,0.97937,0.98284,0.98284,0.98284
3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,2,0.98728,0.72013,0.73278,0.72626,0.98728,0.98728,0.98728
3,3,0.99201,0.6485,0.6452,0.64684,0.99201,0.99201,0.99201
3,4,0.99726,0.97911,0.98863,0.98382,0.99726,0.99726,0.99726
3,5,0.98458,0.99004,0.82415,0.8793,0.98458,0.98458,0.98458
3,6,0.99369,0.99034,0.98408,0.98717,0.99369,0.99369,0.99369
3,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,8,0.99842,0.99844,0.9981,0.99827,0.99842,0.99842,0.99842
3,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0,0.98596,0.98081,0.98534,0.98304,0.98596,0.98596,0.98596
4,1,0.99862,0.66346,0.66617,0.66481,0.99862,0.99862,0.99862
4,2,0.98562,0.97232,0.97403,0.97315,0.98562,0.98562,0.98562
4,3,0.99201,0.6485,0.6452,0.64684,0.99201,0.99201,0.99201
4,4,0.99817,0.98911,0.98911,0.98911,0.99817,0.99817,0.99817
4,5,0.99119,0.99407,0.82901,0.88376,0.99119,0.99119,0.99119
4,6,0.99411,0.98921,0.98765,0.98843,0.99411,0.99411,0.99411
4,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,8,0.99842,0.99844,0.9981,0.99827,0.99842,0.99842,0.99842
4,9,0.66667,0.66667,0.5,0.55556,0.66667,0.66667,0.66667
5,0,0.98752,0.98199,0.98803,0.98495,0.98752,0.98752,0.98752
5,1,0.99862,0.66346,0.66617,0.66481,0.99862,0.99862,0.99862
5,2,0.98728,0.72567,0.72956,0.7276,0.98728,0.98728,0.98728
5,3,0.99281,0.49239,0.48411,0.48817,0.99281,0.99281,0.99281
5,4,0.99909,0.9898,0.99952,0.99461,0.99909,0.99909,0.99909
