round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.05772,0.09635,0.01016,0.01839,0.05772,0.05772,0.05772
1,1,0.00069,0.14286,0.00011,0.00021,0.00069,0.00069,0.00069
1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0.56515,0.18532,0.12106,0.14645,0.56515,0.56515,0.56515
1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,0.00883,0.09723,0.01038,0.00951,0.00883,0.00883,0.00883
1,7,0.0105,0.2,0.0021,0.00416,0.0105,0.0105,0.0105
1,8,0.14444,0.26607,0.03815,0.05696,0.14444,0.14444,0.14444
1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.8908,0.36541,0.3597,0.36185,0.8908,0.8908,0.8908
2,1,0.07099,0.16506,0.16667,0.16586,0.07099,0.07099,0.07099
2,2,0.3208,0.29089,0.26979,0.19108,0.3208,0.3208,0.3208
2,3,0.11351,0.20615,0.13076,0.09992,0.11351,0.11351,0.11351
2,4,0.03562,0.10317,0.09028,0.0963,0.03562,0.03562,0.03562
2,5,0.49339,0.11828,0.15628,0.13438,0.49339,0.49339,0.49339
2,6,0.60555,0.43295,0.35832,0.35432,0.60555,0.60555,0.60555
2,7,0.88451,0.2,0.1769,0.18774,0.88451,0.88451,0.88451
2,8,0.30522,0.14188,0.12327,0.13192,0.30522,0.30522,0.30522
2,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0,0.53198,0.39298,0.19439,0.25743,0.53198,0.53198,0.53198
3,1,0.15507,0.28571,0.15066,0.16445,0.15507,0.15507,0.15507
3,2,0.1427,0.33103,0.14936,0.1598,0.1427,0.1427,0.1427
3,3,0.06475,0.01024,0.09878,0.01856,0.06475,0.06475,0.06475
3,4,0.07215,0.23944,0.14709,0.12346,0.07215,0.07215,0.07215
3,5,0.22687,0.28409,0.20241,0.09643,0.22687,0.22687,0.22687
3,6,0.47939,0.49316,0.28694,0.32403,0.47939,0.47939,0.47939
3,7,0.99475,0.33333,0.33158,0.33246,0.99475,0.99475,0.99475
3,8,0.92725,0.31734,0.31435,0.31492,0.92725,0.92725,0.92725
3,9,0.66667,0.66667,0.5,0.55556,0.66667,0.66667,0.66667
4,0,0.85881,0.25796,0.25571,0.25416,0.85881,0.85881,0.85881
4,1,0.21502,0.28571,0.16501,0.18121,0.21502,0.21502,0.21502
4,2,0.82909,0.30757,0.33857,0.31526,0.82909,0.82909,0.82909
4,3,0.35971,0.18869,0.27794,0.14257,0.35971,0.35971,0.35971
4,4,0.06849,0.24722,0.11828,0.12547,0.06849,0.06849,0.06849
4,5,0.52423,0.31918,0.24502,0.21618,0.52423,0.52423,0.52423
4,6,0.6312,0.36304,0.26297,0.28809,0.6312,0.6312,0.6312
4,7,0.91601,0.25,0.229,0.23904,0.91601,0.91601,0.91601
4,8,0.33527,0.19935,0.09316,0.09894,0.33527,0.33527,0.33527
4,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0,0.5624,0.21843,0.09033,0.10326,0.5624,0.5624,0.5624
5,1,0.89042,0.22222,0.20812,0.21476,0.89042,0.89042,0.89042
5,2,0.29204,0.2658,0.23382,0.1403,0.29204,0.29204,0.29204
5,3,0.14069,0.12857,0.22981,0.04683,0.14069,0.14069,0.14069
