round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.9387,0.93863,0.93763,0.93782,0.9387,0.9387,0.9387
2,0.9593,0.95904,0.9589,0.95892,0.9593,0.9593,0.9593
3,0.9662,0.96604,0.96587,0.96591,0.9662,0.9662,0.9662
4,0.9691,0.96891,0.96884,0.96884,0.9691,0.9691,0.9691
5,0.9708,0.97066,0.97049,0.97054,0.9708,0.9708,0.9708
6,0.9728,0.97269,0.97255,0.9726,0.9728,0.9728,0.9728
7,0.9739,0.97385,0.97366,0.97373,0.9739,0.9739,0.9739
8,0.9755,0.97547,0.97525,0.97534,0.9755,0.9755,0.9755
9,0.9771,0.97708,0.97687,0.97696,0.9771,0.9771,0.9771
10,0.9779,0.97786,0.97769,0.97776,0.9779,0.9779,0.9779
11,0.9775,0.97748,0.97732,0.9774,0.9775,0.9775,0.9775
12,0.9785,0.97847,0.97832,0.97839,0.9785,0.9785,0.9785
13,0.9793,0.97926,0.97912,0.97918,0.9793,0.9793,0.9793
14,0.9803,0.98032,0.98013,0.98021,0.9803,0.9803,0.9803
15,0.9795,0.97947,0.97929,0.97937,0.9795,0.9795,0.9795
16,0.9798,0.97981,0.97959,0.97969,0.9798,0.9798,0.9798
17,0.9807,0.98069,0.9805,0.98059,0.9807,0.9807,0.9807
18,0.9802,0.98015,0.98002,0.98008,0.9802,0.9802,0.9802
19,0.9801,0.9801,0.97988,0.97998,0.9801,0.9801,0.9801
20,0.9805,0.98053,0.98032,0.98041,0.9805,0.9805,0.9805
21,0.9796,0.9796,0.97944,0.97951,0.9796,0.9796,0.9796
22,0.9812,0.9812,0.98104,0.98111,0.9812,0.9812,0.9812
23,0.9805,0.9805,0.9803,0.98039,0.9805,0.9805,0.9805
24,0.9807,0.98069,0.98051,0.98059,0.9807,0.9807,0.9807
25,0.9805,0.98044,0.98033,0.98038,0.9805,0.9805,0.9805
26,0.9809,0.98091,0.98072,0.98081,0.9809,0.9809,0.9809
27,0.9805,0.98044,0.98027,0.98034,0.9805,0.9805,0.9805
28,0.9808,0.98073,0.98058,0.98065,0.9808,0.9808,0.9808
29,0.9814,0.98133,0.98121,0.98126,0.9814,0.9814,0.9814
30,0.9814,0.98135,0.98121,0.98127,0.9814,0.9814,0.9814
31,0.9809,0.98086,0.98069,0.98076,0.9809,0.9809,0.9809
32,0.9816,0.98153,0.98139,0.98145,0.9816,0.9816,0.9816
33,0.9812,0.98114,0.98102,0.98107,0.9812,0.9812,0.9812
34,0.9808,0.98078,0.9806,0.98067,0.9808,0.9808,0.9808
35,0.9811,0.98105,0.98092,0.98097,0.9811,0.9811,0.9811
36,0.9811,0.98105,0.9809,0.98097,0.9811,0.9811,0.9811
37,0.9807,0.98067,0.98047,0.98056,0.9807,0.9807,0.9807
38,0.9806,0.98056,0.98038,0.98046,0.9806,0.9806,0.9806
39,0.981,0.98094,0.98081,0.98086,0.981,0.981,0.981
40,0.9812,0.98115,0.98101,0.98107,0.9812,0.9812,0.9812
