round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.9334,0.93313,0.93259,0.93261,0.9334,0.9334,0.9334
1,1,0.9336,0.93311,0.93328,0.93303,0.9336,0.9336,0.9336
1,2,0.9358,0.93518,0.93474,0.93487,0.9358,0.9358,0.9358
1,3,0.9345,0.9338,0.93364,0.93362,0.9345,0.9345,0.9345
1,4,0.9357,0.9349,0.9349,0.93481,0.9357,0.9357,0.9357
1,5,0.9363,0.93585,0.93533,0.93546,0.9363,0.9363,0.9363
1,6,0.9317,0.9312,0.93094,0.93091,0.9317,0.9317,0.9317
1,7,0.9362,0.93565,0.93538,0.93532,0.9362,0.9362,0.9362
1,8,0.9329,0.9323,0.93228,0.93217,0.9329,0.9329,0.9329
1,9,0.9358,0.93535,0.93497,0.93504,0.9358,0.9358,0.9358
2,0,0.9482,0.94792,0.94762,0.94772,0.9482,0.9482,0.9482
2,1,0.9506,0.95016,0.95023,0.95012,0.9506,0.9506,0.9506
2,2,0.9507,0.95012,0.94997,0.95001,0.9507,0.9507,0.9507
2,3,0.9479,0.94751,0.94732,0.94735,0.9479,0.9479,0.9479
2,4,0.9457,0.94533,0.94512,0.94507,0.9457,0.9457,0.9457
2,5,0.9505,0.95025,0.94974,0.94989,0.9505,0.9505,0.9505
2,6,0.9461,0.94561,0.94545,0.94546,0.9461,0.9461,0.9461
2,7,0.9475,0.94704,0.94693,0.94689,0.9475,0.9475,0.9475
2,8,0.9483,0.94796,0.94762,0.94768,0.9483,0.9483,0.9483
2,9,0.9485,0.94821,0.9478,0.94792,0.9485,0.9485,0.9485
3,0,0.9582,0.95801,0.95778,0.95784,0.9582,0.9582,0.9582
3,1,0.9584,0.95793,0.95812,0.95797,0.9584,0.9584,0.9584
3,2,0.9598,0.95963,0.95921,0.95937,0.9598,0.9598,0.9598
3,3,0.9592,0.95891,0.95871,0.95877,0.9592,0.9592,0.9592
3,4,0.9564,0.95612,0.95596,0.95597,0.9564,0.9564,0.9564
3,5,0.9587,0.9584,0.95815,0.95822,0.9587,0.9587,0.9587
3,6,0.9549,0.95454,0.95443,0.95445,0.9549,0.9549,0.9549
3,7,0.9567,0.95632,0.95625,0.95623,0.9567,0.9567,0.9567
3,8,0.9594,0.95898,0.95899,0.95893,0.9594,0.9594,0.9594
3,9,0.9559,0.9556,0.95538,0.95546,0.9559,0.9559,0.9559
4,0,0.963,0.96287,0.96272,0.96275,0.963,0.963,0.963
4,1,0.9649,0.96443,0.96464,0.96451,0.9649,0.9649,0.9649
4,2,0.9647,0.96442,0.96427,0.96432,0.9647,0.9647,0.9647
4,3,0.9641,0.96386,0.9637,0.96374,0.9641,0.9641,0.9641
4,4,0.9634,0.96313,0.96306,0.96305,0.9634,0.9634,0.9634
4,5,0.9633,0.9632,0.96285,0.96296,0.9633,0.9633,0.9633
4,6,0.9611,0.96087,0.96069,0.96073,0.9611,0.9611,0.9611
4,7,0.9616,0.96139,0.96124,0.96127,0.9616,0.9616,0.9616
4,8,0.9639,0.96351,0.96361,0.96353,0.9639,0.9639,0.9639
4,9,0.9625,0.96246,0.96203,0.96219,0.9625,0.9625,0.9625
5,0,0.9664,0.96624,0.96613,0.96616,0.9664,0.9664,0.9664
5,1,0.9679,0.96751,0.96772,0.96759,0.9679,0.9679,0.9679
5,2,0.9675,0.96727,0.96706,0.96714,0.9675,0.9675,0.9675
5,3,0.9668,0.96659,0.96645,0.96648,0.9668,0.9668,0.9668
5,4,0.9667,0.96654,0.96645,0.96646,0.9667,0.9667,0.9667
5,5,0.9655,0.96539,0.96511,0.9652,0.9655,0.9655,0.9655
5,6,0.9652,0.96506,0.96486,0.96492,0.9652,0.9652,0.9652
5,7,0.9653,0.96505,0.96504,0.96501,0.9653,0.9653,0.9653
5,8,0.9701,0.96982,0.9698,0.96978,0.9701,0.9701,0.9701
