round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,loss
1,0.9336,0.93332,0.93335,0.93287,0.9336,0.9336,0.9336,0.22559
2,0.9566,0.95698,0.95571,0.95612,0.9566,0.9566,0.9566,0.14463
3,0.9658,0.96583,0.96543,0.96546,0.9658,0.9658,0.9658,0.11364
4,0.9697,0.96986,0.96932,0.96951,0.9697,0.9697,0.9697,0.09601
5,0.9719,0.97199,0.9717,0.97165,0.9719,0.9719,0.9719,0.09302
6,0.9753,0.9751,0.97512,0.97503,0.9753,0.9753,0.9753,0.07899
7,0.9777,0.97775,0.97743,0.97755,0.9777,0.9777,0.9777,0.07235
8,0.9778,0.97769,0.97767,0.97766,0.9778,0.9778,0.9778,0.06922
9,0.9784,0.97833,0.97821,0.97824,0.9784,0.9784,0.9784,0.06649
10,0.9784,0.97826,0.97828,0.97824,0.9784,0.9784,0.9784,0.07024
11,0.9791,0.97907,0.97894,0.97898,0.9791,0.9791,0.9791,0.06583
12,0.9772,0.9771,0.97714,0.97704,0.9772,0.9772,0.9772,0.07129
13,0.9798,0.97967,0.97959,0.9796,0.9798,0.9798,0.9798,0.06445
14,0.9797,0.97959,0.97957,0.97955,0.9797,0.9797,0.9797,0.06576
15,0.9788,0.97877,0.97861,0.97863,0.9788,0.9788,0.9788,0.07043
16,0.9792,0.97916,0.97897,0.97904,0.9792,0.9792,0.9792,0.06728
17,0.9798,0.97977,0.97961,0.97967,0.9798,0.9798,0.9798,0.0685
18,0.9797,0.97956,0.97952,0.97953,0.9797,0.9797,0.9797,0.06996
19,0.9789,0.97881,0.97882,0.97878,0.9789,0.9789,0.9789,0.07075
20,0.9804,0.98038,0.98021,0.98028,0.9804,0.9804,0.9804,0.06739
21,0.9805,0.98043,0.98028,0.98032,0.9805,0.9805,0.9805,0.06882
22,0.9799,0.97985,0.9797,0.97975,0.9799,0.9799,0.9799,0.07092
23,0.9797,0.97965,0.97944,0.97952,0.9797,0.9797,0.9797,0.0735
24,0.981,0.98096,0.98082,0.98088,0.981,0.981,0.981,0.07038
25,0.9815,0.98135,0.98139,0.98136,0.9815,0.9815,0.9815,0.07075
26,0.9805,0.98038,0.98036,0.98036,0.9805,0.9805,0.9805,0.07097
27,0.9809,0.98072,0.98078,0.98074,0.9809,0.9809,0.9809,0.07094
28,0.9804,0.98026,0.98018,0.98021,0.9804,0.9804,0.9804,0.07176
29,0.9813,0.98121,0.98113,0.98116,0.9813,0.9813,0.9813,0.07123
30,0.9805,0.98039,0.9803,0.98033,0.9805,0.9805,0.9805,0.0721
31,0.9802,0.98009,0.97998,0.98002,0.9802,0.9802,0.9802,0.07259
32,0.9809,0.98078,0.98072,0.98074,0.9809,0.9809,0.9809,0.07312
33,0.9811,0.98097,0.98091,0.98093,0.9811,0.9811,0.9811,0.07412
34,0.9802,0.98009,0.97997,0.98002,0.9802,0.9802,0.9802,0.07413
35,0.9807,0.98064,0.98043,0.98052,0.9807,0.9807,0.9807,0.07458
36,0.9802,0.98007,0.97998,0.98002,0.9802,0.9802,0.9802,0.07522
37,0.9809,0.98075,0.98071,0.98072,0.9809,0.9809,0.9809,0.07493
38,0.9815,0.98137,0.98134,0.98135,0.9815,0.9815,0.9815,0.07477
39,0.9809,0.98078,0.98072,0.98074,0.9809,0.9809,0.9809,0.07493
40,0.9812,0.98111,0.981,0.98105,0.9812,0.9812,0.9812,0.07549
41,0.9808,0.9807,0.98057,0.98063,0.9808,0.9808,0.9808,0.07647
42,0.981,0.98093,0.9808,0.98085,0.981,0.981,0.981,0.07609
43,0.9812,0.98112,0.98105,0.98108,0.9812,0.9812,0.9812,0.07602
44,0.9807,0.98056,0.98051,0.98053,0.9807,0.9807,0.9807,0.07671
45,0.9811,0.98098,0.98093,0.98095,0.9811,0.9811,0.9811,0.07698
46,0.9814,0.98131,0.98119,0.98124,0.9814,0.9814,0.9814,0.07678
47,0.9809,0.9808,0.98068,0.98073,0.9809,0.9809,0.9809,0.07676
48,0.9812,0.98111,0.98099,0.98104,0.9812,0.9812,0.9812,0.0769
49,0.9813,0.98119,0.98113,0.98115,0.9813,0.9813,0.9813,0.07774
50,0.9808,0.98069,0.98057,0.98062,0.9808,0.9808,0.9808,0.07787
