round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.94,0.94118,0.93933,0.93977,0.94,0.94,0.94
1,1,0.9375,0.93783,0.93748,0.9373,0.9375,0.9375,0.9375
1,2,0.92917,0.93058,0.93012,0.93009,0.92917,0.92917,0.92917
1,3,0.93,0.92936,0.92901,0.92888,0.93,0.93,0.93
1,4,0.9225,0.92145,0.92188,0.92131,0.9225,0.9225,0.9225
1,5,0.93417,0.93324,0.9331,0.93256,0.93417,0.93417,0.93417
1,6,0.9225,0.92184,0.92115,0.92118,0.9225,0.9225,0.9225
1,7,0.94583,0.94235,0.94394,0.94299,0.94583,0.94583,0.94583
1,8,0.93583,0.93538,0.93538,0.93526,0.93583,0.93583,0.93583
1,9,0.9375,0.93623,0.93493,0.93534,0.9375,0.9375,0.9375
2,0,0.95,0.95028,0.9499,0.94987,0.95,0.95,0.95
2,1,0.94667,0.94674,0.94682,0.94658,0.94667,0.94667,0.94667
2,2,0.94667,0.94755,0.94794,0.94745,0.94667,0.94667,0.94667
2,3,0.95,0.94919,0.94904,0.949,0.95,0.95,0.95
2,4,0.945,0.94524,0.94486,0.94437,0.945,0.945,0.945
2,5,0.9475,0.94725,0.94639,0.94618,0.9475,0.9475,0.9475
2,6,0.94,0.93943,0.93875,0.93885,0.94,0.94,0.94
2,7,0.95667,0.95477,0.9561,0.95526,0.95667,0.95667,0.95667
2,8,0.94833,0.94831,0.94761,0.94772,0.94833,0.94833,0.94833
2,9,0.94667,0.94569,0.94421,0.94475,0.94667,0.94667,0.94667
3,0,0.95583,0.95587,0.95549,0.95554,0.95583,0.95583,0.95583
3,1,0.95417,0.95441,0.9542,0.95413,0.95417,0.95417,0.95417
3,2,0.9575,0.95825,0.95833,0.95806,0.9575,0.9575,0.9575
3,3,0.95833,0.95788,0.958,0.95779,0.95833,0.95833,0.95833
3,4,0.95167,0.95204,0.95142,0.95117,0.95167,0.95167,0.95167
3,5,0.95667,0.95699,0.95652,0.95635,0.95667,0.95667,0.95667
3,6,0.95167,0.95151,0.95088,0.95094,0.95167,0.95167,0.95167
3,7,0.96333,0.96162,0.96261,0.96193,0.96333,0.96333,0.96333
3,8,0.95333,0.9532,0.95232,0.95256,0.95333,0.95333,0.95333
3,9,0.95167,0.95135,0.94992,0.95052,0.95167,0.95167,0.95167
4,0,0.95833,0.95885,0.95882,0.95862,0.95833,0.95833,0.95833
4,1,0.96,0.9604,0.9601,0.96003,0.96,0.96,0.96
4,2,0.96083,0.96147,0.96156,0.96142,0.96083,0.96083,0.96083
4,3,0.96167,0.96102,0.96108,0.96097,0.96167,0.96167,0.96167
4,4,0.955,0.95494,0.95476,0.95439,0.955,0.955,0.955
4,5,0.96417,0.96453,0.96426,0.96397,0.96417,0.96417,0.96417
4,6,0.95833,0.95818,0.95747,0.95756,0.95833,0.95833,0.95833
4,7,0.965,0.96311,0.96399,0.9634,0.965,0.965,0.965
4,8,0.96083,0.96082,0.96004,0.96027,0.96083,0.96083,0.96083
4,9,0.96,0.95956,0.95858,0.95899,0.96,0.96,0.96
5,0,0.9625,0.96219,0.96268,0.96224,0.9625,0.9625,0.9625
5,1,0.96333,0.96381,0.96361,0.9635,0.96333,0.96333,0.96333
5,2,0.96583,0.96661,0.96634,0.96641,0.96583,0.96583,0.96583
5,3,0.9625,0.96178,0.96178,0.96169,0.9625,0.9625,0.9625
5,4,0.95833,0.95776,0.95789,0.95739,0.95833,0.95833,0.95833
5,5,0.96583,0.96586,0.9662,0.96569,0.96583,0.96583,0.96583
5,6,0.965,0.96491,0.96407,0.96431,0.965,0.965,0.965
5,7,0.96667,0.96489,0.96608,0.96534,0.96667,0.96667,0.96667
5,8,0.96083,0.96061,0.96003,0.9602,0.96083,0.96083,0.96083
5,9,0.9625,0.96215,0.96103,0.9615,0.9625,0.9625,0.9625
6,0,0.97,0.96961,0.97041,0.96985,0.97,0.97,0.97
6,1,0.965,0.96558,0.96513,0.96518,0.965,0.965,0.965
6,2,0.96917,0.9696,0.96971,0.9696,0.96917,0.96917,0.96917
6,3,0.9675,0.96735,0.96731,0.96721,0.9675,0.9675,0.9675
6,4,0.96167,0.9611,0.96144,0.961,0.96167,0.96167,0.96167
6,5,0.96667,0.96646,0.96662,0.96617,0.96667,0.96667,0.96667
6,6,0.96667,0.96632,0.96571,0.9659,0.96667,0.96667,0.96667
6,7,0.96917,0.96755,0.969,0.96812,0.96917,0.96917,0.96917
6,8,0.96417,0.96422,0.96324,0.96349,0.96417,0.96417,0.96417
6,9,0.96667,0.96746,0.96588,0.96655,0.96667,0.96667,0.96667
7,0,0.965,0.96498,0.96558,0.96511,0.965,0.965,0.965
7,1,0.96167,0.96215,0.9618,0.9618,0.96167,0.96167,0.96167
