round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.09833,0.05905,0.0955,0.04503,0.09833,0.09833,0.09833
1,1,0.1075,0.10745,0.10439,0.04917,0.1075,0.1075,0.1075
1,2,0.0775,0.08378,0.08248,0.03542,0.0775,0.0775,0.0775
1,3,0.07917,0.02587,0.08782,0.03469,0.07917,0.07917,0.07917
1,4,0.09583,0.04994,0.0944,0.04128,0.09583,0.09583,0.09583
1,5,0.10083,0.02655,0.09163,0.03864,0.10083,0.10083,0.10083
1,6,0.08583,0.07114,0.08453,0.03356,0.08583,0.08583,0.08583
1,7,0.09,0.19162,0.08795,0.0387,0.09,0.09,0.09
1,8,0.08667,0.07022,0.09222,0.04079,0.08667,0.08667,0.08667
1,9,0.07917,0.11425,0.09692,0.03843,0.07917,0.07917,0.07917
2,0,0.94417,0.94568,0.94429,0.94421,0.94417,0.94417,0.94417
2,1,0.93,0.93012,0.93026,0.92983,0.93,0.93,0.93
2,2,0.94,0.94047,0.94152,0.94052,0.94,0.94,0.94
2,3,0.9375,0.93619,0.93804,0.93662,0.9375,0.9375,0.9375
2,4,0.93667,0.93634,0.93615,0.93575,0.93667,0.93667,0.93667
2,5,0.94,0.9421,0.94017,0.94028,0.94,0.94,0.94
2,6,0.92,0.92006,0.91852,0.91854,0.92,0.92,0.92
2,7,0.94833,0.9458,0.94639,0.94595,0.94833,0.94833,0.94833
2,8,0.93667,0.9364,0.93591,0.93571,0.93667,0.93667,0.93667
2,9,0.94667,0.94665,0.94362,0.94487,0.94667,0.94667,0.94667
3,0,0.96,0.96126,0.96101,0.961,0.96,0.96,0.96
3,1,0.95667,0.95696,0.95684,0.95682,0.95667,0.95667,0.95667
3,2,0.955,0.95533,0.95564,0.95533,0.955,0.955,0.955
3,3,0.95083,0.95007,0.9507,0.95014,0.95083,0.95083,0.95083
3,4,0.95583,0.95509,0.9559,0.95534,0.95583,0.95583,0.95583
3,5,0.96,0.9608,0.96011,0.96001,0.96,0.96,0.96
3,6,0.95583,0.95551,0.9544,0.95457,0.95583,0.95583,0.95583
3,7,0.96417,0.9613,0.96356,0.96215,0.96417,0.96417,0.96417
3,8,0.95583,0.95611,0.95517,0.95537,0.95583,0.95583,0.95583
3,9,0.96,0.95998,0.95826,0.95894,0.96,0.96,0.96
4,0,0.9625,0.96329,0.96361,0.96329,0.9625,0.9625,0.9625
4,1,0.96333,0.96361,0.9635,0.96346,0.96333,0.96333,0.96333
4,2,0.96167,0.96215,0.96226,0.9621,0.96167,0.96167,0.96167
4,3,0.9625,0.96202,0.96282,0.96221,0.9625,0.9625,0.9625
4,4,0.96083,0.96005,0.96077,0.96032,0.96083,0.96083,0.96083
4,5,0.96917,0.96929,0.96938,0.96909,0.96917,0.96917,0.96917
4,6,0.96417,0.96408,0.96332,0.96346,0.96417,0.96417,0.96417
4,7,0.96833,0.96624,0.96794,0.96687,0.96833,0.96833,0.96833
4,8,0.96583,0.9661,0.96504,0.96538,0.96583,0.96583,0.96583
4,9,0.96417,0.96396,0.9631,0.96334,0.96417,0.96417,0.96417
5,0,0.96667,0.96686,0.96712,0.96688,0.96667,0.96667,0.96667
5,1,0.96417,0.96466,0.9643,0.96433,0.96417,0.96417,0.96417
5,2,0.96833,0.96882,0.96893,0.9688,0.96833,0.96833,0.96833
5,3,0.965,0.96415,0.96517,0.96449,0.965,0.965,0.965
5,4,0.965,0.96433,0.96482,0.96447,0.965,0.965,0.965
5,5,0.97167,0.9717,0.97184,0.97152,0.97167,0.97167,0.97167
5,6,0.97333,0.97305,0.97282,0.97277,0.97333,0.97333,0.97333
5,7,0.96833,0.96644,0.96798,0.96703,0.96833,0.96833,0.96833
5,8,0.96583,0.96632,0.96486,0.96539,0.96583,0.96583,0.96583
5,9,0.97,0.97011,0.96908,0.9694,0.97,0.97,0.97
6,0,0.97083,0.97107,0.97159,0.97121,0.97083,0.97083,0.97083
6,1,0.96833,0.9688,0.96848,0.96852,0.96833,0.96833,0.96833
6,2,0.96917,0.96944,0.96972,0.96951,0.96917,0.96917,0.96917
6,3,0.96917,0.96825,0.96889,0.96846,0.96917,0.96917,0.96917
6,4,0.96833,0.96815,0.96823,0.96809,0.96833,0.96833,0.96833
6,5,0.9725,0.97243,0.97246,0.97223,0.9725,0.9725,0.9725
6,6,0.97583,0.97551,0.97529,0.97527,0.97583,0.97583,0.97583
6,7,0.97167,0.97021,0.97124,0.97057,0.97167,0.97167,0.97167
6,8,0.96583,0.96623,0.96491,0.96537,0.96583,0.96583,0.96583
6,9,0.97417,0.9748,0.97367,0.97403,0.97417,0.97417,0.97417
7,0,0.97083,0.97098,0.97166,0.97115,0.97083,0.97083,0.97083
7,1,0.96917,0.96958,0.9694,0.96935,0.96917,0.96917,0.96917
7,2,0.97,0.97018,0.97063,0.97034,0.97,0.97,0.97
7,3,0.97417,0.97335,0.97441,0.97372,0.97417,0.97417,0.97417
7,4,0.96917,0.96873,0.96901,0.96878,0.96917,0.96917,0.96917
7,5,0.975,0.97492,0.97517,0.9748,0.975,0.975,0.975
7,6,0.9775,0.97716,0.97693,0.97691,0.9775,0.9775,0.9775
7,7,0.97417,0.97287,0.97352,0.97308,0.97417,0.97417,0.97417
7,8,0.9675,0.96786,0.96654,0.96699,0.9675,0.9675,0.9675
7,9,0.97583,0.97646,0.97516,0.97555,0.97583,0.97583,0.97583
8,0,0.97083,0.97092,0.97164,0.97114,0.97083,0.97083,0.97083
8,1,0.97,0.9705,0.97018,0.97018,0.97,0.97,0.97
8,2,0.97083,0.97097,0.97143,0.97113,0.97083,0.97083,0.97083
8,3,0.97417,0.97334,0.97411,0.97358,0.97417,0.97417,0.97417
8,4,0.97083,0.9706,0.97064,0.97045,0.97083,0.97083,0.97083
8,5,0.975,0.97481,0.97504,0.97472,0.975,0.975,0.975
8,6,0.9775,0.97712,0.97684,0.97687,0.9775,0.9775,0.9775
8,7,0.97417,0.97316,0.97356,0.97327,0.97417,0.97417,0.97417
8,8,0.97,0.9703,0.9691,0.9695,0.97,0.97,0.97
8,9,0.97583,0.97627,0.97521,0.97538,0.97583,0.97583,0.97583
9,0,0.97167,0.97175,0.97243,0.97195,0.97167,0.97167,0.97167
9,1,0.9725,0.97295,0.97259,0.97265,0.9725,0.9725,0.9725
9,2,0.97083,0.97104,0.97131,0.9711,0.97083,0.97083,0.97083
9,3,0.97417,0.97318,0.9744,0.97356,0.97417,0.97417,0.97417
9,4,0.97333,0.97329,0.97321,0.9731,0.97333,0.97333,0.97333
9,5,0.97417,0.97403,0.9743,0.97394,0.97417,0.97417,0.97417
9,6,0.98,0.97981,0.97942,0.97953,0.98,0.98,0.98
9,7,0.97583,0.97455,0.97524,0.97477,0.97583,0.97583,0.97583
9,8,0.97,0.9706,0.96901,0.96958,0.97,0.97,0.97
9,9,0.97583,0.97606,0.9754,0.97546,0.97583,0.97583,0.97583
10,0,0.9725,0.97257,0.97323,0.97277,0.9725,0.9725,0.9725
10,1,0.97167,0.9721,0.97171,0.97174,0.97167,0.97167,0.97167
10,2,0.975,0.97516,0.97558,0.97529,0.975,0.975,0.975
10,3,0.97583,0.97496,0.97629,0.97544,0.97583,0.97583,0.97583
10,4,0.975,0.97455,0.97482,0.97456,0.975,0.975,0.975
10,5,0.97417,0.97403,0.9743,0.97394,0.97417,0.97417,0.97417
10,6,0.97917,0.97893,0.97866,0.97869,0.97917,0.97917,0.97917
10,7,0.97667,0.97531,0.97624,0.97567,0.97667,0.97667,0.97667
10,8,0.9725,0.97283,0.97164,0.97208,0.9725,0.9725,0.9725
10,9,0.97583,0.97559,0.97544,0.97523,0.97583,0.97583,0.97583
11,0,0.97333,0.97334,0.97432,0.97364,0.97333,0.97333,0.97333
11,1,0.9725,0.97281,0.97254,0.97258,0.9725,0.9725,0.9725
11,2,0.975,0.97518,0.97549,0.97528,0.975,0.975,0.975
11,3,0.97333,0.97222,0.97368,0.97274,0.97333,0.97333,0.97333
11,4,0.97667,0.97649,0.97651,0.9764,0.97667,0.97667,0.97667
11,5,0.97417,0.97367,0.9743,0.97378,0.97417,0.97417,0.97417
11,6,0.98167,0.98161,0.9811,0.98125,0.98167,0.98167,0.98167
11,7,0.97667,0.97502,0.97609,0.97541,0.97667,0.97667,0.97667
11,8,0.97333,0.97365,0.97262,0.97302,0.97333,0.97333,0.97333
11,9,0.97833,0.97808,0.97762,0.97762,0.97833,0.97833,0.97833
12,0,0.9725,0.97246,0.97329,0.97267,0.9725,0.9725,0.9725
12,1,0.97167,0.97206,0.97181,0.97184,0.97167,0.97167,0.97167
12,2,0.97583,0.97589,0.97635,0.97605,0.97583,0.97583,0.97583
12,3,0.97417,0.9732,0.97442,0.97365,0.97417,0.97417,0.97417
12,4,0.97583,0.97574,0.9756,0.97556,0.97583,0.97583,0.97583
12,5,0.97417,0.97396,0.97471,0.9741,0.97417,0.97417,0.97417
12,6,0.98167,0.98157,0.9811,0.98124,0.98167,0.98167,0.98167
12,7,0.97833,0.97703,0.97788,0.97738,0.97833,0.97833,0.97833
12,8,0.97333,0.97375,0.9724,0.97292,0.97333,0.97333,0.97333
12,9,0.97667,0.97611,0.97581,0.97567,0.97667,0.97667,0.97667
13,0,0.97417,0.97403,0.97503,0.97439,0.97417,0.97417,0.97417
13,1,0.97167,0.97208,0.9717,0.97176,0.97167,0.97167,0.97167
13,2,0.975,0.97511,0.97552,0.97526,0.975,0.975,0.975
13,3,0.975,0.97426,0.9752,0.97459,0.975,0.975,0.975
13,4,0.97667,0.97648,0.97637,0.97633,0.97667,0.97667,0.97667
13,5,0.975,0.97464,0.9754,0.97482,0.975,0.975,0.975
13,6,0.98167,0.98176,0.9811,0.98134,0.98167,0.98167,0.98167
13,7,0.97833,0.97699,0.97828,0.97755,0.97833,0.97833,0.97833
13,8,0.975,0.97533,0.97422,0.97467,0.975,0.975,0.975
13,9,0.9775,0.97692,0.97678,0.97655,0.9775,0.9775,0.9775
14,0,0.975,0.97487,0.97606,0.97528,0.975,0.975,0.975
14,1,0.97083,0.97115,0.97088,0.9709,0.97083,0.97083,0.97083
14,2,0.97583,0.97595,0.97633,0.97605,0.97583,0.97583,0.97583
14,3,0.975,0.97426,0.9752,0.97459,0.975,0.975,0.975
14,4,0.97917,0.97898,0.97889,0.97886,0.97917,0.97917,0.97917
14,5,0.97583,0.97588,0.97673,0.97612,0.97583,0.97583,0.97583
14,6,0.98583,0.98591,0.98538,0.98556,0.98583,0.98583,0.98583
14,7,0.97917,0.97785,0.97912,0.97838,0.97917,0.97917,0.97917
14,8,0.975,0.9751,0.9742,0.97457,0.975,0.975,0.975
14,9,0.97917,0.97892,0.97891,0.97868,0.97917,0.97917,0.97917
15,0,0.97333,0.9731,0.97417,0.97344,0.97333,0.97333,0.97333
15,1,0.9725,0.97299,0.97247,0.97261,0.9725,0.9725,0.9725
15,2,0.97667,0.97707,0.9772,0.97708,0.97667,0.97667,0.97667
15,3,0.975,0.97449,0.97488,0.97456,0.975,0.975,0.975
15,4,0.9775,0.97737,0.97752,0.97732,0.9775,0.9775,0.9775
15,5,0.97667,0.97627,0.97719,0.97658,0.97667,0.97667,0.97667
15,6,0.98333,0.98341,0.9828,0.98302,0.98333,0.98333,0.98333
15,7,0.97833,0.97682,0.97825,0.97737,0.97833,0.97833,0.97833
15,8,0.97417,0.97457,0.9733,0.9738,0.97417,0.97417,0.97417
15,9,0.97917,0.9787,0.97868,0.97845,0.97917,0.97917,0.97917
16,0,0.975,0.97489,0.97584,0.97519,0.975,0.975,0.975
16,1,0.97167,0.97213,0.97165,0.97176,0.97167,0.97167,0.97167
16,2,0.97667,0.97692,0.97717,0.97697,0.97667,0.97667,0.97667
16,3,0.97667,0.97602,0.97693,0.97635,0.97667,0.97667,0.97667
