round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.6245,0.68787,0.62634,0.61725,0.6245,0.6245,0.6245
2,0.5762,0.70648,0.57797,0.51895,0.5762,0.5762,0.5762
3,0.737,0.79878,0.73218,0.72836,0.737,0.737,0.737
4,0.6323,0.75161,0.63719,0.59157,0.6323,0.6323,0.6323
5,0.6941,0.79967,0.68556,0.65369,0.6941,0.6941,0.6941
6,0.7166,0.78959,0.72101,0.69385,0.7166,0.7166,0.7166
7,0.8217,0.85387,0.81824,0.80684,0.8217,0.8217,0.8217
8,0.7973,0.83812,0.80009,0.79208,0.7973,0.7973,0.7973
9,0.8097,0.85238,0.80634,0.78279,0.8097,0.8097,0.8097
10,0.7899,0.84454,0.79284,0.78059,0.7899,0.7899,0.7899
11,0.8079,0.85924,0.80496,0.78482,0.8079,0.8079,0.8079
12,0.819,0.85902,0.82151,0.80666,0.819,0.819,0.819
13,0.834,0.87949,0.83229,0.82331,0.834,0.834,0.834
14,0.8328,0.8662,0.83552,0.8176,0.8328,0.8328,0.8328
15,0.8463,0.89178,0.84492,0.83764,0.8463,0.8463,0.8463
16,0.8467,0.8699,0.84932,0.83473,0.8467,0.8467,0.8467
17,0.8547,0.89912,0.85376,0.8494,0.8547,0.8547,0.8547
18,0.8627,0.87826,0.86399,0.84797,0.8627,0.8627,0.8627
19,0.8564,0.90478,0.85555,0.8531,0.8564,0.8564,0.8564
20,0.8701,0.88141,0.87119,0.85551,0.8701,0.8701,0.8701
21,0.8589,0.90335,0.8587,0.8599,0.8589,0.8589,0.8589
22,0.8804,0.88933,0.88147,0.87234,0.8804,0.8804,0.8804
23,0.8869,0.91453,0.88651,0.88761,0.8869,0.8869,0.8869
24,0.9143,0.91626,0.9148,0.91205,0.9143,0.9143,0.9143
25,0.8808,0.91143,0.88077,0.88084,0.8808,0.8808,0.8808
26,0.8958,0.90016,0.89618,0.89059,0.8958,0.8958,0.8958
27,0.8787,0.91288,0.8789,0.8789,0.8787,0.8787,0.8787
28,0.8989,0.9027,0.89919,0.89341,0.8989,0.8989,0.8989
29,0.871,0.90438,0.87172,0.87101,0.871,0.871,0.871
30,0.9066,0.91048,0.90664,0.90404,0.9066,0.9066,0.9066
31,0.8816,0.90986,0.88219,0.88111,0.8816,0.8816,0.8816
32,0.9193,0.92096,0.91924,0.91724,0.9193,0.9193,0.9193
33,0.8825,0.90847,0.88379,0.88353,0.8825,0.8825,0.8825
34,0.9153,0.91745,0.91516,0.91345,0.9153,0.9153,0.9153
35,0.8977,0.91482,0.8985,0.89828,0.8977,0.8977,0.8977
36,0.9068,0.91029,0.90691,0.90431,0.9068,0.9068,0.9068
37,0.8868,0.90694,0.88787,0.88784,0.8868,0.8868,0.8868
38,0.9049,0.91006,0.90496,0.90268,0.9049,0.9049,0.9049
39,0.891,0.91025,0.89239,0.89245,0.891,0.891,0.891
40,0.9157,0.91766,0.91558,0.91395,0.9157,0.9157,0.9157
