round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.1838,0.15987,0.19699,0.06443,0.1838,0.1838,0.1838
1,1,0.311,0.61763,0.30065,0.23842,0.311,0.311,0.311
1,2,0.3059,0.35061,0.30899,0.18387,0.3059,0.3059,0.3059
1,3,0.2844,0.43295,0.28832,0.22194,0.2844,0.2844,0.2844
1,4,0.2743,0.50088,0.27505,0.20694,0.2743,0.2743,0.2743
1,5,0.2874,0.3224,0.29096,0.1661,0.2874,0.2874,0.2874
1,6,0.3347,0.5567,0.34311,0.23461,0.3347,0.3347,0.3347
1,7,0.0958,0.00958,0.1,0.01749,0.0958,0.0958,0.0958
1,8,0.2179,0.67463,0.22093,0.1201,0.2179,0.2179,0.2179
1,9,0.4808,0.57703,0.48336,0.48232,0.4808,0.4808,0.4808
2,0,0.1933,0.5185,0.20654,0.082,0.1933,0.1933,0.1933
2,1,0.321,0.68072,0.3107,0.25861,0.321,0.321,0.321
2,2,0.3185,0.68462,0.32118,0.20819,0.3185,0.3185,0.3185
2,3,0.2586,0.51252,0.2636,0.18447,0.2586,0.2586,0.2586
2,4,0.2557,0.62087,0.25713,0.17527,0.2557,0.2557,0.2557
2,5,0.3078,0.72025,0.31134,0.20779,0.3078,0.3078,0.3078
2,6,0.3491,0.59415,0.35639,0.26273,0.3491,0.3491,0.3491
2,7,0.3902,0.56492,0.38176,0.36614,0.3902,0.3902,0.3902
2,8,0.2425,0.76794,0.24429,0.16086,0.2425,0.2425,0.2425
2,9,0.5598,0.64135,0.5647,0.55087,0.5598,0.5598,0.5598
3,0,0.283,0.70657,0.29339,0.22563,0.283,0.283,0.283
3,1,0.3873,0.71768,0.37697,0.35013,0.3873,0.3873,0.3873
3,2,0.3554,0.68131,0.35767,0.27183,0.3554,0.3554,0.3554
3,3,0.3787,0.58491,0.3813,0.35832,0.3787,0.3787,0.3787
3,4,0.3254,0.61924,0.32456,0.28217,0.3254,0.3254,0.3254
3,5,0.3635,0.73239,0.36493,0.2948,0.3635,0.3635,0.3635
3,6,0.3652,0.65045,0.37222,0.28889,0.3652,0.3652,0.3652
3,7,0.5095,0.65981,0.50251,0.50586,0.5095,0.5095,0.5095
3,8,0.2566,0.76514,0.25742,0.1827,0.2566,0.2566,0.2566
3,9,0.6818,0.71529,0.68407,0.67238,0.6818,0.6818,0.6818
4,0,0.246,0.73884,0.25714,0.17116,0.246,0.246,0.246
4,1,0.4286,0.72815,0.42073,0.41378,0.4286,0.4286,0.4286
4,2,0.3788,0.6972,0.38073,0.30651,0.3788,0.3788,0.3788
4,3,0.4511,0.63526,0.4546,0.44696,0.4511,0.4511,0.4511
4,4,0.3705,0.62683,0.37097,0.34277,0.3705,0.3705,0.3705
4,5,0.3961,0.74806,0.39812,0.33174,0.3961,0.3961,0.3961
4,6,0.3825,0.73887,0.38823,0.31218,0.3825,0.3825,0.3825
4,7,0.5936,0.72284,0.58682,0.59742,0.5936,0.5936,0.5936
4,8,0.2798,0.78785,0.28073,0.22174,0.2798,0.2798,0.2798
4,9,0.7619,0.77426,0.76246,0.7566,0.7619,0.7619,0.7619
5,0,0.3646,0.79687,0.37261,0.34065,0.3646,0.3646,0.3646
5,1,0.4732,0.72833,0.46356,0.4598,0.4732,0.4732,0.4732
5,2,0.4044,0.71485,0.40604,0.34384,0.4044,0.4044,0.4044
5,3,0.471,0.66467,0.47048,0.46513,0.471,0.471,0.471
5,4,0.3544,0.67769,0.35247,0.32385,0.3544,0.3544,0.3544
5,5,0.4193,0.77199,0.41946,0.37842,0.4193,0.4193,0.4193
5,6,0.3922,0.67653,0.39778,0.3236,0.3922,0.3922,0.3922
5,7,0.6298,0.74352,0.6224,0.6272,0.6298,0.6298,0.6298
5,8,0.2779,0.77497,0.27767,0.21458,0.2779,0.2779,0.2779
5,9,0.7755,0.78922,0.77696,0.76849,0.7755,0.7755,0.7755
6,0,0.2449,0.80317,0.2569,0.17296,0.2449,0.2449,0.2449
6,1,0.4863,0.74761,0.47817,0.48513,0.4863,0.4863,0.4863
6,2,0.3935,0.71242,0.39528,0.33248,0.3935,0.3935,0.3935
6,3,0.5019,0.6822,0.50439,0.50702,0.5019,0.5019,0.5019
6,4,0.4185,0.69545,0.41916,0.41075,0.4185,0.4185,0.4185
6,5,0.4304,0.78331,0.43194,0.38777,0.4304,0.4304,0.4304
6,6,0.4051,0.75262,0.40999,0.34451,0.4051,0.4051,0.4051
6,7,0.6463,0.76815,0.64085,0.65544,0.6463,0.6463,0.6463
6,8,0.3076,0.78629,0.30851,0.26555,0.3076,0.3076,0.3076
6,9,0.7858,0.81006,0.7876,0.78227,0.7858,0.7858,0.7858
7,0,0.3761,0.81386,0.38473,0.36144,0.3761,0.3761,0.3761
7,1,0.5188,0.78511,0.5102,0.52352,0.5188,0.5188,0.5188
7,2,0.4334,0.72692,0.4345,0.37907,0.4334,0.4334,0.4334
7,3,0.5507,0.68805,0.55087,0.55142,0.5507,0.5507,0.5507
7,4,0.4014,0.68743,0.40068,0.38931,0.4014,0.4014,0.4014
7,5,0.444,0.77664,0.44456,0.41743,0.444,0.444,0.444
7,6,0.4326,0.70619,0.43774,0.38407,0.4326,0.4326,0.4326
7,7,0.6383,0.76186,0.63255,0.64012,0.6383,0.6383,0.6383
7,8,0.3033,0.797,0.30377,0.2576,0.3033,0.3033,0.3033
7,9,0.829,0.84399,0.83102,0.82549,0.829,0.829,0.829
8,0,0.3327,0.80382,0.34294,0.30207,0.3327,0.3327,0.3327
8,1,0.5259,0.76852,0.51945,0.53139,0.5259,0.5259,0.5259
8,2,0.4289,0.72694,0.43086,0.38392,0.4289,0.4289,0.4289
8,3,0.5526,0.70562,0.55524,0.55924,0.5526,0.5526,0.5526
8,4,0.4727,0.73236,0.47383,0.47657,0.4727,0.4727,0.4727
8,5,0.4719,0.78139,0.47362,0.44758,0.4719,0.4719,0.4719
8,6,0.4153,0.77351,0.42146,0.36642,0.4153,0.4153,0.4153
8,7,0.7347,0.80868,0.73136,0.74244,0.7347,0.7347,0.7347
8,8,0.3252,0.81353,0.32582,0.2928,0.3252,0.3252,0.3252
8,9,0.8164,0.84765,0.81862,0.8116,0.8164,0.8164,0.8164
9,0,0.4131,0.80317,0.42169,0.40716,0.4131,0.4131,0.4131
9,1,0.5293,0.77067,0.52134,0.53727,0.5293,0.5293,0.5293
9,2,0.4419,0.73448,0.44325,0.39389,0.4419,0.4419,0.4419
9,3,0.5757,0.72278,0.57594,0.5844,0.5757,0.5757,0.5757
9,4,0.4361,0.70211,0.43662,0.43073,0.4361,0.4361,0.4361
9,5,0.5038,0.78506,0.50527,0.49022,0.5038,0.5038,0.5038
9,6,0.4459,0.74175,0.45181,0.40735,0.4459,0.4459,0.4459
9,7,0.6901,0.80091,0.68503,0.69646,0.6901,0.6901,0.6901
9,8,0.3078,0.81486,0.30885,0.27167,0.3078,0.3078,0.3078
9,9,0.8553,0.86996,0.85759,0.85229,0.8553,0.8553,0.8553
10,0,0.369,0.81401,0.37878,0.35536,0.369,0.369,0.369
10,1,0.55,0.79615,0.54353,0.56274,0.55,0.55,0.55
10,2,0.4457,0.79028,0.44722,0.40069,0.4457,0.4457,0.4457
10,3,0.5463,0.71689,0.54752,0.55303,0.5463,0.5463,0.5463
10,4,0.4843,0.73862,0.48718,0.49297,0.4843,0.4843,0.4843
10,5,0.4744,0.79304,0.47664,0.44847,0.4744,0.4744,0.4744
10,6,0.4406,0.7695,0.44815,0.40576,0.4406,0.4406,0.4406
10,7,0.742,0.8268,0.73833,0.74992,0.742,0.742,0.742
10,8,0.3327,0.81393,0.33335,0.30468,0.3327,0.3327,0.3327
10,9,0.7942,0.83026,0.79645,0.78778,0.7942,0.7942,0.7942
11,0,0.44,0.81306,0.44885,0.445,0.44,0.44,0.44
11,1,0.5366,0.76891,0.52913,0.54222,0.5366,0.5366,0.5366
11,2,0.4715,0.73695,0.47271,0.43272,0.4715,0.4715,0.4715
11,3,0.5894,0.7334,0.59033,0.59899,0.5894,0.5894,0.5894
11,4,0.4626,0.72581,0.46346,0.46483,0.4626,0.4626,0.4626
11,5,0.5194,0.79854,0.52123,0.51036,0.5194,0.5194,0.5194
11,6,0.469,0.73882,0.47425,0.4356,0.469,0.469,0.469
11,7,0.6982,0.79699,0.69446,0.69945,0.6982,0.6982,0.6982
11,8,0.3338,0.81711,0.33358,0.30536,0.3338,0.3338,0.3338
11,9,0.8637,0.87963,0.86587,0.8605,0.8637,0.8637,0.8637
12,0,0.3783,0.81141,0.38761,0.36335,0.3783,0.3783,0.3783
12,1,0.532,0.80284,0.52593,0.55052,0.532,0.532,0.532
12,2,0.4679,0.81466,0.46894,0.42823,0.4679,0.4679,0.4679
12,3,0.5518,0.73098,0.55137,0.55847,0.5518,0.5518,0.5518
12,4,0.4957,0.73814,0.49903,0.50744,0.4957,0.4957,0.4957
12,5,0.4839,0.80538,0.48604,0.46834,0.4839,0.4839,0.4839
12,6,0.4343,0.76087,0.44159,0.3996,0.4343,0.4343,0.4343
12,7,0.7669,0.83877,0.76331,0.77485,0.7669,0.7669,0.7669
12,8,0.3425,0.82015,0.3434,0.32304,0.3425,0.3425,0.3425
12,9,0.7956,0.83002,0.79783,0.79204,0.7956,0.7956,0.7956
13,0,0.4387,0.82331,0.44654,0.43956,0.4387,0.4387,0.4387
13,1,0.5783,0.78151,0.57204,0.59043,0.5783,0.5783,0.5783
13,2,0.4933,0.7386,0.4963,0.4651,0.4933,0.4933,0.4933
13,3,0.6426,0.79638,0.64284,0.65794,0.6426,0.6426,0.6426
13,4,0.455,0.72405,0.45623,0.44992,0.455,0.455,0.455
13,5,0.5331,0.80699,0.53486,0.52652,0.5331,0.5331,0.5331
13,6,0.4646,0.77069,0.47122,0.4351,0.4646,0.4646,0.4646
