round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.98596,0.98081,0.98534,0.98304,0.98596,0.98596,0.98596
1,1,0.99862,0.66346,0.66617,0.66481,0.99862,0.99862,0.99862
1,2,0.98673,0.72234,0.72886,0.72555,0.98673,0.98673,0.98673
1,3,0.99201,0.6485,0.6452,0.64684,0.99201,0.99201,0.99201
1,4,0.99909,0.99952,0.98958,0.9945,0.99909,0.99909,0.99909
1,5,0.99339,0.99568,0.83036,0.88524,0.99339,0.99339,0.99339
1,6,0.99285,0.9897,0.98182,0.98569,0.99285,0.99285,0.99285
1,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,8,0.99736,0.99729,0.99695,0.99712,0.99736,0.99736,0.99736
1,9,0.66667,0.66667,0.5,0.55556,0.66667,0.66667,0.66667
2,0,0.9844,0.97694,0.98583,0.98124,0.9844,0.9844,0.9844
2,1,0.99862,0.66346,0.66617,0.66481,0.99862,0.99862,0.99862
2,2,0.98728,0.72303,0.72882,0.72587,0.98728,0.98728,0.98728
2,3,0.99201,0.6485,0.6452,0.64684,0.99201,0.99201,0.99201
2,4,0.99817,0.98911,0.98911,0.98911,0.99817,0.99817,0.99817
2,5,0.99339,0.99568,0.83036,0.88524,0.99339,0.99339,0.99339
2,6,0.99285,0.9913,0.98192,0.9865,0.99285,0.99285,0.99285
2,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,8,0.99842,0.99844,0.9981,0.99827,0.99842,0.99842,0.99842
2,9,0.66667,0.66667,0.5,0.55556,0.66667,0.66667,0.66667
3,0,0.9883,0.65685,0.65852,0.65767,0.9883,0.9883,0.9883
3,1,0.99862,0.5,0.49963,0.49981,0.99862,0.99862,0.99862
3,2,0.98838,0.97346,0.97952,0.97644,0.98838,0.98838,0.98838
3,3,0.99121,0.48901,0.48085,0.48485,0.99121,0.99121,0.99121
3,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,5,0.9978,0.99865,0.83333,0.88821,0.9978,0.9978,0.9978
3,6,0.99369,0.99202,0.98413,0.988,0.99369,0.99369,0.99369
3,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,8,0.99895,0.99919,0.99851,0.99885,0.99895,0.99895,0.99895
3,9,0.66667,0.66667,0.5,0.55556,0.66667,0.66667,0.66667
4,0,0.98674,0.65466,0.65832,0.65645,0.98674,0.98674,0.98674
4,1,0.99862,0.5,0.49963,0.49981,0.99862,0.99862,0.99862
4,2,0.98949,0.97699,0.98043,0.9787,0.98949,0.98949,0.98949
4,3,0.99201,0.48934,0.4839,0.48659,0.99201,0.99201,0.99201
4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,5,0.99339,0.99568,0.83036,0.88524,0.99339,0.99339,0.99339
4,6,0.99327,0.99169,0.98385,0.9877,0.99327,0.99327,0.99327
4,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,8,0.99947,0.99959,0.99925,0.99942,0.99947,0.99947,0.99947
4,9,0.66667,0.66667,0.5,0.55556,0.66667,0.66667,0.66667
5,0,0.98986,0.6581,0.65979,0.65893,0.98986,0.98986,0.98986
5,1,0.99931,0.66667,0.66642,0.66654,0.99931,0.99931,0.99931
5,2,0.98949,0.97699,0.98043,0.9787,0.98949,0.98949,0.98949
