round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.05772,0.09635,0.01016,0.01839,0.05772,0.05772,0.05772
1,1,0.00069,0.14286,0.00011,0.00021,0.00069,0.00069,0.00069
1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0.56515,0.18532,0.12106,0.14645,0.56515,0.56515,0.56515
1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,0.00883,0.09723,0.01038,0.00951,0.00883,0.00883,0.00883
1,7,0.0105,0.2,0.0021,0.00416,0.0105,0.0105,0.0105
1,8,0.14444,0.26607,0.03815,0.05696,0.14444,0.14444,0.14444
1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.60218,0.20805,0.13752,0.16496,0.60218,0.60218,0.60218
2,1,0.7195,0.28571,0.2413,0.25969,0.7195,0.7195,0.7195
2,2,0.59956,0.26999,0.35462,0.23541,0.59956,0.59956,0.59956
2,3,0.40847,0.13026,0.26042,0.09276,0.40847,0.40847,0.40847
2,4,0.2895,0.19216,0.1237,0.13595,0.2895,0.2895,0.2895
2,5,0.45815,0.20303,0.18737,0.1258,0.45815,0.45815,0.45815
2,6,0.78049,0.36557,0.28179,0.31431,0.78049,0.78049,0.78049
2,7,0.98163,0.33333,0.32721,0.33024,0.98163,0.98163,0.98163
2,8,0.69742,0.19118,0.15257,0.16483,0.69742,0.69742,0.69742
2,9,0.66667,0.66667,0.5,0.55556,0.66667,0.66667,0.66667
3,0,0.77925,0.31313,0.25554,0.28126,0.77925,0.77925,0.77925
3,1,0.88629,0.22115,0.20862,0.21444,0.88629,0.88629,0.88629
3,2,0.42312,0.22143,0.19683,0.16456,0.42312,0.42312,0.42312
3,3,0.13589,0.13819,0.11318,0.05938,0.13589,0.13589,0.13589
3,4,0.77717,0.21528,0.1897,0.20083,0.77717,0.77717,0.77717
3,5,0.73128,0.27276,0.30877,0.2524,0.73128,0.73128,0.73128
3,6,0.55172,0.34608,0.24697,0.25352,0.55172,0.55172,0.55172
3,7,0.94751,0.25,0.23688,0.24326,0.94751,0.94751,0.94751
3,8,0.46863,0.21865,0.12802,0.14455,0.46863,0.46863,0.46863
3,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0,0.43838,0.19231,0.08083,0.11319,0.43838,0.43838,0.43838
4,1,0.87319,0.2,0.18456,0.19178,0.87319,0.87319,0.87319
4,2,0.64712,0.32014,0.33426,0.24708,0.64712,0.64712,0.64712
4,3,0.6203,0.19211,0.32133,0.18035,0.6203,0.6203,0.6203
4,4,0.66941,0.2474,0.2043,0.22136,0.66941,0.66941,0.66941
4,5,0.46256,0.23833,0.2169,0.16981,0.46256,0.46256,0.46256
4,6,0.91968,0.29794,0.24,0.26042,0.91968,0.91968,0.91968
4,7,0.98425,0.2,0.19685,0.19841,0.98425,0.98425,0.98425
4,8,0.79547,0.22122,0.18616,0.2006,0.79547,0.79547,0.79547
4,9,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333
5,0,0.93838,0.32459,0.30562,0.31447,0.93838,0.93838,0.93838
5,1,0.88077,0.28434,0.26738,0.27523,0.88077,0.88077,0.88077
5,2,0.39215,0.23602,0.20042,0.17392,0.39215,0.39215,0.39215
5,3,0.52998,0.21118,0.20582,0.18599,0.52998,0.52998,0.52998
