round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.9258,0.92528,0.92452,0.92463,0.9258,0.9258,0.9258
2,0.9459,0.9456,0.94533,0.94535,0.9459,0.9459,0.9459
3,0.9556,0.95529,0.95516,0.95515,0.9556,0.9556,0.9556
4,0.9623,0.96203,0.96195,0.96196,0.9623,0.9623,0.9623
5,0.9661,0.96586,0.96577,0.96579,0.9661,0.9661,0.9661
6,0.9689,0.96867,0.9686,0.96861,0.9689,0.9689,0.9689
7,0.9704,0.97021,0.97014,0.97016,0.9704,0.9704,0.9704
8,0.9719,0.97174,0.97164,0.97167,0.9719,0.9719,0.9719
9,0.9736,0.9735,0.97336,0.97341,0.9736,0.9736,0.9736
10,0.9749,0.97482,0.97465,0.97471,0.9749,0.9749,0.9749
11,0.9751,0.97502,0.97485,0.97491,0.9751,0.9751,0.9751
12,0.9758,0.97573,0.97553,0.97561,0.9758,0.9758,0.9758
13,0.976,0.97591,0.97573,0.9758,0.976,0.976,0.976
14,0.9764,0.97636,0.97614,0.97623,0.9764,0.9764,0.9764
15,0.977,0.97698,0.97676,0.97685,0.977,0.977,0.977
16,0.9769,0.97686,0.97665,0.97674,0.9769,0.9769,0.9769
17,0.9777,0.97765,0.97745,0.97753,0.9777,0.9777,0.9777
18,0.9776,0.97759,0.97737,0.97746,0.9776,0.9776,0.9776
19,0.9777,0.97766,0.97745,0.97754,0.9777,0.9777,0.9777
20,0.9777,0.97769,0.97746,0.97756,0.9777,0.9777,0.9777
21,0.9779,0.97789,0.97769,0.97778,0.9779,0.9779,0.9779
22,0.9778,0.97779,0.97759,0.97768,0.9778,0.9778,0.9778
23,0.9785,0.97845,0.9783,0.97836,0.9785,0.9785,0.9785
24,0.9788,0.97877,0.9786,0.97867,0.9788,0.9788,0.9788
25,0.9794,0.97936,0.9792,0.97927,0.9794,0.9794,0.9794
26,0.9796,0.97954,0.9794,0.97946,0.9796,0.9796,0.9796
27,0.9795,0.97943,0.97932,0.97936,0.9795,0.9795,0.9795
28,0.9789,0.9789,0.97872,0.97879,0.9789,0.9789,0.9789
29,0.9795,0.97947,0.9793,0.97937,0.9795,0.9795,0.9795
30,0.9791,0.97905,0.97889,0.97896,0.9791,0.9791,0.9791
31,0.9793,0.97925,0.97911,0.97916,0.9793,0.9793,0.9793
32,0.9799,0.97987,0.97969,0.97977,0.9799,0.9799,0.9799
33,0.9795,0.97947,0.97931,0.97938,0.9795,0.9795,0.9795
34,0.9793,0.97926,0.97913,0.97918,0.9793,0.9793,0.9793
35,0.9796,0.97957,0.97942,0.97948,0.9796,0.9796,0.9796
36,0.98,0.98,0.97981,0.97989,0.98,0.98,0.98
37,0.9795,0.9795,0.97932,0.9794,0.9795,0.9795,0.9795
38,0.9796,0.97955,0.9794,0.97947,0.9796,0.9796,0.9796
39,0.9796,0.97955,0.97937,0.97945,0.9796,0.9796,0.9796
40,0.9795,0.97942,0.97928,0.97934,0.9795,0.9795,0.9795
