round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.9181,0.91785,0.91685,0.91695,0.9181,0.9181,0.9181
1,1,0.9255,0.92521,0.92476,0.92472,0.9255,0.9255,0.9255
1,2,0.9214,0.92128,0.91984,0.92017,0.9214,0.9214,0.9214
1,3,0.9181,0.91803,0.91701,0.91691,0.9181,0.9181,0.9181
1,4,0.921,0.92048,0.92033,0.91999,0.921,0.921,0.921
1,5,0.9252,0.92524,0.9239,0.92417,0.9252,0.9252,0.9252
1,6,0.9201,0.91974,0.91892,0.9189,0.9201,0.9201,0.9201
1,7,0.9212,0.92043,0.92048,0.92009,0.9212,0.9212,0.9212
1,8,0.9198,0.91971,0.91836,0.91846,0.9198,0.9198,0.9198
1,9,0.9173,0.91865,0.91604,0.91634,0.9173,0.9173,0.9173
2,0,0.9378,0.93751,0.93711,0.93711,0.9378,0.9378,0.9378
2,1,0.9408,0.94033,0.94032,0.94009,0.9408,0.9408,0.9408
2,2,0.934,0.93448,0.9328,0.93321,0.934,0.934,0.934
2,3,0.9376,0.93804,0.93651,0.93691,0.9376,0.9376,0.9376
2,4,0.937,0.93644,0.93635,0.93614,0.937,0.937,0.937
2,5,0.9378,0.93795,0.937,0.93725,0.9378,0.9378,0.9378
2,6,0.9349,0.93454,0.93441,0.93425,0.9349,0.9349,0.9349
2,7,0.9323,0.93181,0.93168,0.93124,0.9323,0.9323,0.9323
2,8,0.936,0.93569,0.93547,0.93532,0.936,0.936,0.936
2,9,0.9376,0.93714,0.93714,0.93697,0.9376,0.9376,0.9376
3,0,0.9502,0.95015,0.94976,0.94982,0.9502,0.9502,0.9502
3,1,0.9481,0.94773,0.94793,0.94766,0.9481,0.9481,0.9481
3,2,0.9507,0.95014,0.95016,0.9501,0.9507,0.9507,0.9507
3,3,0.9497,0.94945,0.94915,0.94921,0.9497,0.9497,0.9497
3,4,0.9478,0.94783,0.94683,0.9471,0.9478,0.9478,0.9478
3,5,0.9501,0.95019,0.94933,0.94959,0.9501,0.9501,0.9501
3,6,0.9456,0.94504,0.94531,0.94502,0.9456,0.9456,0.9456
3,7,0.9474,0.94687,0.94693,0.94677,0.9474,0.9474,0.9474
3,8,0.9454,0.94533,0.9449,0.94491,0.9454,0.9454,0.9454
3,9,0.9477,0.94744,0.94722,0.94721,0.9477,0.9477,0.9477
4,0,0.9565,0.95635,0.95622,0.95618,0.9565,0.9565,0.9565
4,1,0.9578,0.95746,0.95752,0.95741,0.9578,0.9578,0.9578
4,2,0.9551,0.9548,0.95442,0.95456,0.9551,0.9551,0.9551
4,3,0.9547,0.95432,0.95428,0.95421,0.9547,0.9547,0.9547
4,4,0.954,0.9536,0.95341,0.95343,0.954,0.954,0.954
4,5,0.9551,0.9549,0.95454,0.95464,0.9551,0.9551,0.9551
4,6,0.9527,0.95236,0.9522,0.95221,0.9527,0.9527,0.9527
4,7,0.9546,0.95446,0.95402,0.9541,0.9546,0.9546,0.9546
4,8,0.956,0.95555,0.95571,0.95556,0.956,0.956,0.956
4,9,0.9536,0.95353,0.95287,0.95309,0.9536,0.9536,0.9536
5,0,0.9599,0.95967,0.9596,0.95959,0.9599,0.9599,0.9599
5,1,0.9622,0.96181,0.96197,0.96184,0.9622,0.9622,0.9622
5,2,0.9613,0.96113,0.96074,0.96089,0.9613,0.9613,0.9613
5,3,0.9596,0.95943,0.95909,0.95916,0.9596,0.9596,0.9596
5,4,0.9581,0.95778,0.95776,0.95767,0.9581,0.9581,0.9581
5,5,0.9618,0.96168,0.96141,0.96143,0.9618,0.9618,0.9618
5,6,0.9574,0.95714,0.9569,0.95696,0.9574,0.9574,0.9574
5,7,0.9606,0.96029,0.96019,0.96018,0.9606,0.9606,0.9606
