round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.9275,0.9296,0.92679,0.92751,0.9275,0.9275,0.9275
1,1,0.92,0.9206,0.92044,0.91985,0.92,0.92,0.92
1,2,0.91,0.91148,0.9116,0.91101,0.91,0.91,0.91
1,3,0.91333,0.91201,0.91362,0.91202,0.91333,0.91333,0.91333
1,4,0.91083,0.91078,0.91027,0.90943,0.91083,0.91083,0.91083
1,5,0.9125,0.91469,0.91159,0.91214,0.9125,0.9125,0.9125
1,6,0.915,0.91476,0.91327,0.91322,0.915,0.915,0.915
1,7,0.9275,0.92439,0.92503,0.92401,0.9275,0.9275,0.9275
1,8,0.92333,0.92284,0.92273,0.92228,0.92333,0.92333,0.92333
1,9,0.93,0.93223,0.92574,0.92816,0.93,0.93,0.93
2,0,0.94167,0.94306,0.94206,0.94193,0.94167,0.94167,0.94167
2,1,0.93917,0.93945,0.93966,0.93935,0.93917,0.93917,0.93917
2,2,0.93333,0.93426,0.93429,0.93393,0.93333,0.93333,0.93333
2,3,0.93667,0.93685,0.93501,0.93573,0.93667,0.93667,0.93667
2,4,0.925,0.92509,0.92419,0.92357,0.925,0.925,0.925
2,5,0.93083,0.93075,0.93067,0.92992,0.93083,0.93083,0.93083
2,6,0.9325,0.93212,0.93194,0.93168,0.9325,0.9325,0.9325
2,7,0.94333,0.9406,0.94178,0.94064,0.94333,0.94333,0.94333
2,8,0.93667,0.93638,0.93596,0.93589,0.93667,0.93667,0.93667
2,9,0.94083,0.93876,0.93889,0.93859,0.94083,0.94083,0.94083
3,0,0.95083,0.95127,0.95022,0.95049,0.95083,0.95083,0.95083
3,1,0.94917,0.94978,0.94942,0.94946,0.94917,0.94917,0.94917
3,2,0.9475,0.94896,0.94822,0.9483,0.9475,0.9475,0.9475
3,3,0.95,0.94911,0.94959,0.94926,0.95,0.95,0.95
3,4,0.94083,0.94115,0.94026,0.94014,0.94083,0.94083,0.94083
3,5,0.94417,0.94476,0.94277,0.9431,0.94417,0.94417,0.94417
3,6,0.93917,0.93824,0.93813,0.93785,0.93917,0.93917,0.93917
3,7,0.955,0.95309,0.95397,0.95337,0.955,0.955,0.955
3,8,0.94667,0.94679,0.94587,0.94607,0.94667,0.94667,0.94667
3,9,0.9475,0.94707,0.94464,0.94559,0.9475,0.9475,0.9475
4,0,0.96,0.95992,0.9602,0.95975,0.96,0.96,0.96
4,1,0.95667,0.95684,0.95691,0.95673,0.95667,0.95667,0.95667
4,2,0.95417,0.95497,0.95516,0.95483,0.95417,0.95417,0.95417
4,3,0.95333,0.95231,0.95296,0.95251,0.95333,0.95333,0.95333
4,4,0.95167,0.952,0.9516,0.95135,0.95167,0.95167,0.95167
4,5,0.95917,0.95882,0.95911,0.95852,0.95917,0.95917,0.95917
4,6,0.95,0.94951,0.94889,0.94896,0.95,0.95,0.95
