round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.09833,0.05905,0.0955,0.04503,0.09833,0.09833,0.09833
1,1,0.1075,0.10745,0.10439,0.04917,0.1075,0.1075,0.1075
1,2,0.0775,0.08378,0.08248,0.03542,0.0775,0.0775,0.0775
1,3,0.07917,0.02587,0.08782,0.03469,0.07917,0.07917,0.07917
1,4,0.09583,0.04994,0.0944,0.04128,0.09583,0.09583,0.09583
1,5,0.10083,0.02655,0.09163,0.03864,0.10083,0.10083,0.10083
1,6,0.08583,0.07114,0.08453,0.03356,0.08583,0.08583,0.08583
1,7,0.09,0.19162,0.08795,0.0387,0.09,0.09,0.09
1,8,0.08667,0.07022,0.09222,0.04079,0.08667,0.08667,0.08667
1,9,0.07917,0.11425,0.09692,0.03843,0.07917,0.07917,0.07917
2,0,0.92333,0.92465,0.92396,0.92369,0.92333,0.92333,0.92333
2,1,0.92,0.92092,0.92014,0.9199,0.92,0.92,0.92
2,2,0.92833,0.92892,0.92946,0.92881,0.92833,0.92833,0.92833
2,3,0.91833,0.91676,0.91714,0.9167,0.91833,0.91833,0.91833
2,4,0.91917,0.91845,0.91852,0.91791,0.91917,0.91917,0.91917
2,5,0.9225,0.92457,0.92177,0.92231,0.9225,0.9225,0.9225
2,6,0.91,0.90901,0.9082,0.90793,0.91,0.91,0.91
2,7,0.92917,0.92548,0.92651,0.92575,0.92917,0.92917,0.92917
2,8,0.93,0.9294,0.92889,0.92897,0.93,0.93,0.93
2,9,0.935,0.93485,0.93095,0.93213,0.935,0.935,0.935
3,0,0.9475,0.94883,0.94832,0.94821,0.9475,0.9475,0.9475
3,1,0.94583,0.94641,0.94601,0.94604,0.94583,0.94583,0.94583
3,2,0.9475,0.94809,0.94855,0.94807,0.9475,0.9475,0.9475
3,3,0.94083,0.93962,0.9402,0.93965,0.94083,0.94083,0.94083
3,4,0.94083,0.9402,0.94092,0.94012,0.94083,0.94083,0.94083
3,5,0.94667,0.947,0.94687,0.94651,0.94667,0.94667,0.94667
3,6,0.9375,0.9373,0.93623,0.93642,0.9375,0.9375,0.9375
3,7,0.95333,0.95044,0.95255,0.95124,0.95333,0.95333,0.95333
3,8,0.94583,0.94562,0.945,0.94505,0.94583,0.94583,0.94583
3,9,0.94833,0.94695,0.94577,0.94612,0.94833,0.94833,0.94833
4,0,0.9575,0.95853,0.95784,0.95801,0.9575,0.9575,0.9575
4,1,0.95833,0.95855,0.95821,0.95826,0.95833,0.95833,0.95833
4,2,0.95333,0.95352,0.95419,0.9537,0.95333,0.95333,0.95333
4,3,0.94833,0.94762,0.94839,0.94772,0.94833,0.94833,0.94833
4,4,0.9575,0.95702,0.95755,0.95708,0.9575,0.9575,0.9575
4,5,0.95833,0.95895,0.95819,0.95831,0.95833,0.95833,0.95833
4,6,0.95333,0.95303,0.95203,0.95216,0.95333,0.95333,0.95333
4,7,0.96333,0.96067,0.96229,0.96129,0.96333,0.96333,0.96333
4,8,0.95667,0.9567,0.95607,0.95623,0.95667,0.95667,0.95667
4,9,0.95833,0.95754,0.9565,0.95682,0.95833,0.95833,0.95833
5,0,0.95917,0.95969,0.95994,0.95971,0.95917,0.95917,0.95917
5,1,0.95917,0.95959,0.95912,0.95924,0.95917,0.95917,0.95917
5,2,0.96,0.96032,0.96057,0.96036,0.96,0.96,0.96
5,3,0.95583,0.95525,0.95568,0.95529,0.95583,0.95583,0.95583
5,4,0.96083,0.96026,0.96072,0.96034,0.96083,0.96083,0.96083
5,5,0.96333,0.96361,0.96334,0.96329,0.96333,0.96333,0.96333
5,6,0.95917,0.95895,0.95793,0.95816,0.95917,0.95917,0.95917
5,7,0.96667,0.96408,0.96604,0.96483,0.96667,0.96667,0.96667
5,8,0.96083,0.96116,0.9601,0.96046,0.96083,0.96083,0.96083
5,9,0.96,0.95947,0.9585,0.95871,0.96,0.96,0.96
6,0,0.9625,0.96258,0.96331,0.9629,0.9625,0.9625,0.9625
6,1,0.96083,0.96154,0.9608,0.96097,0.96083,0.96083,0.96083
6,2,0.96417,0.96477,0.96502,0.96473,0.96417,0.96417,0.96417
6,3,0.96083,0.96023,0.9613,0.96061,0.96083,0.96083,0.96083
6,4,0.96333,0.96274,0.96327,0.9629,0.96333,0.96333,0.96333
6,5,0.97167,0.97171,0.97193,0.97171,0.97167,0.97167,0.97167
6,6,0.96333,0.963,0.96248,0.96259,0.96333,0.96333,0.96333
6,7,0.96917,0.96761,0.96866,0.968,0.96917,0.96917,0.96917
6,8,0.95917,0.95973,0.95826,0.95878,0.95917,0.95917,0.95917
6,9,0.96333,0.96298,0.96224,0.96235,0.96333,0.96333,0.96333
7,0,0.96417,0.96401,0.96485,0.96434,0.96417,0.96417,0.96417
7,1,0.965,0.96557,0.9651,0.9652,0.965,0.965,0.965
7,2,0.96917,0.96951,0.96989,0.96958,0.96917,0.96917,0.96917
7,3,0.96417,0.96384,0.96452,0.96395,0.96417,0.96417,0.96417
7,4,0.96417,0.96396,0.96431,0.96403,0.96417,0.96417,0.96417
7,5,0.97333,0.97328,0.97331,0.97311,0.97333,0.97333,0.97333
7,6,0.96583,0.96553,0.96502,0.96513,0.96583,0.96583,0.96583
7,7,0.97167,0.96996,0.97137,0.97047,0.97167,0.97167,0.97167
7,8,0.96083,0.96134,0.96014,0.9605,0.96083,0.96083,0.96083
7,9,0.97,0.97049,0.96927,0.96958,0.97,0.97,0.97
8,0,0.96667,0.96652,0.96714,0.96675,0.96667,0.96667,0.96667
8,1,0.96667,0.96743,0.96669,0.96696,0.96667,0.96667,0.96667
8,2,0.97,0.9702,0.97064,0.97032,0.97,0.97,0.97
8,3,0.96833,0.96792,0.96835,0.96792,0.96833,0.96833,0.96833
8,4,0.96917,0.96897,0.96908,0.96888,0.96917,0.96917,0.96917
8,5,0.97417,0.97406,0.97429,0.97398,0.97417,0.97417,0.97417
8,6,0.96833,0.96792,0.96766,0.96767,0.96833,0.96833,0.96833
8,7,0.97417,0.97282,0.97394,0.97322,0.97417,0.97417,0.97417
8,8,0.96583,0.96624,0.9649,0.96533,0.96583,0.96583,0.96583
8,9,0.97083,0.97101,0.97034,0.97043,0.97083,0.97083,0.97083
9,0,0.96667,0.96649,0.96714,0.96673,0.96667,0.96667,0.96667
9,1,0.9675,0.96838,0.96761,0.96788,0.9675,0.9675,0.9675
9,2,0.97167,0.9718,0.97232,0.97197,0.97167,0.97167,0.97167
9,3,0.97083,0.97009,0.97093,0.97036,0.97083,0.97083,0.97083
9,4,0.96833,0.96846,0.96827,0.96817,0.96833,0.96833,0.96833
9,5,0.9725,0.97245,0.97271,0.97235,0.9725,0.9725,0.9725
9,6,0.97333,0.9731,0.97279,0.97284,0.97333,0.97333,0.97333
9,7,0.975,0.97364,0.97518,0.97422,0.975,0.975,0.975
9,8,0.96833,0.96899,0.96739,0.96795,0.96833,0.96833,0.96833
9,9,0.9725,0.97296,0.97197,0.97214,0.9725,0.9725,0.9725
10,0,0.96667,0.96682,0.96736,0.96696,0.96667,0.96667,0.96667
10,1,0.97083,0.97175,0.97088,0.97118,0.97083,0.97083,0.97083
10,2,0.97333,0.97345,0.97391,0.97359,0.97333,0.97333,0.97333
10,3,0.97583,0.97554,0.97581,0.97548,0.97583,0.97583,0.97583
10,4,0.97083,0.97077,0.97079,0.97066,0.97083,0.97083,0.97083
10,5,0.97083,0.97078,0.97112,0.97066,0.97083,0.97083,0.97083
10,6,0.97417,0.97399,0.97361,0.9737,0.97417,0.97417,0.97417
10,7,0.97417,0.97284,0.97432,0.97337,0.97417,0.97417,0.97417
10,8,0.97167,0.9721,0.97082,0.97125,0.97167,0.97167,0.97167
10,9,0.975,0.97539,0.97438,0.97467,0.975,0.975,0.975
11,0,0.96917,0.96933,0.9697,0.96941,0.96917,0.96917,0.96917
11,1,0.96917,0.97,0.96919,0.96947,0.96917,0.96917,0.96917
11,2,0.975,0.97505,0.97555,0.9752,0.975,0.975,0.975
11,3,0.975,0.9748,0.97502,0.97473,0.975,0.975,0.975
11,4,0.97167,0.97164,0.97158,0.9715,0.97167,0.97167,0.97167
11,5,0.97083,0.97078,0.97112,0.97066,0.97083,0.97083,0.97083
11,6,0.97417,0.97403,0.97361,0.97371,0.97417,0.97417,0.97417
11,7,0.97333,0.97195,0.97348,0.97253,0.97333,0.97333,0.97333
11,8,0.97,0.97052,0.96912,0.96957,0.97,0.97,0.97
11,9,0.97417,0.97446,0.97332,0.97363,0.97417,0.97417,0.97417
12,0,0.96917,0.96941,0.9697,0.96941,0.96917,0.96917,0.96917
12,1,0.97,0.97097,0.97006,0.97036,0.97,0.97,0.97
12,2,0.975,0.97505,0.97555,0.9752,0.975,0.975,0.975
12,3,0.975,0.97478,0.97473,0.9746,0.975,0.975,0.975
12,4,0.97333,0.97318,0.97327,0.97314,0.97333,0.97333,0.97333
12,5,0.9725,0.97239,0.97271,0.97228,0.9725,0.9725,0.9725
12,6,0.975,0.97489,0.97442,0.97457,0.975,0.975,0.975
12,7,0.97333,0.97221,0.97348,0.9726,0.97333,0.97333,0.97333
12,8,0.9725,0.97311,0.97165,0.97218,0.9725,0.9725,0.9725
12,9,0.975,0.97509,0.97387,0.9742,0.975,0.975,0.975
13,0,0.97083,0.97117,0.97154,0.97121,0.97083,0.97083,0.97083
13,1,0.96917,0.97015,0.96914,0.96949,0.96917,0.96917,0.96917
13,2,0.975,0.97505,0.97555,0.9752,0.975,0.975,0.975
13,3,0.97417,0.97377,0.97394,0.97373,0.97417,0.97417,0.97417
13,4,0.97417,0.97405,0.97406,0.97398,0.97417,0.97417,0.97417
13,5,0.97333,0.97316,0.97353,0.97309,0.97333,0.97333,0.97333
13,6,0.97667,0.97678,0.97605,0.97632,0.97667,0.97667,0.97667
13,7,0.975,0.97387,0.9751,0.97431,0.975,0.975,0.975
13,8,0.97167,0.9722,0.97082,0.97132,0.97167,0.97167,0.97167
13,9,0.97417,0.97423,0.97312,0.97336,0.97417,0.97417,0.97417
14,0,0.97083,0.97105,0.97152,0.97114,0.97083,0.97083,0.97083
14,1,0.96917,0.97018,0.96899,0.96939,0.96917,0.96917,0.96917
14,2,0.97667,0.97673,0.97725,0.97688,0.97667,0.97667,0.97667
14,3,0.97583,0.97561,0.97547,0.97536,0.97583,0.97583,0.97583
14,4,0.975,0.97482,0.97493,0.97481,0.975,0.975,0.975
14,5,0.97333,0.97316,0.97353,0.97309,0.97333,0.97333,0.97333
14,6,0.9775,0.97757,0.97686,0.97713,0.9775,0.9775,0.9775
14,7,0.975,0.9737,0.97511,0.9742,0.975,0.975,0.975
14,8,0.97333,0.97375,0.9726,0.97304,0.97333,0.97333,0.97333
14,9,0.97417,0.97423,0.97312,0.97336,0.97417,0.97417,0.97417
15,0,0.97083,0.97088,0.97156,0.97106,0.97083,0.97083,0.97083
15,1,0.97,0.97092,0.96976,0.97016,0.97,0.97,0.97
15,2,0.97583,0.97582,0.97641,0.97598,0.97583,0.97583,0.97583
15,3,0.97583,0.97543,0.9754,0.97522,0.97583,0.97583,0.97583
15,4,0.97583,0.97571,0.97573,0.97565,0.97583,0.97583,0.97583
15,5,0.97333,0.97316,0.97353,0.97309,0.97333,0.97333,0.97333
15,6,0.9775,0.97757,0.97686,0.97713,0.9775,0.9775,0.9775
15,7,0.97583,0.97442,0.97589,0.975,0.97583,0.97583,0.97583
15,8,0.9725,0.97294,0.97172,0.97216,0.9725,0.9725,0.9725
15,9,0.9775,0.97752,0.97676,0.97685,0.9775,0.9775,0.9775
16,0,0.97333,0.97373,0.9739,0.97366,0.97333,0.97333,0.97333
16,1,0.97167,0.97238,0.9715,0.9718,0.97167,0.97167,0.97167
16,2,0.9775,0.97752,0.97806,0.97765,0.9775,0.9775,0.9775
16,3,0.975,0.9744,0.97466,0.97432,0.975,0.975,0.975
