round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.4408,0.42176,0.45397,0.34639,0.4408,0.4408,0.4408
2,0.5373,0.67349,0.5404,0.49194,0.5373,0.5373,0.5373
3,0.6817,0.7763,0.68388,0.64713,0.6817,0.6817,0.6817
4,0.7155,0.77775,0.71567,0.69408,0.7155,0.7155,0.7155
5,0.7899,0.82964,0.78742,0.7822,0.7899,0.7899,0.7899
6,0.7595,0.79314,0.76128,0.7528,0.7595,0.7595,0.7595
7,0.7823,0.82457,0.77817,0.77242,0.7823,0.7823,0.7823
8,0.774,0.81058,0.77714,0.76534,0.774,0.774,0.774
9,0.7985,0.84026,0.79426,0.7804,0.7985,0.7985,0.7985
10,0.8016,0.83578,0.80465,0.79904,0.8016,0.8016,0.8016
11,0.7993,0.84327,0.79545,0.77317,0.7993,0.7993,0.7993
12,0.8319,0.85765,0.83466,0.83045,0.8319,0.8319,0.8319
13,0.8538,0.87756,0.85107,0.84524,0.8538,0.8538,0.8538
14,0.8789,0.88795,0.88065,0.87816,0.8789,0.8789,0.8789
15,0.8668,0.88994,0.86464,0.8603,0.8668,0.8668,0.8668
16,0.8883,0.89636,0.88957,0.88772,0.8883,0.8883,0.8883
17,0.8868,0.90282,0.88517,0.88331,0.8868,0.8868,0.8868
18,0.9022,0.90783,0.9033,0.90185,0.9022,0.9022,0.9022
19,0.8865,0.90161,0.88484,0.88252,0.8865,0.8865,0.8865
20,0.9101,0.91441,0.91094,0.90982,0.9101,0.9101,0.9101
21,0.8926,0.90671,0.89127,0.88945,0.8926,0.8926,0.8926
22,0.9092,0.91424,0.91021,0.9091,0.9092,0.9092,0.9092
23,0.896,0.90895,0.89471,0.89332,0.896,0.896,0.896
24,0.9138,0.91734,0.91477,0.91302,0.9138,0.9138,0.9138
25,0.9073,0.91779,0.90606,0.90577,0.9073,0.9073,0.9073
26,0.9116,0.91582,0.91281,0.91108,0.9116,0.9116,0.9116
27,0.8956,0.91039,0.89426,0.89353,0.8956,0.8956,0.8956
28,0.9171,0.91991,0.91788,0.91604,0.9171,0.9171,0.9171
29,0.9059,0.91852,0.90502,0.90433,0.9059,0.9059,0.9059
30,0.9257,0.92812,0.92638,0.92539,0.9257,0.9257,0.9257
31,0.9068,0.91827,0.90576,0.90526,0.9068,0.9068,0.9068
32,0.9169,0.92232,0.91787,0.91702,0.9169,0.9169,0.9169
33,0.9165,0.92417,0.91571,0.91538,0.9165,0.9165,0.9165
34,0.9228,0.9262,0.92355,0.92263,0.9228,0.9228,0.9228
35,0.9215,0.92718,0.92076,0.92027,0.9215,0.9215,0.9215
36,0.9215,0.92604,0.92231,0.9214,0.9215,0.9215,0.9215
37,0.9248,0.93061,0.92395,0.92411,0.9248,0.9248,0.9248
38,0.9227,0.92688,0.92396,0.92304,0.9227,0.9227,0.9227
39,0.9182,0.92687,0.91754,0.91774,0.9182,0.9182,0.9182
40,0.9219,0.92452,0.92272,0.92133,0.9219,0.9219,0.9219
