round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.1814,0.03683,0.19455,0.06186,0.1814,0.1814,0.1814
1,1,0.2171,0.15642,0.20542,0.08043,0.2171,0.2171,0.2171
1,2,0.2898,0.10913,0.29339,0.15128,0.2898,0.2898,0.2898
1,3,0.1903,0.04429,0.19614,0.07069,0.1903,0.1903,0.1903
1,4,0.1976,0.04257,0.19898,0.06948,0.1976,0.1976,0.1976
1,5,0.2674,0.11492,0.2703,0.14707,0.2674,0.2674,0.2674
1,6,0.2848,0.1116,0.29382,0.15392,0.2848,0.2848,0.2848
1,7,0.0958,0.00958,0.1,0.01749,0.0958,0.0958,0.0958
1,8,0.1958,0.04995,0.19897,0.07717,0.1958,0.1958,0.1958
1,9,0.1529,0.17058,0.16269,0.06275,0.1529,0.1529,0.1529
2,0,0.1819,0.03689,0.19508,0.06198,0.1819,0.1819,0.1819
2,1,0.2279,0.4609,0.21691,0.10232,0.2279,0.2279,0.2279
2,2,0.2943,0.20412,0.29774,0.16022,0.2943,0.2943,0.2943
2,3,0.2113,0.20184,0.21742,0.11434,0.2113,0.2113,0.2113
2,4,0.2057,0.14517,0.20726,0.08538,0.2057,0.2057,0.2057
2,5,0.2794,0.2208,0.28273,0.15867,0.2794,0.2794,0.2794
2,6,0.2901,0.2714,0.29941,0.15545,0.2901,0.2901,0.2901
2,7,0.1274,0.25571,0.13241,0.06961,0.1274,0.1274,0.1274
2,8,0.1981,0.14726,0.20132,0.07831,0.1981,0.1981,0.1981
2,9,0.4698,0.59498,0.4821,0.43751,0.4698,0.4698,0.4698
3,0,0.1829,0.07537,0.19604,0.06381,0.1829,0.1829,0.1829
3,1,0.2618,0.71343,0.25057,0.16317,0.2618,0.2618,0.2618
3,2,0.3085,0.29678,0.31168,0.18677,0.3085,0.3085,0.3085
3,3,0.1916,0.14874,0.19746,0.07826,0.1916,0.1916,0.1916
3,4,0.2262,0.22359,0.22856,0.12088,0.2262,0.2262,0.2262
3,5,0.3086,0.22307,0.31262,0.20333,0.3086,0.3086,0.3086
3,6,0.3154,0.25606,0.32415,0.20082,0.3154,0.3154,0.3154
3,7,0.4508,0.71804,0.44421,0.41624,0.4508,0.4508,0.4508
3,8,0.1993,0.1467,0.20255,0.07988,0.1993,0.1993,0.1993
3,9,0.6169,0.72896,0.62247,0.60705,0.6169,0.6169,0.6169
4,0,0.1857,0.23751,0.19896,0.06807,0.1857,0.1857,0.1857
4,1,0.3388,0.75655,0.32762,0.26987,0.3388,0.3388,0.3388
4,2,0.3318,0.40191,0.33554,0.2308,0.3318,0.3318,0.3318
4,3,0.2315,0.44493,0.23823,0.13844,0.2315,0.2315,0.2315
4,4,0.2868,0.56791,0.29143,0.2146,0.2868,0.2868,0.2868
4,5,0.3412,0.32546,0.34596,0.23551,0.3412,0.3412,0.3412
4,6,0.3371,0.54245,0.34486,0.23697,0.3371,0.3371,0.3371
4,7,0.5728,0.72105,0.5667,0.58007,0.5728,0.5728,0.5728
4,8,0.2067,0.41789,0.21011,0.09472,0.2067,0.2067,0.2067
4,9,0.7063,0.75764,0.70991,0.69869,0.7063,0.7063,0.7063
5,0,0.2535,0.57968,0.26635,0.179,0.2535,0.2535,0.2535
5,1,0.4319,0.72959,0.42129,0.40426,0.4319,0.4319,0.4319
5,2,0.349,0.41728,0.35324,0.25696,0.349,0.349,0.349
5,3,0.3682,0.53378,0.36987,0.33239,0.3682,0.3682,0.3682
5,4,0.3291,0.58477,0.33279,0.28441,0.3291,0.3291,0.3291
5,5,0.3352,0.51536,0.33955,0.23814,0.3352,0.3352,0.3352
5,6,0.3432,0.60243,0.35122,0.24971,0.3432,0.3432,0.3432
5,7,0.5943,0.72891,0.58692,0.59835,0.5943,0.5943,0.5943
5,8,0.2084,0.56644,0.2118,0.10138,0.2084,0.2084,0.2084
