round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.98362,0.98278,0.97734,0.98001,0.98362,0.98362,0.98362
1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,2,0.98728,0.71748,0.73278,0.72484,0.98728,0.98728,0.98728
1,3,0.99201,0.6485,0.6452,0.64684,0.99201,0.99201,0.99201
1,4,0.99817,0.98,0.99904,0.98932,0.99817,0.99817,0.99817
1,5,0.98018,0.9874,0.82091,0.87632,0.98018,0.98018,0.98018
1,6,0.99117,0.98842,0.97736,0.98275,0.99117,0.99117,0.99117
1,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,8,0.99736,0.99762,0.99661,0.99711,0.99736,0.99736,0.99736
1,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0,0.98128,0.97952,0.97489,0.97717,0.98128,0.98128,0.98128
2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,2,0.98562,0.71428,0.73117,0.72231,0.98562,0.98562,0.98562
2,3,0.99201,0.6485,0.6452,0.64684,0.99201,0.99201,0.99201
2,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,5,0.98678,0.99137,0.82577,0.88079,0.98678,0.98678,0.98678
2,6,0.99201,0.98744,0.98296,0.98517,0.99201,0.99201,0.99201
2,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,8,0.99842,0.99844,0.9981,0.99827,0.99842,0.99842,0.99842
2,9,0.66667,0.66667,0.5,0.55556,0.66667,0.66667,0.66667
3,0,0.98362,0.97765,0.9829,0.98023,0.98362,0.98362,0.98362
3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,2,0.98728,0.72003,0.72931,0.72456,0.98728,0.98728,0.98728
3,3,0.99201,0.6485,0.6452,0.64684,0.99201,0.99201,0.99201
3,4,0.99726,0.97911,0.98863,0.98382,0.99726,0.99726,0.99726
3,5,0.98899,0.99272,0.82739,0.88227,0.98899,0.98899,0.98899
3,6,0.99159,0.9887,0.97943,0.98396,0.99159,0.99159,0.99159
3,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,8,0.99842,0.99844,0.9981,0.99827,0.99842,0.99842,0.99842
3,9,0.66667,0.66667,0.5,0.55556,0.66667,0.66667,0.66667
4,0,0.98596,0.98012,0.98614,0.98307,0.98596,0.98596,0.98596
4,1,0.99862,0.66346,0.66617,0.66481,0.99862,0.99862,0.99862
4,2,0.98451,0.71885,0.72357,0.72115,0.98451,0.98451,0.98451
4,3,0.99201,0.6485,0.6452,0.64684,0.99201,0.99201,0.99201
4,4,0.99909,0.9898,0.99952,0.99461,0.99909,0.99909,0.99909
4,5,0.99119,0.99407,0.82901,0.88376,0.99119,0.99119,0.99119
4,6,0.99369,0.98888,0.98572,0.98729,0.99369,0.99369,0.99369
4,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,8,0.99895,0.99919,0.99851,0.99885,0.99895,0.99895,0.99895
4,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0,0.9883,0.98327,0.98858,0.98588,0.9883,0.9883,0.9883
5,1,0.99862,0.5,0.49963,0.49981,0.99862,0.99862,0.99862
5,2,0.98949,0.72996,0.73088,0.73042,0.98949,0.98949,0.98949
5,3,0.99201,0.48934,0.4839,0.48659,0.99201,0.99201,0.99201
5,4,0.99909,0.9898,0.99952,0.99461,0.99909,0.99909,0.99909
