round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.05772,0.09635,0.01016,0.01839,0.05772,0.05772,0.05772
1,1,0.00069,0.14286,0.00011,0.00021,0.00069,0.00069,0.00069
1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0.56515,0.18532,0.12106,0.14645,0.56515,0.56515,0.56515
1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,0.00883,0.09723,0.01038,0.00951,0.00883,0.00883,0.00883
1,7,0.0105,0.2,0.0021,0.00416,0.0105,0.0105,0.0105
1,8,0.14444,0.26607,0.03815,0.05696,0.14444,0.14444,0.14444
1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.71529,0.25861,0.21706,0.23294,0.71529,0.71529,0.71529
2,1,0.07443,0.28434,0.14339,0.14322,0.07443,0.07443,0.07443
2,2,0.59569,0.26483,0.28873,0.23943,0.59569,0.59569,0.59569
2,3,0.09273,0.1546,0.24219,0.05589,0.09273,0.09273,0.09273
2,4,0.04018,0.10628,0.10185,0.10402,0.04018,0.04018,0.04018
2,5,0.46696,0.14896,0.23171,0.16194,0.46696,0.46696,0.46696
2,6,0.76955,0.47352,0.37683,0.41116,0.76955,0.76955,0.76955
2,7,0.92651,0.25,0.23163,0.24046,0.92651,0.92651,0.92651
2,8,0.35635,0.24534,0.12121,0.12879,0.35635,0.35635,0.35635
2,9,0.66667,0.66667,0.5,0.55556,0.66667,0.66667,0.66667
3,0,0.73635,0.26847,0.21381,0.23782,0.73635,0.73635,0.73635
3,1,0.73742,0.2488,0.21467,0.22882,0.73742,0.73742,0.73742
3,2,0.56029,0.22285,0.2212,0.18854,0.56029,0.56029,0.56029
3,3,0.07834,0.13644,0.10381,0.04484,0.07834,0.07834,0.07834
3,4,0.38174,0.19362,0.12739,0.14527,0.38174,0.38174,0.38174
3,5,0.56388,0.23686,0.23259,0.18221,0.56388,0.56388,0.56388
3,6,0.60219,0.40103,0.28672,0.30813,0.60219,0.60219,0.60219
3,7,0.92388,0.25,0.23097,0.24011,0.92388,0.92388,0.92388
3,8,0.43384,0.19627,0.10889,0.12275,0.43384,0.43384,0.43384
3,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0,0.76131,0.20426,0.17568,0.18747,0.76131,0.76131,0.76131
4,1,0.64714,0.28571,0.23017,0.25161,0.64714,0.64714,0.64714
4,2,0.87666,0.29279,0.41249,0.29499,0.87666,0.87666,0.87666
4,3,0.08393,0.15493,0.2481,0.05331,0.08393,0.08393,0.08393
4,4,0.27763,0.21986,0.13386,0.15154,0.27763,0.27763,0.27763
4,5,0.5837,0.27158,0.26337,0.2018,0.5837,0.5837,0.5837
4,6,0.89865,0.37096,0.3202,0.34225,0.89865,0.89865,0.89865
4,7,0.9685,0.2,0.1937,0.1968,0.9685,0.9685,0.9685
4,8,0.77543,0.21975,0.18279,0.19744,0.77543,0.77543,0.77543
4,9,0.66667,0.66667,0.5,0.55556,0.66667,0.66667,0.66667
5,0,0.85647,0.19315,0.16119,0.17423,0.85647,0.85647,0.85647
5,1,0.94349,0.22222,0.21546,0.21874,0.94349,0.94349,0.94349
5,2,0.72235,0.30177,0.33912,0.29934,0.72235,0.72235,0.72235
5,3,0.19904,0.14313,0.23423,0.07756,0.19904,0.19904,0.19904
