round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.4405,0.56066,0.45281,0.34728,0.4405,0.4405,0.4405
2,0.0959,0.21203,0.10658,0.03367,0.0959,0.0959,0.0959
3,0.4017,0.46947,0.40531,0.31904,0.4017,0.4017,0.4017
4,0.5827,0.6063,0.58195,0.57507,0.5827,0.5827,0.5827
5,0.6053,0.62546,0.60613,0.60412,0.6053,0.6053,0.6053
6,0.6143,0.63237,0.61552,0.61063,0.6143,0.6143,0.6143
7,0.615,0.63729,0.61673,0.60937,0.615,0.615,0.615
8,0.6122,0.63911,0.6144,0.60635,0.6122,0.6122,0.6122
9,0.6149,0.64141,0.61732,0.60845,0.6149,0.6149,0.6149
10,0.6185,0.64316,0.62084,0.61188,0.6185,0.6185,0.6185
11,0.6213,0.64379,0.62342,0.61486,0.6213,0.6213,0.6213
12,0.6236,0.64486,0.62554,0.61697,0.6236,0.6236,0.6236
13,0.6244,0.64507,0.62631,0.61775,0.6244,0.6244,0.6244
14,0.6251,0.64531,0.62701,0.61834,0.6251,0.6251,0.6251
15,0.6249,0.64484,0.62681,0.61805,0.6249,0.6249,0.6249
16,0.625,0.64497,0.62691,0.61815,0.625,0.625,0.625
17,0.6251,0.64496,0.62701,0.61825,0.6251,0.6251,0.6251
18,0.625,0.64489,0.6269,0.61817,0.625,0.625,0.625
19,0.6249,0.64472,0.62681,0.61806,0.6249,0.6249,0.6249
20,0.6249,0.64472,0.62681,0.61806,0.6249,0.6249,0.6249
21,0.6249,0.64472,0.62681,0.61806,0.6249,0.6249,0.6249
22,0.6249,0.64472,0.62681,0.61806,0.6249,0.6249,0.6249
23,0.6249,0.64472,0.62681,0.61806,0.6249,0.6249,0.6249
24,0.6249,0.64472,0.62681,0.61806,0.6249,0.6249,0.6249
25,0.6249,0.64472,0.62681,0.61806,0.6249,0.6249,0.6249
26,0.625,0.64484,0.6269,0.61816,0.625,0.625,0.625
27,0.625,0.64484,0.6269,0.61816,0.625,0.625,0.625
28,0.625,0.64484,0.6269,0.61816,0.625,0.625,0.625
29,0.625,0.64484,0.6269,0.61816,0.625,0.625,0.625
30,0.625,0.64484,0.6269,0.61816,0.625,0.625,0.625
31,0.625,0.64484,0.6269,0.61816,0.625,0.625,0.625
32,0.625,0.64484,0.6269,0.61816,0.625,0.625,0.625
33,0.625,0.64484,0.6269,0.61816,0.625,0.625,0.625
34,0.625,0.64484,0.6269,0.61816,0.625,0.625,0.625
35,0.625,0.64484,0.6269,0.61816,0.625,0.625,0.625
36,0.625,0.64484,0.6269,0.61816,0.625,0.625,0.625
37,0.625,0.64484,0.6269,0.61816,0.625,0.625,0.625
38,0.625,0.64484,0.6269,0.61816,0.625,0.625,0.625
39,0.625,0.64484,0.6269,0.61816,0.625,0.625,0.625
40,0.6246,0.64442,0.62649,0.61774,0.6246,0.6246,0.6246
