round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.1814,0.03683,0.19455,0.06186,0.1814,0.1814,0.1814
1,1,0.2171,0.15642,0.20542,0.08043,0.2171,0.2171,0.2171
1,2,0.2898,0.10913,0.29339,0.15128,0.2898,0.2898,0.2898
1,3,0.1903,0.04429,0.19614,0.07069,0.1903,0.1903,0.1903
1,4,0.1976,0.04257,0.19898,0.06948,0.1976,0.1976,0.1976
1,5,0.2674,0.11492,0.2703,0.14707,0.2674,0.2674,0.2674
1,6,0.2848,0.1116,0.29382,0.15392,0.2848,0.2848,0.2848
1,7,0.0958,0.00958,0.1,0.01749,0.0958,0.0958,0.0958
1,8,0.1958,0.04995,0.19897,0.07717,0.1958,0.1958,0.1958
1,9,0.1529,0.17058,0.16269,0.06275,0.1529,0.1529,0.1529
2,0,0.2544,0.39262,0.26474,0.19544,0.2544,0.2544,0.2544
2,1,0.3447,0.44672,0.33757,0.28151,0.3447,0.3447,0.3447
2,2,0.4003,0.47462,0.40594,0.33589,0.4003,0.4003,0.4003
2,3,0.2853,0.60922,0.29016,0.23721,0.2853,0.2853,0.2853
2,4,0.2336,0.36691,0.2386,0.13928,0.2336,0.2336,0.2336
2,5,0.2664,0.46066,0.26977,0.19622,0.2664,0.2664,0.2664
2,6,0.292,0.3243,0.30024,0.19091,0.292,0.292,0.292
2,7,0.2101,0.41441,0.21678,0.18531,0.2101,0.2101,0.2101
2,8,0.2384,0.36015,0.24113,0.15277,0.2384,0.2384,0.2384
2,9,0.3808,0.49431,0.38545,0.29794,0.3808,0.3808,0.3808
3,0,0.1937,0.28691,0.20664,0.1033,0.1937,0.1937,0.1937
3,1,0.2312,0.11112,0.21928,0.10462,0.2312,0.2312,0.2312
3,2,0.3203,0.44429,0.32331,0.21379,0.3203,0.3203,0.3203
3,3,0.2326,0.24011,0.23813,0.14297,0.2326,0.2326,0.2326
3,4,0.216,0.17732,0.21752,0.11302,0.216,0.216,0.216
3,5,0.312,0.45757,0.31641,0.23508,0.312,0.312,0.312
3,6,0.2881,0.14748,0.29629,0.1623,0.2881,0.2881,0.2881
3,7,0.1352,0.31924,0.14117,0.08814,0.1352,0.1352,0.1352
3,8,0.227,0.16272,0.22921,0.13303,0.227,0.227,0.227
3,9,0.1662,0.42296,0.17793,0.10502,0.1662,0.1662,0.1662
4,0,0.3523,0.56007,0.36238,0.3291,0.3523,0.3523,0.3523
4,1,0.3635,0.5088,0.35174,0.2985,0.3635,0.3635,0.3635
4,2,0.3647,0.6968,0.36836,0.2772,0.3647,0.3647,0.3647
4,3,0.4016,0.55754,0.40416,0.39957,0.4016,0.4016,0.4016
4,4,0.339,0.52371,0.3401,0.28174,0.339,0.339,0.339
4,5,0.3555,0.62147,0.36085,0.29311,0.3555,0.3555,0.3555
4,6,0.3502,0.50196,0.35317,0.28016,0.3502,0.3502,0.3502
4,7,0.4261,0.61135,0.43093,0.4288,0.4261,0.4261,0.4261
4,8,0.2848,0.55078,0.28282,0.22812,0.2848,0.2848,0.2848
4,9,0.4631,0.49148,0.46484,0.41804,0.4631,0.4631,0.4631
5,0,0.3577,0.55238,0.37006,0.33046,0.3577,0.3577,0.3577
5,1,0.3609,0.52476,0.34973,0.29846,0.3609,0.3609,0.3609
5,2,0.3795,0.69533,0.38559,0.30776,0.3795,0.3795,0.3795
5,3,0.4303,0.59262,0.43612,0.42415,0.4303,0.4303,0.4303
5,4,0.3807,0.5145,0.38234,0.3379,0.3807,0.3807,0.3807
5,5,0.3936,0.58547,0.39975,0.34482,0.3936,0.3936,0.3936
5,6,0.3554,0.50146,0.35791,0.27948,0.3554,0.3554,0.3554
5,7,0.4471,0.63663,0.45104,0.46257,0.4471,0.4471,0.4471
5,8,0.3145,0.4639,0.313,0.26418,0.3145,0.3145,0.3145
