round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.98362,0.98278,0.97734,0.98001,0.98362,0.98362,0.98362
1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,2,0.98728,0.71748,0.73278,0.72484,0.98728,0.98728,0.98728
1,3,0.99201,0.6485,0.6452,0.64684,0.99201,0.99201,0.99201
1,4,0.99817,0.98,0.99904,0.98932,0.99817,0.99817,0.99817
1,5,0.98018,0.9874,0.82091,0.87632,0.98018,0.98018,0.98018
1,6,0.99117,0.98842,0.97736,0.98275,0.99117,0.99117,0.99117
1,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,8,0.99736,0.99762,0.99661,0.99711,0.99736,0.99736,0.99736
1,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0,0.79173,0.52558,0.56622,0.52106,0.79173,0.79173,0.79173
2,1,0.99173,0.39941,0.38746,0.39326,0.99173,0.99173,0.99173
2,2,0.96515,0.56772,0.54625,0.55611,0.96515,0.96515,0.96515
2,3,0.98401,0.47419,0.47609,0.47513,0.98401,0.98401,0.98401
2,4,0.99452,0.65214,0.6515,0.65182,0.99452,0.99452,0.99452
2,5,0.94714,0.47424,0.47587,0.47502,0.94714,0.94714,0.94714
2,6,0.94617,0.93031,0.93493,0.93165,0.94617,0.94617,0.94617
2,7,0.99475,0.33333,0.33158,0.33246,0.99475,0.99475,0.99475
2,8,0.9884,0.99043,0.98428,0.98724,0.9884,0.9884,0.9884
2,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,0.91342,0.44701,0.45401,0.45014,0.91342,0.91342,0.91342
3,1,0.99724,0.49524,0.49926,0.49722,0.99724,0.99724,0.99724
3,2,0.97622,0.71309,0.71549,0.71427,0.97622,0.97622,0.97622
3,3,0.99281,0.66468,0.64171,0.65273,0.99281,0.99281,0.99281
3,4,0.99726,0.97911,0.98863,0.98382,0.99726,0.99726,0.99726
3,5,0.96916,0.81511,0.81335,0.81411,0.96916,0.96916,0.96916
3,6,0.97939,0.71803,0.72558,0.72171,0.97939,0.97939,0.97939
3,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,8,0.99104,0.49759,0.49434,0.49594,0.99104,0.99104,0.99104
3,9,0.33333,0.16667,0.5,0.25,0.33333,0.33333,0.33333
4,0,0.8791,0.34035,0.35227,0.34497,0.8791,0.8791,0.8791
4,1,0.99311,0.48561,0.49366,0.48955,0.99311,0.99311,0.99311
4,2,0.93805,0.5459,0.53805,0.54161,0.93805,0.93805,0.93805
4,3,0.97922,0.46339,0.47197,0.46755,0.97922,0.97922,0.97922
4,4,0.99269,0.62861,0.65749,0.64229,0.99269,0.99269,0.99269
4,5,0.95374,0.60485,0.60211,0.60334,0.95374,0.95374,0.95374
4,6,0.94071,0.3887,0.3963,0.39189,0.94071,0.94071,0.94071
4,7,0.99213,0.33333,0.33071,0.33202,0.99213,0.99213,0.99213
4,8,0.97681,0.48942,0.48664,0.48801,0.97681,0.97681,0.97681
4,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,0.8908,0.34559,0.35652,0.34999,0.8908,0.8908,0.8908
5,1,0.99173,0.39208,0.39463,0.39334,0.99173,0.99173,0.99173
5,2,0.94524,0.54786,0.54656,0.54708,0.94524,0.94524,0.94524
5,3,0.98481,0.46852,0.47347,0.47096,0.98481,0.98481,0.98481
