round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.05772,0.09635,0.01016,0.01839,0.05772,0.05772,0.05772
1,1,0.00069,0.14286,0.00011,0.00021,0.00069,0.00069,0.00069
1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0.56515,0.18532,0.12106,0.14645,0.56515,0.56515,0.56515
1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,0.00883,0.09723,0.01038,0.00951,0.00883,0.00883,0.00883
1,7,0.0105,0.2,0.0021,0.00416,0.0105,0.0105,0.0105
1,8,0.14444,0.26607,0.03815,0.05696,0.14444,0.14444,0.14444
1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.66381,0.29083,0.23956,0.25607,0.66381,0.66381,0.66381
2,1,0.07099,0.14148,0.14286,0.14217,0.07099,0.07099,0.07099
2,2,0.60564,0.30332,0.33228,0.27751,0.60564,0.60564,0.60564
2,3,0.06795,0.15658,0.23888,0.05195,0.06795,0.06795,0.06795
2,4,0.06119,0.21739,0.10429,0.1088,0.06119,0.06119,0.06119
2,5,0.45815,0.27541,0.22987,0.16327,0.45815,0.45815,0.45815
2,6,0.80193,0.47695,0.38349,0.41785,0.80193,0.80193,0.80193
2,7,0.92651,0.25,0.23163,0.24046,0.92651,0.92651,0.92651
2,8,0.34844,0.28145,0.13658,0.14467,0.34844,0.34844,0.34844
2,9,0.66667,0.66667,0.5,0.55556,0.66667,0.66667,0.66667
3,0,0.67707,0.49267,0.49758,0.45713,0.67707,0.67707,0.67707
3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,0.0177,0.064,0.01164,0.01969,0.0177,0.0177,0.0177
3,3,0.0056,0.4,0.01481,0.02761,0.0056,0.0056,0.0056
3,4,0.00457,0.5,0.00616,0.01211,0.00457,0.00457,0.00457
3,5,0.02863,0.35577,0.01361,0.02503,0.02863,0.02863,0.02863
3,6,0.07023,0.01779,0.24133,0.03313,0.07023,0.07023,0.07023
3,7,0.04462,0.33333,0.01487,0.02848,0.04462,0.04462,0.04462
3,8,0.01423,0.25,0.01006,0.01934,0.01423,0.01423,0.01423
3,9,0.33333,0.16667,0.5,0.25,0.33333,0.33333,0.33333
4,0,0.039,0.14006,0.00785,0.01487,0.039,0.039,0.039
4,1,0.09993,0.31268,0.16588,0.16378,0.09993,0.09993,0.09993
4,2,0.03485,0.15907,0.09832,0.06497,0.03485,0.03485,0.03485
4,3,0.84652,0.25059,0.27773,0.25716,0.84652,0.84652,0.84652
4,4,0.39361,0.26708,0.1724,0.19927,0.39361,0.39361,0.39361
4,5,0.15639,0.14286,0.10498,0.09118,0.15639,0.15639,0.15639
4,6,0.73759,0.39443,0.24013,0.26012,0.73759,0.73759,0.73759
4,7,0.83465,0.25,0.20866,0.22747,0.83465,0.83465,0.83465
4,8,0.48076,0.27771,0.15937,0.19059,0.48076,0.48076,0.48076
4,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,0.56396,0.17022,0.11092,0.13413,0.56396,0.56396,0.56396
5,1,0.75052,0.24867,0.20522,0.22425,0.75052,0.75052,0.75052
5,2,0.56748,0.26422,0.18954,0.21479,0.56748,0.56748,0.56748
5,3,0.36211,0.15731,0.21467,0.1175,0.36211,0.36211,0.36211
5,4,0.50502,0.21429,0.14483,0.16947,0.50502,0.50502,0.50502
