round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
2,0.77193,0.86598,0.69767,0.70595,0.77193,0.77193,0.77193
3,0.89474,0.88504,0.89715,0.88986,0.89474,0.89474,0.89474
4,0.91228,0.90435,0.91123,0.90747,0.91228,0.91228,0.91228
5,0.9386,0.94122,0.92778,0.93369,0.9386,0.9386,0.9386
6,0.91228,0.90314,0.91582,0.90821,0.91228,0.91228,0.91228
7,0.9386,0.93651,0.93236,0.93435,0.9386,0.9386,0.9386
8,0.9386,0.94122,0.92778,0.93369,0.9386,0.9386,0.9386
9,0.9386,0.94122,0.92778,0.93369,0.9386,0.9386,0.9386
10,0.9386,0.94122,0.92778,0.93369,0.9386,0.9386,0.9386
11,0.9386,0.94122,0.92778,0.93369,0.9386,0.9386,0.9386
12,0.94737,0.94821,0.9394,0.94345,0.94737,0.94737,0.94737
13,0.9386,0.94122,0.92778,0.93369,0.9386,0.9386,0.9386
14,0.94737,0.94821,0.9394,0.94345,0.94737,0.94737,0.94737
15,0.94737,0.94399,0.94399,0.94399,0.94737,0.94737,0.94737
16,0.94737,0.94399,0.94399,0.94399,0.94737,0.94737,0.94737
17,0.95614,0.95536,0.95103,0.95311,0.95614,0.95614,0.95614
18,0.95614,0.95536,0.95103,0.95311,0.95614,0.95614,0.95614
19,0.94737,0.94399,0.94399,0.94399,0.94737,0.94737,0.94737
20,0.96491,0.96726,0.95807,0.9623,0.96491,0.96491,0.96491
21,0.97368,0.97973,0.96512,0.97158,0.97368,0.97368,0.97368
22,0.96491,0.96726,0.95807,0.9623,0.96491,0.96491,0.96491
23,0.94737,0.94399,0.94399,0.94399,0.94737,0.94737,0.94737
24,0.97368,0.97973,0.96512,0.97158,0.97368,0.97368,0.97368
25,0.95614,0.96711,0.94186,0.95213,0.95614,0.95614,0.95614
26,0.94737,0.94399,0.94399,0.94399,0.94737,0.94737,0.94737
27,0.95614,0.95162,0.95562,0.95353,0.95614,0.95614,0.95614
28,0.95614,0.96711,0.94186,0.95213,0.95614,0.95614,0.95614
29,0.95614,0.96711,0.94186,0.95213,0.95614,0.95614,0.95614
30,0.94737,0.93935,0.95316,0.94493,0.94737,0.94737,0.94737
31,0.95614,0.96711,0.94186,0.95213,0.95614,0.95614,0.95614
32,0.97368,0.97973,0.96512,0.97158,0.97368,0.97368,0.97368
33,0.96491,0.97333,0.95349,0.96191,0.96491,0.96491,0.96491
34,0.97368,0.97973,0.96512,0.97158,0.97368,0.97368,0.97368
35,0.95614,0.95536,0.95103,0.95311,0.95614,0.95614,0.95614
36,0.96491,0.97333,0.95349,0.96191,0.96491,0.96491,0.96491
37,0.96491,0.96726,0.95807,0.9623,0.96491,0.96491,0.96491
38,0.94737,0.96104,0.93023,0.94223,0.94737,0.94737,0.94737
39,0.96491,0.96726,0.95807,0.9623,0.96491,0.96491,0.96491
40,0.96491,0.96726,0.95807,0.9623,0.96491,0.96491,0.96491
41,0.95614,0.96711,0.94186,0.95213,0.95614,0.95614,0.95614
42,0.96491,0.97333,0.95349,0.96191,0.96491,0.96491,0.96491
43,0.94737,0.93935,0.95316,0.94493,0.94737,0.94737,0.94737
44,0.96491,0.96726,0.95807,0.9623,0.96491,0.96491,0.96491
45,0.94737,0.94399,0.94399,0.94399,0.94737,0.94737,0.94737
46,0.96491,0.97333,0.95349,0.96191,0.96491,0.96491,0.96491
47,0.96491,0.96726,0.95807,0.9623,0.96491,0.96491,0.96491
48,0.96491,0.96726,0.95807,0.9623,0.96491,0.96491,0.96491
49,0.96491,0.96726,0.95807,0.9623,0.96491,0.96491,0.96491
50,0.94737,0.94399,0.94399,0.94399,0.94737,0.94737,0.94737
