round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
1,1,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
1,2,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
1,3,0.63158,0.81416,0.51163,0.4086,0.63158,0.63158,0.63158
1,4,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
1,5,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
1,6,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
1,7,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
1,8,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
1,9,0.79825,0.87766,0.73256,0.74776,0.79825,0.79825,0.79825
2,0,0.73684,0.79452,0.78873,0.73676,0.73684,0.73684,0.73684
2,1,0.66667,0.82569,0.55814,0.49861,0.66667,0.66667,0.66667
2,2,0.63158,0.81416,0.51163,0.4086,0.63158,0.63158,0.63158
2,3,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
2,4,0.76316,0.86224,0.68605,0.6913,0.76316,0.76316,0.76316
2,5,0.63158,0.81416,0.51163,0.4086,0.63158,0.63158,0.63158
2,6,0.65789,0.82273,0.54651,0.47737,0.65789,0.65789,0.65789
2,7,0.81579,0.88587,0.75581,0.77404,0.81579,0.81579,0.81579
2,8,0.88596,0.92262,0.84884,0.86902,0.88596,0.88596,0.88596
2,9,0.85088,0.90341,0.80233,0.82335,0.85088,0.85088,0.85088
3,0,0.57018,0.7337,0.65493,0.55508,0.57018,0.57018,0.57018
3,1,0.57895,0.73626,0.66197,0.56558,0.57895,0.57895,0.57895
3,2,0.9386,0.94122,0.92778,0.93369,0.9386,0.9386,0.9386
3,3,0.9386,0.94122,0.92778,0.93369,0.9386,0.9386,0.9386
3,4,0.92982,0.92917,0.92073,0.9246,0.92982,0.92982,0.92982
3,5,0.92982,0.94103,0.91156,0.92297,0.92982,0.92982,0.92982
3,6,0.90351,0.93293,0.87209,0.89072,0.90351,0.90351,0.90351
3,7,0.86842,0.91279,0.82558,0.8466,0.86842,0.86842,0.86842
3,8,0.92982,0.92532,0.92532,0.92532,0.92982,0.92982,0.92982
3,9,0.41228,0.69545,0.52817,0.33438,0.41228,0.41228,0.41228
4,0,0.91228,0.90314,0.91582,0.90821,0.91228,0.91228,0.91228
4,1,0.92982,0.93436,0.91615,0.92382,0.92982,0.92982,0.92982
