round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.49,0.55382,0.50378,0.34708,0.49,0.49,0.49
1,1,0.50714,0.37876,0.49931,0.33714,0.50714,0.50714,0.50714
1,2,0.50643,0.2534,0.4993,0.33618,0.50643,0.50643,0.50643
1,3,0.50286,0.25152,0.49965,0.3346,0.50286,0.50286,0.50286
1,4,0.51536,0.6511,0.51018,0.36369,0.51536,0.51536,0.51536
1,5,0.48107,0.30909,0.4919,0.32721,0.48107,0.48107,0.48107
1,6,0.51321,0.68091,0.51044,0.36088,0.51321,0.51321,0.51321
1,7,0.49714,0.24875,0.49928,0.33206,0.49714,0.49714,0.49714
1,8,0.50429,0.58469,0.50323,0.34645,0.50429,0.50429,0.50429
1,9,0.5075,0.60193,0.51187,0.37136,0.5075,0.5075,0.5075
2,0,0.48964,0.67714,0.50378,0.33656,0.48964,0.48964,0.48964
2,1,0.49643,0.71141,0.50421,0.33974,0.49643,0.49643,0.49643
2,2,0.50679,0.25348,0.49965,0.33634,0.50679,0.50679,0.50679
2,3,0.49607,0.49272,0.49907,0.35786,0.49607,0.49607,0.49607
2,4,0.50286,0.58782,0.50797,0.3608,0.50286,0.50286,0.50286
2,5,0.48893,0.49446,0.49997,0.32961,0.48893,0.48893,0.48893
2,6,0.50321,0.75152,0.50036,0.3354,0.50321,0.50321,0.50321
2,7,0.5025,0.75116,0.50036,0.33508,0.5025,0.5025,0.5025
2,8,0.49893,0.49946,0.5,0.33349,0.49893,0.49893,0.49893
2,9,0.50429,0.25223,0.49965,0.33523,0.50429,0.50429,0.50429
3,0,0.51429,0.25714,0.5,0.33962,0.51429,0.51429,0.51429
3,1,0.5025,0.65289,0.5101,0.35726,0.5025,0.5025,0.5025
3,2,0.50714,0.50358,0.50002,0.33778,0.50714,0.50714,0.50714
3,3,0.49679,0.24839,0.5,0.3319,0.49679,0.49679,0.49679
3,4,0.49607,0.54766,0.50135,0.33897,0.49607,0.49607,0.49607
3,5,0.48893,0.49443,0.49987,0.33324,0.48893,0.48893,0.48893
