round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.50079,0.41708,0.49993,0.33381,0.50079,0.50079,0.50079
2,0.48986,0.44662,0.48909,0.36258,0.48986,0.48986,0.48986
3,0.50086,0.50043,0.5,0.33384,0.50086,0.50086,0.50086
4,0.50071,0.37539,0.49986,0.33378,0.50071,0.50071,0.50071
5,0.48943,0.48781,0.48977,0.46822,0.48943,0.48943,0.48943
6,0.50064,0.39323,0.49979,0.33387,0.50064,0.50064,0.50064
7,0.49943,0.59964,0.50028,0.33396,0.49943,0.49943,0.49943
8,0.503,0.63289,0.50384,0.34439,0.503,0.503,0.503
9,0.50014,0.61649,0.501,0.33617,0.50014,0.50014,0.50014
10,0.51286,0.53438,0.51352,0.42622,0.51286,0.51286,0.51286
11,0.49979,0.49461,0.49901,0.37089,0.49979,0.49979,0.49979
12,0.50086,0.50043,0.50002,0.34399,0.50086,0.50086,0.50086
13,0.50079,0.41708,0.49993,0.33381,0.50079,0.50079,0.50079
14,0.50086,0.50043,0.5,0.33384,0.50086,0.50086,0.50086
15,0.50179,0.52013,0.50095,0.34527,0.50179,0.50179,0.50179
16,0.50071,0.37539,0.49986,0.33378,0.50071,0.50071,0.50071
17,0.50086,0.50043,0.5,0.33384,0.50086,0.50086,0.50086
18,0.50621,0.5065,0.50597,0.49573,0.50621,0.50621,0.50621
19,0.50786,0.5143,0.50841,0.45166,0.50786,0.50786,0.50786
20,0.50079,0.25041,0.49993,0.33368,0.50079,0.50079,0.50079
21,0.50086,0.25043,0.5,0.33371,0.50086,0.50086,0.50086
22,0.50136,0.50936,0.50052,0.34662,0.50136,0.50136,0.50136
23,0.50086,0.25043,0.5,0.33371,0.50086,0.50086,0.50086
24,0.50264,0.50257,0.50251,0.49949,0.50264,0.50264,0.50264
25,0.5005,0.25034,0.49964,0.33356,0.5005,0.5005,0.5005
26,0.50086,0.25043,0.5,0.33371,0.50086,0.50086,0.50086
27,0.50086,0.25043,0.5,0.33371,0.50086,0.50086,0.50086
28,0.51864,0.5597,0.51935,0.42125,0.51864,0.51864,0.51864
29,0.50086,0.50043,0.5,0.33384,0.50086,0.50086,0.50086
30,0.50086,0.50043,0.5,0.33384,0.50086,0.50086,0.50086
31,0.55421,0.55624,0.55405,0.54974,0.55421,0.55421,0.55421
32,0.54264,0.62908,0.54334,0.45203,0.54264,0.54264,0.54264
33,0.55686,0.55687,0.55684,0.55679,0.55686,0.55686,0.55686
34,0.50914,0.68251,0.50998,0.35794,0.50914,0.50914,0.50914
35,0.50943,0.55016,0.50865,0.38085,0.50943,0.50943,0.50943
36,0.5005,0.32177,0.49964,0.33368,0.5005,0.5005,0.5005
37,0.50064,0.35038,0.49979,0.33375,0.50064,0.50064,0.50064
38,0.50014,0.43775,0.49929,0.33529,0.50014,0.50014,0.50014
39,0.50064,0.35038,0.49979,0.33375,0.50064,0.50064,0.50064
40,0.5015,0.53228,0.50065,0.33903,0.5015,0.5015,0.5015
41,0.50057,0.25036,0.49971,0.33359,0.50057,0.50057,0.50057
42,0.57214,0.57384,0.57227,0.5699,0.57214,0.57214,0.57214
43,0.50636,0.68843,0.5072,0.3508,0.50636,0.50636,0.50636
44,0.50921,0.68476,0.51005,0.35797,0.50921,0.50921,0.50921
45,0.50029,0.44146,0.49943,0.33511,0.50029,0.50029,0.50029
46,0.50071,0.37539,0.49986,0.33378,0.50071,0.50071,0.50071
47,0.50071,0.37539,0.49986,0.33378,0.50071,0.50071,0.50071
48,0.50071,0.37539,0.49986,0.33378,0.50071,0.50071,0.50071
49,0.50014,0.43775,0.49929,0.33529,0.50014,0.50014,0.50014
50,0.50064,0.35038,0.49979,0.33375,0.50064,0.50064,0.50064
