round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.48021,0.47597,0.47987,0.45805,0.48021,0.48021,0.48021
1,1,0.49036,0.48411,0.48984,0.4395,0.49036,0.49036,0.49036
1,2,0.50086,0.50043,0.5,0.33384,0.50086,0.50086,0.50086
1,3,0.4995,0.38424,0.49865,0.3345,0.4995,0.4995,0.4995
1,4,0.49929,0.58294,0.50014,0.33352,0.49929,0.49929,0.49929
1,5,0.50086,0.50043,0.5,0.33384,0.50086,0.50086,0.50086
1,6,0.50086,0.50043,0.5,0.33384,0.50086,0.50086,0.50086
1,7,0.49914,0.49957,0.5,0.33321,0.49914,0.49914,0.49914
1,8,0.50086,0.50043,0.5,0.33384,0.50086,0.50086,0.50086
1,9,0.50221,0.57448,0.50305,0.34596,0.50221,0.50221,0.50221
2,0,0.49943,0.62464,0.50028,0.33384,0.49943,0.49943,0.49943
2,1,0.50086,0.50043,0.5,0.33384,0.50086,0.50086,0.50086
2,2,0.50036,0.49124,0.49952,0.34496,0.50036,0.50036,0.50036
2,3,0.49114,0.31903,0.49031,0.33269,0.49114,0.49114,0.49114
2,4,0.49921,0.54959,0.50007,0.33336,0.49921,0.49921,0.49921
2,5,0.4945,0.31793,0.49366,0.333,0.4945,0.4945,0.4945
2,6,0.50086,0.50043,0.5,0.33384,0.50086,0.50086,0.50086
2,7,0.49143,0.34526,0.4906,0.33464,0.49143,0.49143,0.49143
2,8,0.50086,0.50043,0.5,0.33384,0.50086,0.50086,0.50086
2,9,0.49114,0.31712,0.49031,0.33257,0.49114,0.49114,0.49114
3,0,0.49936,0.60677,0.50021,0.33368,0.49936,0.49936,0.49936
3,1,0.48993,0.48091,0.49054,0.41675,0.48993,0.48993,0.48993
3,2,0.50029,0.58681,0.50114,0.33736,0.50029,0.50029,0.50029
3,3,0.49936,0.60677,0.50021,0.33368,0.49936,0.49936,0.49936
3,4,0.50071,0.60182,0.50156,0.33842,0.50071,0.50071,0.50071
3,5,0.49929,0.58294,0.50014,0.33352,0.49929,0.49929,0.49929
3,6,0.49121,0.31942,0.49038,0.33273,0.49121,0.49121,0.49121
3,7,0.49371,0.4335,0.4929,0.34746,0.49371,0.49371,0.49371
3,8,0.50071,0.37539,0.49986,0.33378,0.50071,0.50071,0.50071
3,9,0.49921,0.54959,0.50007,0.33336,0.49921,0.49921,0.49921
4,0,0.49936,0.60677,0.50021,0.33368,0.49936,0.49936,0.49936
4,1,0.50029,0.6175,0.50114,0.33661,0.50029,0.50029,0.50029
4,2,0.50086,0.25043,0.5,0.33371,0.50086,0.50086,0.50086
4,3,0.50086,0.50043,0.5,0.33384,0.50086,0.50086,0.50086
4,4,0.49964,0.60264,0.5005,0.33469,0.49964,0.49964,0.49964
4,5,0.494,0.3196,0.49316,0.33302,0.494,0.494,0.494
4,6,0.47614,0.45816,0.47559,0.41488,0.47614,0.47614,0.47614
4,7,0.4935,0.48732,0.49293,0.43018,0.4935,0.4935,0.4935
4,8,0.49943,0.62464,0.50028,0.33384,0.49943,0.49943,0.49943
4,9,0.49843,0.36272,0.49758,0.3344,0.49843,0.49843,0.49843
5,0,0.49979,0.61815,0.50064,0.33501,0.49979,0.49979,0.49979
5,1,0.50086,0.50043,0.5,0.33384,0.50086,0.50086,0.50086
5,2,0.50086,0.50043,0.5,0.33384,0.50086,0.50086,0.50086
5,3,0.49529,0.32798,0.49444,0.33348,0.49529,0.49529,0.49529
5,4,0.552,0.58489,0.55253,0.50509,0.552,0.552,0.552
5,5,0.50086,0.50043,0.5,0.33384,0.50086,0.50086,0.50086
5,6,0.50086,0.50043,0.5,0.33384,0.50086,0.50086,0.50086
5,7,0.49929,0.62461,0.50014,0.3334,0.49929,0.49929,0.49929
5,8,0.49929,0.58294,0.50014,0.33352,0.49929,0.49929,0.49929
5,9,0.50079,0.25041,0.49993,0.33368,0.50079,0.50079,0.50079
6,0,0.50079,0.25041,0.49993,0.33368,0.50079,0.50079,0.50079
6,1,0.49107,0.49023,0.49085,0.48268,0.49107,0.49107,0.49107
6,2,0.50064,0.35038,0.49979,0.33375,0.50064,0.50064,0.50064
6,3,0.49929,0.58294,0.50014,0.33352,0.49929,0.49929,0.49929
6,4,0.50057,0.25036,0.49971,0.33359,0.50057,0.50057,0.50057
6,5,0.50086,0.50043,0.5,0.33384,0.50086,0.50086,0.50086
6,6,0.50086,0.25043,0.5,0.33371,0.50086,0.50086,0.50086
6,7,0.50086,0.50043,0.5,0.33384,0.50086,0.50086,0.50086
6,8,0.49936,0.60677,0.50021,0.33368,0.49936,0.49936,0.49936
6,9,0.50079,0.49867,0.49995,0.34251,0.50079,0.50079,0.50079
7,0,0.49936,0.60677,0.50021,0.33368,0.49936,0.49936,0.49936
7,1,0.49921,0.54959,0.50007,0.33336,0.49921,0.49921,0.49921
7,2,0.5005,0.50803,0.50129,0.36838,0.5005,0.5005,0.5005
7,3,0.49936,0.60677,0.50021,0.33368,0.49936,0.49936,0.49936
7,4,0.49929,0.58294,0.50014,0.33352,0.49929,0.49929,0.49929
7,5,0.49943,0.58298,0.50028,0.33409,0.49943,0.49943,0.49943
