round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.48571,0.24286,0.5,0.32692,0.48571,0.48571,0.48571
1,1,0.49214,0.24607,0.5,0.32982,0.49214,0.49214,0.49214
1,2,0.50714,0.25357,0.5,0.33649,0.50714,0.50714,0.50714
1,3,0.50321,0.25161,0.5,0.33476,0.50321,0.50321,0.50321
1,4,0.50536,0.25268,0.5,0.33571,0.50536,0.50536,0.50536
1,5,0.51107,0.25554,0.5,0.33822,0.51107,0.51107,0.51107
1,6,0.50286,0.25143,0.5,0.3346,0.50286,0.50286,0.50286
1,7,0.50214,0.25107,0.5,0.33428,0.50214,0.50214,0.50214
1,8,0.50107,0.25054,0.5,0.33381,0.50107,0.50107,0.50107
1,9,0.49536,0.24768,0.5,0.33126,0.49536,0.49536,0.49536
2,0,0.47179,0.46143,0.46654,0.45051,0.47179,0.47179,0.47179
2,1,0.4875,0.48163,0.48443,0.46542,0.4875,0.4875,0.4875
2,2,0.49214,0.49405,0.495,0.47252,0.49214,0.49214,0.49214
2,3,0.48643,0.48564,0.48762,0.46866,0.48643,0.48643,0.48643
2,4,0.48536,0.48533,0.48734,0.46819,0.48536,0.48536,0.48536
2,5,0.49357,0.4979,0.49828,0.47215,0.49357,0.49357,0.49357
2,6,0.50143,0.50289,0.50249,0.48418,0.50143,0.50143,0.50143
2,7,0.48643,0.48509,0.48724,0.46764,0.48643,0.48643,0.48643
2,8,0.49143,0.49036,0.49185,0.47117,0.49143,0.49143,0.49143
2,9,0.49321,0.48964,0.49134,0.47058,0.49321,0.49321,0.49321
3,0,0.50179,0.29066,0.48791,0.33603,0.50179,0.50179,0.50179
3,1,0.50036,0.30763,0.49265,0.33539,0.50036,0.50036,0.50036
3,2,0.48607,0.35895,0.49303,0.33192,0.48607,0.48607,0.48607
3,3,0.48607,0.30815,0.48919,0.33012,0.48607,0.48607,0.48607
3,4,0.4875,0.32882,0.49274,0.33078,0.4875,0.4875,0.4875
3,5,0.47929,0.2991,0.49008,0.32639,0.47929,0.47929,0.47929
3,6,0.48679,0.31909,0.48956,0.33105,0.48679,0.48679,0.48679
3,7,0.48964,0.34939,0.49173,0.33357,0.48964,0.48964,0.48964
3,8,0.48893,0.29104,0.48997,0.33022,0.48893,0.48893,0.48893
3,9,0.49857,0.38595,0.49405,0.33892,0.49857,0.49857,0.49857
4,0,0.50393,0.28491,0.48997,0.33635,0.50393,0.50393,0.50393
4,1,0.50179,0.30005,0.49404,0.3354,0.50179,0.50179,0.50179
4,2,0.48571,0.33833,0.49269,0.33055,0.48571,0.48571,0.48571
4,3,0.48714,0.30307,0.49028,0.33001,0.48714,0.48714,0.48714
4,4,0.4875,0.30319,0.49276,0.32956,0.4875,0.4875,0.4875
4,5,0.48,0.29053,0.49082,0.32612,0.48,0.48,0.48
4,6,0.48714,0.30158,0.48993,0.33001,0.48714,0.48714,0.48714
4,7,0.49214,0.37247,0.49424,0.33473,0.49214,0.49214,0.49214
4,8,0.49036,0.28301,0.49141,0.33025,0.49036,0.49036,0.49036
4,9,0.49929,0.38003,0.49475,0.33802,0.49929,0.49929,0.49929
5,0,0.51429,0.25714,0.5,0.33962,0.51429,0.51429,0.51429
5,1,0.50786,0.25393,0.5,0.33681,0.50786,0.50786,0.50786
5,2,0.4925,0.24634,0.49964,0.32998,0.4925,0.4925,0.4925
5,3,0.49679,0.24839,0.5,0.3319,0.49679,0.49679,0.49679
5,4,0.49393,0.24714,0.49928,0.33062,0.49393,0.49393,0.49393
5,5,0.48893,0.49446,0.49997,0.32961,0.48893,0.48893,0.48893
5,6,0.49679,0.24848,0.49964,0.3319,0.49679,0.49679,0.49679
5,7,0.49786,0.24893,0.5,0.33238,0.49786,0.49786,0.49786
5,8,0.49893,0.49946,0.5,0.33349,0.49893,0.49893,0.49893
5,9,0.50429,0.25223,0.49965,0.33523,0.50429,0.50429,0.50429
6,0,0.48714,0.5209,0.50106,0.33945,0.48714,0.48714,0.48714
6,1,0.49571,0.58622,0.50342,0.34298,0.49571,0.49571,0.49571
6,2,0.51071,0.60066,0.5037,0.34947,0.51071,0.51071,0.51071
6,3,0.50286,0.48837,0.49969,0.34027,0.50286,0.50286,0.50286
6,4,0.50821,0.60342,0.50293,0.34584,0.50821,0.50821,0.50821
6,5,0.51286,0.54637,0.50203,0.35048,0.51286,0.51286,0.51286
