round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.49821,0.69941,0.51207,0.35566,0.49821,0.49821,0.49821
1,1,0.50071,0.69819,0.50841,0.35008,0.50071,0.50071,0.50071
1,2,0.51393,0.64105,0.50697,0.35648,0.51393,0.51393,0.51393
1,3,0.51357,0.68109,0.51045,0.36105,0.51357,0.51357,0.51357
1,4,0.51286,0.67396,0.50762,0.35536,0.51286,0.51286,0.51286
1,5,0.52143,0.70418,0.51065,0.36372,0.52143,0.52143,0.52143
1,6,0.51393,0.69328,0.51116,0.36182,0.51393,0.51393,0.51393
1,7,0.51036,0.65061,0.50827,0.35713,0.51036,0.51036,0.51036
1,8,0.51143,0.71031,0.51038,0.35824,0.51143,0.51143,0.51143
1,9,0.50143,0.61405,0.50595,0.35043,0.50143,0.50143,0.50143
2,0,0.46964,0.47138,0.47263,0.46521,0.46964,0.46964,0.46964
2,1,0.45857,0.45882,0.45888,0.45849,0.45857,0.45857,0.45857
2,2,0.47643,0.47466,0.47529,0.47249,0.47643,0.47643,0.47643
2,3,0.47,0.46512,0.46894,0.4545,0.47,0.47,0.47
2,4,0.46786,0.46652,0.46713,0.46502,0.46786,0.46786,0.46786
2,5,0.49036,0.4875,0.48804,0.48348,0.49036,0.49036,0.49036
2,6,0.47393,0.47394,0.47394,0.47393,0.47393,0.47393,0.47393
2,7,0.44857,0.44295,0.44794,0.43588,0.44857,0.44857,0.44857
2,8,0.4625,0.45674,0.46212,0.44501,0.4625,0.4625,0.4625
2,9,0.45071,0.44861,0.44996,0.44665,0.45071,0.45071,0.45071
3,0,0.45786,0.45415,0.45541,0.45254,0.45786,0.45786,0.45786
3,1,0.45179,0.4521,0.45235,0.45133,0.45179,0.45179,0.45179
3,2,0.46536,0.46453,0.46476,0.46411,0.46536,0.46536,0.46536
3,3,0.46071,0.46057,0.46061,0.46051,0.46071,0.46071,0.46071
3,4,0.47357,0.47334,0.47484,0.46669,0.47357,0.47357,0.47357
3,5,0.48929,0.48969,0.4897,0.48925,0.48929,0.48929,0.48929
3,6,0.47429,0.47374,0.474,0.47281,0.47429,0.47429,0.47429
3,7,0.47286,0.47189,0.47334,0.46623,0.47286,0.47286,0.47286
3,8,0.5025,0.50276,0.50268,0.49909,0.5025,0.5025,0.5025
3,9,0.45357,0.45346,0.45412,0.45191,0.45357,0.45357,0.45357
4,0,0.46536,0.45973,0.46195,0.4558,0.46536,0.46536,0.46536
4,1,0.47893,0.47751,0.4827,0.44915,0.47893,0.47893,0.47893
4,2,0.48071,0.47196,0.47753,0.45171,0.48071,0.48071,0.48071
4,3,0.46179,0.46028,0.46127,0.4581,0.46179,0.46179,0.46179
4,4,0.475,0.4645,0.47246,0.4423,0.475,0.475,0.475
4,5,0.48893,0.48822,0.48826,0.48807,0.48893,0.48893,0.48893
4,6,0.47071,0.46828,0.47004,0.46289,0.47071,0.47071,0.47071
4,7,0.46393,0.45938,0.46327,0.45042,0.46393,0.46393,0.46393
4,8,0.47179,0.46204,0.47126,0.43732,0.47179,0.47179,0.47179
4,9,0.46929,0.46461,0.4713,0.4441,0.46929,0.46929,0.46929
5,0,0.46607,0.46495,0.47283,0.43807,0.46607,0.46607,0.46607
5,1,0.49321,0.45474,0.48662,0.37988,0.49321,0.49321,0.49321
5,2,0.46107,0.46076,0.4608,0.46072,0.46107,0.46107,0.46107
5,3,0.47179,0.46806,0.47306,0.45099,0.47179,0.47179,0.47179
5,4,0.45107,0.45117,0.45153,0.45027,0.45107,0.45107,0.45107
5,5,0.47714,0.46474,0.47208,0.44539,0.47714,0.47714,0.47714
5,6,0.48214,0.47035,0.48047,0.43278,0.48214,0.48214,0.48214
5,7,0.46143,0.45202,0.46243,0.43115,0.46143,0.46143,0.46143
5,8,0.465,0.46393,0.46483,0.46155,0.465,0.465,0.465
5,9,0.47643,0.47103,0.47884,0.44002,0.47643,0.47643,0.47643
6,0,0.44143,0.44231,0.44322,0.44003,0.44143,0.44143,0.44143
6,1,0.46893,0.46315,0.46654,0.45504,0.46893,0.46893,0.46893
6,2,0.49071,0.47509,0.48599,0.42509,0.49071,0.49071,0.49071
6,3,0.45143,0.45148,0.45155,0.45128,0.45143,0.45143,0.45143
6,4,0.44929,0.44889,0.45011,0.4464,0.44929,0.44929,0.44929
6,5,0.48214,0.48278,0.48284,0.48192,0.48214,0.48214,0.48214
6,6,0.47179,0.43271,0.47402,0.37764,0.47179,0.47179,0.47179
6,7,0.46357,0.46356,0.46371,0.46311,0.46357,0.46357,0.46357
6,8,0.475,0.47489,0.4751,0.47397,0.475,0.475,0.475
6,9,0.44964,0.44361,0.4483,0.43716,0.44964,0.44964,0.44964
7,0,0.45679,0.45127,0.46409,0.42285,0.45679,0.45679,0.45679
7,1,0.46536,0.46561,0.46684,0.4613,0.46536,0.46536,0.46536
7,2,0.47464,0.47392,0.47715,0.45921,0.47464,0.47464,0.47464
7,3,0.46393,0.45254,0.46246,0.43349,0.46393,0.46393,0.46393
7,4,0.45821,0.45754,0.4593,0.45309,0.45821,0.45821,0.45821
7,5,0.48464,0.48493,0.48494,0.48464,0.48464,0.48464,0.48464
7,6,0.46464,0.46463,0.46489,0.46377,0.46464,0.46464,0.46464
7,7,0.46429,0.45561,0.46339,0.43922,0.46429,0.46429,0.46429
7,8,0.46571,0.46547,0.46564,0.465,0.46571,0.46571,0.46571
7,9,0.48393,0.4756,0.48712,0.41695,0.48393,0.48393,0.48393
8,0,0.45643,0.45746,0.4579,0.45562,0.45643,0.45643,0.45643
8,1,0.45679,0.44901,0.46051,0.42654,0.45679,0.45679,0.45679
8,2,0.48714,0.47641,0.48328,0.44447,0.48714,0.48714,0.48714
8,3,0.45393,0.45389,0.45389,0.45389,0.45393,0.45393,0.45393
8,4,0.47643,0.46516,0.47991,0.4167,0.47643,0.47643,0.47643
8,5,0.46393,0.46258,0.46822,0.44531,0.46393,0.46393,0.46393
8,6,0.46536,0.45191,0.46695,0.421,0.46536,0.46536,0.46536
8,7,0.46929,0.46693,0.46993,0.45731,0.46929,0.46929,0.46929
8,8,0.46536,0.46225,0.46506,0.45505,0.46536,0.46536,0.46536
8,9,0.44464,0.44342,0.44412,0.44261,0.44464,0.44464,0.44464
9,0,0.47321,0.4661,0.48342,0.40288,0.47321,0.47321,0.47321
9,1,0.46607,0.44059,0.46141,0.41173,0.46607,0.46607,0.46607
9,2,0.45607,0.45107,0.45424,0.44603,0.45607,0.45607,0.45607
9,3,0.47286,0.45438,0.47092,0.41907,0.47286,0.47286,0.47286
9,4,0.49786,0.48413,0.4937,0.40582,0.49786,0.49786,0.49786
9,5,0.46179,0.45246,0.45798,0.44339,0.46179,0.46179,0.46179
9,6,0.49036,0.43346,0.49306,0.34557,0.49036,0.49036,0.49036
9,7,0.47821,0.47666,0.47887,0.46591,0.47821,0.47821,0.47821
9,8,0.46679,0.46633,0.46668,0.46535,0.46679,0.46679,0.46679
9,9,0.44857,0.44834,0.44915,0.44672,0.44857,0.44857,0.44857
10,0,0.50964,0.4132,0.49571,0.34463,0.50964,0.50964,0.50964
10,1,0.46393,0.46001,0.46727,0.44033,0.46393,0.46393,0.46393
10,2,0.46643,0.46424,0.46523,0.462,0.46643,0.46643,0.46643
10,3,0.45821,0.45163,0.45713,0.44174,0.45821,0.45821,0.45821
10,4,0.46,0.4539,0.46228,0.43562,0.46,0.46,0.46
10,5,0.46964,0.47013,0.47317,0.45761,0.46964,0.46964,0.46964
10,6,0.46786,0.46756,0.46768,0.46726,0.46786,0.46786,0.46786
10,7,0.45,0.45002,0.45005,0.44994,0.45,0.45,0.45
10,8,0.47821,0.45618,0.47899,0.4007,0.47821,0.47821,0.47821
10,9,0.47857,0.47678,0.4804,0.45843,0.47857,0.47857,0.47857
11,0,0.47179,0.43074,0.46213,0.39753,0.47179,0.47179,0.47179
11,1,0.46179,0.46075,0.46106,0.46026,0.46179,0.46179,0.46179
11,2,0.49464,0.48294,0.49003,0.43303,0.49464,0.49464,0.49464
11,3,0.44679,0.44637,0.44658,0.44612,0.44679,0.44679,0.44679
11,4,0.46679,0.46671,0.46671,0.46671,0.46679,0.46679,0.46679
11,5,0.46929,0.46886,0.4736,0.45063,0.46929,0.46929,0.46929
11,6,0.47714,0.46839,0.47576,0.44396,0.47714,0.47714,0.47714
11,7,0.465,0.4588,0.46422,0.44634,0.465,0.465,0.465
11,8,0.4675,0.4673,0.46743,0.46694,0.4675,0.4675,0.4675
11,9,0.49107,0.462,0.48728,0.38672,0.49107,0.49107,0.49107
12,0,0.46393,0.45725,0.46015,0.45236,0.46393,0.46393,0.46393
12,1,0.465,0.45102,0.46138,0.43292,0.465,0.465,0.465
12,2,0.48107,0.45945,0.48695,0.37947,0.48107,0.48107,0.48107
12,3,0.46107,0.46114,0.46121,0.46089,0.46107,0.46107,0.46107
12,4,0.4975,0.4865,0.49361,0.41868,0.4975,0.4975,0.4975
12,5,0.48214,0.47818,0.47945,0.47294,0.48214,0.48214,0.48214
12,6,0.48286,0.47087,0.48116,0.43171,0.48286,0.48286,0.48286
12,7,0.45964,0.45702,0.45916,0.45254,0.45964,0.45964,0.45964
12,8,0.47893,0.47865,0.47908,0.47639,0.47893,0.47893,0.47893
12,9,0.46036,0.45989,0.46006,0.45963,0.46036,0.46036,0.46036
13,0,0.46571,0.45609,0.46093,0.44768,0.46571,0.46571,0.46571
13,1,0.46429,0.44774,0.46933,0.40587,0.46429,0.46429,0.46429
13,2,0.45321,0.45345,0.45354,0.45307,0.45321,0.45321,0.45321
