round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.48571,0.24286,0.5,0.32692,0.48571,0.48571,0.48571
1,1,0.49214,0.24607,0.5,0.32982,0.49214,0.49214,0.49214
1,2,0.50714,0.25357,0.5,0.33649,0.50714,0.50714,0.50714
1,3,0.50321,0.25161,0.5,0.33476,0.50321,0.50321,0.50321
1,4,0.50536,0.25268,0.5,0.33571,0.50536,0.50536,0.50536
1,5,0.51107,0.25554,0.5,0.33822,0.51107,0.51107,0.51107
1,6,0.50286,0.25143,0.5,0.3346,0.50286,0.50286,0.50286
1,7,0.50214,0.25107,0.5,0.33428,0.50214,0.50214,0.50214
1,8,0.50107,0.25054,0.5,0.33381,0.50107,0.50107,0.50107
1,9,0.49536,0.24768,0.5,0.33126,0.49536,0.49536,0.49536
2,0,0.49821,0.69941,0.51207,0.35566,0.49821,0.49821,0.49821
2,1,0.50071,0.69819,0.50841,0.35008,0.50071,0.50071,0.50071
2,2,0.51357,0.63025,0.50661,0.3563,0.51357,0.51357,0.51357
2,3,0.51357,0.68109,0.51045,0.36105,0.51357,0.51357,0.51357
2,4,0.51286,0.67396,0.50762,0.35536,0.51286,0.51286,0.51286
2,5,0.52143,0.70418,0.51065,0.36372,0.52143,0.52143,0.52143
2,6,0.51393,0.69328,0.51116,0.36182,0.51393,0.51393,0.51393
2,7,0.51036,0.65061,0.50827,0.35713,0.51036,0.51036,0.51036
2,8,0.51143,0.71031,0.51038,0.35824,0.51143,0.51143,0.51143
2,9,0.50143,0.61405,0.50595,0.35043,0.50143,0.50143,0.50143
3,0,0.45786,0.45907,0.45993,0.45594,0.45786,0.45786,0.45786
3,1,0.45607,0.45629,0.4572,0.45379,0.45607,0.45607,0.45607
3,2,0.46821,0.46575,0.4669,0.46296,0.46821,0.46821,0.46821
3,3,0.46321,0.46133,0.46262,0.45836,0.46321,0.46321,0.46321
3,4,0.47143,0.46892,0.4703,0.46487,0.47143,0.47143,0.47143
3,5,0.48571,0.4836,0.48399,0.48165,0.48571,0.48571,0.48571
3,6,0.47714,0.47572,0.4766,0.47209,0.47714,0.47714,0.47714
3,7,0.45821,0.45675,0.45787,0.4545,0.45821,0.45821,0.45821
3,8,0.4675,0.46621,0.46731,0.46305,0.4675,0.4675,0.4675
3,9,0.455,0.45468,0.45569,0.45232,0.455,0.455,0.455
4,0,0.46,0.45905,0.45915,0.45901,0.46,0.46,0.46
4,1,0.45607,0.45535,0.45554,0.45515,0.45607,0.45607,0.45607
4,2,0.46429,0.46431,0.4643,0.46427,0.46429,0.46429,0.46429
4,3,0.46357,0.46364,0.46368,0.46347,0.46357,0.46357,0.46357
4,4,0.46929,0.46935,0.46935,0.46929,0.46929,0.46929,0.46929
4,5,0.47679,0.47732,0.47738,0.47665,0.47679,0.47679,0.47679
4,6,0.46929,0.4693,0.4693,0.46929,0.46929,0.46929,0.46929
4,7,0.46214,0.46212,0.46228,0.46166,0.46214,0.46214,0.46214
4,8,0.48429,0.4843,0.48431,0.48422,0.48429,0.48429,0.48429
4,9,0.4575,0.45689,0.45714,0.45648,0.4575,0.4575,0.4575
5,0,0.46821,0.46984,0.47226,0.45933,0.46821,0.46821,0.46821
5,1,0.46429,0.46332,0.46665,0.45312,0.46429,0.46429,0.46429
5,2,0.47571,0.47001,0.47333,0.45943,0.47571,0.47571,0.47571
5,3,0.47036,0.46559,0.4693,0.45507,0.47036,0.47036,0.47036
5,4,0.47643,0.47151,0.47465,0.46058,0.47643,0.47643,0.47643
5,5,0.48143,0.47592,0.47809,0.46755,0.48143,0.48143,0.48143
5,6,0.48214,0.47879,0.48118,0.4666,0.48214,0.48214,0.48214
5,7,0.46643,0.46256,0.4658,0.45427,0.46643,0.46643,0.46643
5,8,0.46643,0.46228,0.46609,0.45241,0.46643,0.46643,0.46643
5,9,0.46393,0.46206,0.46528,0.45304,0.46393,0.46393,0.46393
6,0,0.45179,0.45263,0.4529,0.45141,0.45179,0.45179,0.45179
6,1,0.455,0.45533,0.45554,0.4546,0.455,0.455,0.455
6,2,0.4675,0.46614,0.46663,0.46506,0.4675,0.4675,0.4675
6,3,0.45714,0.45634,0.45681,0.4555,0.45714,0.45714,0.45714
6,4,0.46679,0.46542,0.46605,0.46391,0.46679,0.46679,0.46679
6,5,0.48464,0.48359,0.4837,0.48318,0.48464,0.48464,0.48464
