round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.49914,0.49957,0.5,0.33308,0.49914,0.49914,0.49914
1,1,0.49929,0.62461,0.50014,0.3334,0.49929,0.49929,0.49929
1,2,0.49914,0.49957,0.5,0.33308,0.49914,0.49914,0.49914
1,3,0.49929,0.62461,0.50014,0.3334,0.49929,0.49929,0.49929
1,4,0.49914,0.49957,0.5,0.33308,0.49914,0.49914,0.49914
1,5,0.49929,0.62461,0.50014,0.3334,0.49929,0.49929,0.49929
1,6,0.50236,0.66829,0.50321,0.3414,0.50236,0.50236,0.50236
1,7,0.49914,0.49957,0.5,0.33308,0.49914,0.49914,0.49914
1,8,0.49914,0.49957,0.5,0.33308,0.49914,0.49914,0.49914
1,9,0.49921,0.58292,0.50007,0.33324,0.49921,0.49921,0.49921
2,0,0.51057,0.63582,0.51139,0.36585,0.51057,0.51057,0.51057
2,1,0.46029,0.46028,0.46031,0.46021,0.46029,0.46029,0.46029
2,2,0.47357,0.46916,0.47391,0.4527,0.47357,0.47357,0.47357
2,3,0.50064,0.43219,0.49979,0.33413,0.50064,0.50064,0.50064
2,4,0.47114,0.45831,0.47163,0.42555,0.47114,0.47114,0.47114
2,5,0.46314,0.46289,0.46322,0.46198,0.46314,0.46314,0.46314
2,6,0.50893,0.67951,0.50976,0.3576,0.50893,0.50893,0.50893
2,7,0.509,0.68175,0.50983,0.35763,0.509,0.509,0.509
2,8,0.49079,0.47236,0.4915,0.38471,0.49079,0.49079,0.49079
2,9,0.509,0.64347,0.50983,0.36064,0.509,0.509,0.509
3,0,0.5005,0.43455,0.49965,0.33444,0.5005,0.5005,0.5005
3,1,0.47114,0.44564,0.47174,0.39942,0.47114,0.47114,0.47114
3,2,0.48907,0.44313,0.48831,0.36185,0.48907,0.48907,0.48907
3,3,0.4765,0.44861,0.47588,0.396,0.4765,0.4765,0.4765
3,4,0.509,0.67809,0.50983,0.35786,0.509,0.509,0.509
3,5,0.50914,0.67887,0.50998,0.35817,0.50914,0.50914,0.50914
3,6,0.4865,0.4431,0.48576,0.36748,0.4865,0.4865,0.4865
3,7,0.46621,0.46333,0.46646,0.45469,0.46621,0.46621,0.46621
3,8,0.49479,0.48836,0.49545,0.40443,0.49479,0.49479,0.49479
3,9,0.48957,0.44563,0.48881,0.36252,0.48957,0.48957,0.48957
4,0,0.47293,0.47071,0.47318,0.46171,0.47293,0.47293,0.47293
4,1,0.509,0.67809,0.50983,0.35786,0.509,0.509,0.509
4,2,0.49236,0.45321,0.49158,0.36082,0.49236,0.49236,0.49236
4,3,0.50907,0.67848,0.5099,0.35802,0.50907,0.50907,0.50907
4,4,0.509,0.6799,0.50983,0.35775,0.509,0.509,0.509
4,5,0.47586,0.46442,0.47635,0.42819,0.47586,0.47586,0.47586
4,6,0.50071,0.37539,0.49986,0.33378,0.50071,0.50071,0.50071
4,7,0.50071,0.41706,0.49986,0.3339,0.50071,0.50071,0.50071
4,8,0.50086,0.25043,0.5,0.33371,0.50086,0.50086,0.50086
4,9,0.49443,0.42848,0.49361,0.3447,0.49443,0.49443,0.49443
5,0,0.48293,0.46713,0.48353,0.40963,0.48293,0.48293,0.48293
5,1,0.50064,0.47765,0.49979,0.33552,0.50064,0.50064,0.50064
5,2,0.50943,0.64618,0.51026,0.36154,0.50943,0.50943,0.50943
5,3,0.47471,0.45758,0.47527,0.41395,0.47471,0.47471,0.47471
5,4,0.45021,0.44962,0.45013,0.44877,0.45021,0.45021,0.45021
5,5,0.50064,0.43219,0.49979,0.33413,0.50064,0.50064,0.50064
5,6,0.50064,0.35038,0.49979,0.33375,0.50064,0.50064,0.50064
5,7,0.46629,0.44296,0.46574,0.40672,0.46629,0.46629,0.46629
5,8,0.50079,0.25041,0.49993,0.33368,0.50079,0.50079,0.50079
5,9,0.50736,0.58044,0.50817,0.36532,0.50736,0.50736,0.50736
6,0,0.50064,0.39323,0.49979,0.33387,0.50064,0.50064,0.50064
6,1,0.47093,0.46507,0.47129,0.4465,0.47093,0.47093,0.47093
6,2,0.50893,0.67951,0.50976,0.3576,0.50893,0.50893,0.50893
6,3,0.50057,0.42893,0.49972,0.33422,0.50057,0.50057,0.50057
6,4,0.49793,0.429,0.49709,0.33887,0.49793,0.49793,0.49793
6,5,0.48957,0.47513,0.49024,0.39864,0.48957,0.48957,0.48957
6,6,0.48086,0.46182,0.48147,0.40461,0.48086,0.48086,0.48086
6,7,0.47064,0.45969,0.47021,0.43345,0.47064,0.47064,0.47064
6,8,0.49971,0.46378,0.49887,0.33908,0.49971,0.49971,0.49971
6,9,0.4695,0.44753,0.46895,0.40883,0.4695,0.4695,0.4695
7,0,0.45,0.43936,0.45036,0.42408,0.45,0.45,0.45
7,1,0.50071,0.45039,0.49986,0.33416,0.50071,0.50071,0.50071
7,2,0.47,0.46387,0.46966,0.44769,0.47,0.47,0.47
7,3,0.44471,0.44457,0.44468,0.44442,0.44471,0.44471,0.44471
7,4,0.44914,0.449,0.4491,0.44884,0.44914,0.44914,0.44914
7,5,0.47364,0.46644,0.47405,0.44226,0.47364,0.47364,0.47364
7,6,0.50914,0.6771,0.50998,0.35828,0.50914,0.50914,0.50914
7,7,0.50793,0.58992,0.50874,0.36517,0.50793,0.50793,0.50793
7,8,0.50079,0.25041,0.49993,0.33368,0.50079,0.50079,0.50079
7,9,0.47021,0.45874,0.47068,0.42919,0.47021,0.47021,0.47021
8,0,0.5055,0.53799,0.50628,0.37573,0.5055,0.5055,0.5055
8,1,0.44529,0.44447,0.4454,0.44301,0.44529,0.44529,0.44529
8,2,0.50486,0.53438,0.50564,0.37466,0.50486,0.50486,0.50486
8,3,0.50086,0.25043,0.5,0.33371,0.50086,0.50086,0.50086
8,4,0.50879,0.68058,0.50962,0.35718,0.50879,0.50879,0.50879
8,5,0.46814,0.44951,0.46867,0.41274,0.46814,0.46814,0.46814
8,6,0.50079,0.25041,0.49993,0.33368,0.50079,0.50079,0.50079
8,7,0.50064,0.43219,0.49979,0.33413,0.50064,0.50064,0.50064
8,8,0.5005,0.36145,0.49964,0.33381,0.5005,0.5005,0.5005
8,9,0.46707,0.45092,0.46757,0.41801,0.46707,0.46707,0.46707
9,0,0.47479,0.45518,0.47536,0.40855,0.47479,0.47479,0.47479
9,1,0.50886,0.68097,0.50969,0.35733,0.50886,0.50886,0.50886
9,2,0.46729,0.43609,0.46669,0.39443,0.46729,0.46729,0.46729
9,3,0.50521,0.53848,0.506,0.37351,0.50521,0.50521,0.50521
9,4,0.48186,0.46355,0.48247,0.40499,0.48186,0.48186,0.48186
9,5,0.43443,0.43299,0.43456,0.43118,0.43443,0.43443,0.43443
9,6,0.47864,0.44972,0.4793,0.38921,0.47864,0.47864,0.47864
9,7,0.50057,0.42893,0.49972,0.33422,0.50057,0.50057,0.50057
9,8,0.50064,0.35038,0.49979,0.33375,0.50064,0.50064,0.50064
9,9,0.49893,0.43566,0.49808,0.33773,0.49893,0.49893,0.49893
10,0,0.48857,0.46392,0.48929,0.38002,0.48857,0.48857,0.48857
10,1,0.46693,0.45764,0.46734,0.43482,0.46693,0.46693,0.46693
10,2,0.49564,0.48744,0.49637,0.38722,0.49564,0.49564,0.49564
10,3,0.50893,0.68137,0.50976,0.35748,0.50893,0.50893,0.50893
10,4,0.44229,0.43375,0.44198,0.42422,0.44229,0.44229,0.44229
10,5,0.49357,0.44714,0.49278,0.35353,0.49357,0.49357,0.49357
10,6,0.50929,0.59969,0.5101,0.36775,0.50929,0.50929,0.50929
10,7,0.50071,0.50777,0.50149,0.37474,0.50071,0.50071,0.50071
10,8,0.4545,0.4402,0.45409,0.42063,0.4545,0.4545,0.4545
10,9,0.50079,0.25041,0.49993,0.33368,0.50079,0.50079,0.50079
11,0,0.48421,0.45488,0.48491,0.38177,0.48421,0.48421,0.48421
