round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.509,0.67809,0.50983,0.35786,0.509,0.509,0.509
2,0.46336,0.46322,0.46342,0.46264,0.46336,0.46336,0.46336
3,0.46464,0.46424,0.46456,0.4634,0.46464,0.46464,0.46464
4,0.46679,0.46511,0.46698,0.45963,0.46679,0.46679,0.46679
5,0.46036,0.46036,0.46036,0.46036,0.46036,0.46036,0.46036
6,0.45979,0.45978,0.45981,0.45968,0.45979,0.45979,0.45979
7,0.4595,0.45919,0.45958,0.45823,0.4595,0.4595,0.4595
8,0.45521,0.45367,0.45507,0.451,0.45521,0.45521,0.45521
9,0.45957,0.45703,0.45979,0.45087,0.45957,0.45957,0.45957
10,0.45464,0.45438,0.45472,0.45367,0.45464,0.45464,0.45464
11,0.45993,0.45992,0.45996,0.45981,0.45993,0.45993,0.45993
12,0.46464,0.46396,0.46477,0.46168,0.46464,0.46464,0.46464
13,0.45936,0.4574,0.45918,0.45354,0.45936,0.45936,0.45936
14,0.45993,0.45993,0.45995,0.45986,0.45993,0.45993,0.45993
15,0.45821,0.45785,0.45814,0.45722,0.45821,0.45821,0.45821
16,0.45843,0.45816,0.45837,0.45773,0.45843,0.45843,0.45843
17,0.46779,0.46642,0.46797,0.46166,0.46779,0.46779,0.46779
18,0.46771,0.46645,0.46756,0.46318,0.46771,0.46771,0.46771
19,0.46357,0.46356,0.46356,0.46356,0.46357,0.46357,0.46357
20,0.47,0.46517,0.47033,0.44981,0.47,0.47,0.47
21,0.46664,0.4645,0.46686,0.45773,0.46664,0.46664,0.46664
22,0.46471,0.46387,0.46459,0.46196,0.46471,0.46471,0.46471
23,0.4645,0.46434,0.46445,0.46404,0.4645,0.4645,0.4645
24,0.45986,0.45644,0.45963,0.44966,0.45986,0.45986,0.45986
25,0.46679,0.46139,0.46647,0.44844,0.46679,0.46679,0.46679
26,0.46671,0.46,0.46637,0.44439,0.46671,0.46671,0.46671
27,0.46686,0.46662,0.46694,0.46563,0.46686,0.46686,0.46686
28,0.46914,0.46883,0.46924,0.46744,0.46914,0.46914,0.46914
29,0.46521,0.4652,0.46524,0.46508,0.46521,0.46521,0.46521
30,0.46286,0.46266,0.4628,0.46232,0.46286,0.46286,0.46286
31,0.4705,0.4704,0.47046,0.47019,0.4705,0.4705,0.4705
32,0.46893,0.46188,0.46857,0.44434,0.46893,0.46893,0.46893
33,0.47893,0.47881,0.47901,0.47775,0.47893,0.47893,0.47893
34,0.47779,0.47622,0.47758,0.47011,0.47779,0.47779,0.47779
35,0.50986,0.51195,0.51019,0.49121,0.50986,0.50986,0.50986
36,0.51607,0.51818,0.51634,0.50369,0.51607,0.51607,0.51607
37,0.52114,0.5322,0.52163,0.47862,0.52114,0.52114,0.52114
38,0.50736,0.50734,0.50732,0.50716,0.50736,0.50736,0.50736
39,0.52471,0.53306,0.52513,0.49463,0.52471,0.52471,0.52471
40,0.50307,0.50303,0.50303,0.5027,0.50307,0.50307,0.50307
41,0.49064,0.48889,0.49033,0.47338,0.49064,0.49064,0.49064
42,0.48757,0.481,0.48709,0.44266,0.48757,0.48757,0.48757
43,0.50829,0.50938,0.50854,0.49717,0.50829,0.50829,0.50829
44,0.49043,0.49004,0.49029,0.48716,0.49043,0.49043,0.49043
45,0.49864,0.49873,0.49875,0.49679,0.49864,0.49864,0.49864
46,0.48779,0.48634,0.48753,0.47624,0.48779,0.48779,0.48779
47,0.51657,0.52976,0.51713,0.45953,0.51657,0.51657,0.51657
48,0.49329,0.49307,0.49318,0.49119,0.49329,0.49329,0.49329
49,0.5085,0.51511,0.50904,0.454,0.5085,0.5085,0.5085
50,0.52207,0.52705,0.52243,0.50091,0.52207,0.52207,0.52207
