round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.48571,0.24286,0.5,0.32692,0.48571,0.48571,0.48571
1,1,0.49214,0.24607,0.5,0.32982,0.49214,0.49214,0.49214
1,2,0.50714,0.25357,0.5,0.33649,0.50714,0.50714,0.50714
1,3,0.50321,0.25161,0.5,0.33476,0.50321,0.50321,0.50321
1,4,0.50536,0.25268,0.5,0.33571,0.50536,0.50536,0.50536
1,5,0.51107,0.25554,0.5,0.33822,0.51107,0.51107,0.51107
1,6,0.50286,0.25143,0.5,0.3346,0.50286,0.50286,0.50286
1,7,0.50214,0.25107,0.5,0.33428,0.50214,0.50214,0.50214
1,8,0.50107,0.25054,0.5,0.33381,0.50107,0.50107,0.50107
1,9,0.49536,0.24768,0.5,0.33126,0.49536,0.49536,0.49536
2,0,0.4775,0.47902,0.47937,0.4761,0.4775,0.4775,0.4775
2,1,0.47857,0.47925,0.47961,0.47678,0.47857,0.47857,0.47857
2,2,0.49036,0.48889,0.48919,0.48629,0.49036,0.49036,0.49036
2,3,0.48714,0.48614,0.48658,0.48282,0.48714,0.48714,0.48714
2,4,0.49036,0.48902,0.48938,0.48561,0.49036,0.49036,0.49036
2,5,0.50464,0.50314,0.50308,0.50131,0.50464,0.50464,0.50464
2,6,0.49286,0.4922,0.4924,0.48935,0.49286,0.49286,0.49286
2,7,0.48286,0.48218,0.48255,0.47999,0.48286,0.48286,0.48286
2,8,0.48357,0.48305,0.48341,0.48071,0.48357,0.48357,0.48357
2,9,0.49107,0.49148,0.49157,0.48981,0.49107,0.49107,0.49107
3,0,0.47357,0.47254,0.47263,0.47243,0.47357,0.47357,0.47357
3,1,0.47536,0.47443,0.47464,0.47387,0.47536,0.47536,0.47536
3,2,0.48071,0.48102,0.48106,0.48056,0.48071,0.48071,0.48071
3,3,0.49,0.49012,0.49014,0.48982,0.49,0.49,0.49
3,4,0.48321,0.48338,0.4834,0.48314,0.48321,0.48321,0.48321
3,5,0.49786,0.49881,0.49881,0.49734,0.49786,0.49786,0.49786
3,6,0.49643,0.4965,0.4965,0.49638,0.49643,0.49643,0.49643
3,7,0.48321,0.48328,0.48337,0.48264,0.48321,0.48321,0.48321
3,8,0.49107,0.4911,0.49113,0.49073,0.49107,0.49107,0.49107
3,9,0.48286,0.48236,0.48247,0.48177,0.48286,0.48286,0.48286
4,0,0.47893,0.47734,0.47753,0.47689,0.47893,0.47893,0.47893
4,1,0.47679,0.47542,0.4758,0.47418,0.47679,0.47679,0.47679
4,2,0.48321,0.48373,0.48387,0.48243,0.48321,0.48321,0.48321
4,3,0.49107,0.49128,0.49135,0.49027,0.49107,0.49107,0.49107
4,4,0.48429,0.48458,0.48466,0.48384,0.48429,0.48429,0.48429
4,5,0.49679,0.49813,0.49816,0.49547,0.49679,0.49679,0.49679
4,6,0.49964,0.49981,0.49981,0.4993,0.49964,0.49964,0.49964
4,7,0.48286,0.48289,0.48308,0.48156,0.48286,0.48286,0.48286
4,8,0.49464,0.4947,0.49475,0.49353,0.49464,0.49464,0.49464
4,9,0.48286,0.48205,0.4823,0.48071,0.48286,0.48286,0.48286
5,0,0.47786,0.47654,0.47667,0.47627,0.47786,0.47786,0.47786
5,1,0.4775,0.47641,0.47667,0.47559,0.4775,0.4775,0.4775
5,2,0.47964,0.48003,0.48011,0.47929,0.47964,0.47964,0.47964
5,3,0.48964,0.4898,0.48984,0.48928,0.48964,0.48964,0.48964
5,4,0.4875,0.48771,0.48773,0.48737,0.4875,0.4875,0.4875
5,5,0.49607,0.49717,0.49719,0.49528,0.49607,0.49607,0.49607
5,6,0.49929,0.49939,0.49939,0.49916,0.49929,0.49929,0.49929
5,7,0.48214,0.48219,0.48234,0.48116,0.48214,0.48214,0.48214
5,8,0.49357,0.49362,0.49365,0.4929,0.49357,0.49357,0.49357
5,9,0.4775,0.47675,0.47701,0.47577,0.4775,0.4775,0.4775
6,0,0.47964,0.47801,0.47821,0.47751,0.47964,0.47964,0.47964
6,1,0.47571,0.47448,0.47481,0.47349,0.47571,0.47571,0.47571
6,2,0.48429,0.48473,0.4848,0.48384,0.48429,0.48429,0.48429
6,3,0.48821,0.4884,0.48848,0.48747,0.48821,0.48821,0.48821
6,4,0.48929,0.48967,0.48974,0.48858,0.48929,0.48929,0.48929
6,5,0.49179,0.49288,0.49295,0.4909,0.49179,0.49179,0.49179
