round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,spd_age,eod_age,spd_gender,eod_gender,p_pred_pos_age_priv,p_pred_pos_age_unpriv,tpr_age_priv,tpr_age_unpriv,p_pred_pos_gender_priv,p_pred_pos_gender_unpriv,tpr_gender_priv,tpr_gender_unpriv
1,0,0.49336,0.49308,0.49359,0.48396,0.49336,0.49336,0.49336,-0.67204,-0.69229,-0.12496,-0.14075,0.83263,0.16059,0.8946,0.20232,0.4457,0.32074,0.44919,0.30844
1,1,0.50007,0.5001,0.5001,0.49999,0.50007,0.50007,0.50007,-0.63635,-0.62156,-0.12929,-0.15196,0.92975,0.2934,0.96825,0.3467,0.57052,0.44123,0.58496,0.433
1,2,0.4945,0.49411,0.49479,0.47957,0.4945,0.4945,0.4945,-0.66225,-0.69174,-0.11763,-0.1337,0.79137,0.12912,0.86095,0.16921,0.40649,0.28886,0.41138,0.27768
1,3,0.49771,0.49737,0.49751,0.49071,0.49771,0.49771,0.49771,-0.51413,-0.47905,-0.1207,-0.1526,0.97478,0.46065,0.9854,0.50635,0.69513,0.57443,0.71301,0.56041
1,4,0.49271,0.49273,0.49279,0.49165,0.49271,0.49271,0.49271,-0.66093,-0.66114,-0.13445,-0.15505,0.91396,0.25302,0.95873,0.29759,0.54096,0.40651,0.54675,0.3917
1,5,0.49993,0.50014,0.50013,0.49281,0.49993,0.49993,0.49993,-0.6647,-0.68233,-0.1237,-0.14045,0.84394,0.17924,0.90984,0.22752,0.4613,0.33761,0.47195,0.3315
1,6,0.49907,0.49928,0.49937,0.48392,0.49907,0.49907,0.49907,-0.65024,-0.6827,-0.11534,-0.13163,0.781,0.13076,0.85651,0.17381,0.403,0.28765,0.4126,0.28098
1,7,0.49521,0.49501,0.49548,0.4832,0.49521,0.49521,0.49521,-0.66952,-0.69368,-0.12074,-0.13862,0.8133,0.14378,0.88,0.18632,0.42537,0.30463,0.43211,0.2935
1,8,0.49314,0.49284,0.49338,0.48355,0.49314,0.49314,0.49314,-0.67128,-0.69185,-0.1239,-0.13878,0.83074,0.15946,0.8927,0.20085,0.44365,0.31975,0.44634,0.30756
1,9,0.497,0.49658,0.49679,0.48922,0.497,0.497,0.497,-0.50667,-0.47288,-0.12041,-0.15114,0.97572,0.46905,0.98603,0.51315,0.70109,0.58068,0.71748,0.56634
2,0,0.49393,0.49374,0.49383,0.49216,0.49393,0.49393,0.49393,-0.57972,-0.5556,-0.13316,-0.16215,0.96228,0.38256,0.98286,0.42726,0.64504,0.51189,0.65732,0.49517
2,1,0.49621,0.49621,0.49641,0.48976,0.49621,0.49621,0.49621,-0.67334,-0.68839,-0.1252,-0.14445,0.85596,0.18262,0.91683,0.22843,0.46828,0.34308,0.47683,0.33238
2,2,0.49414,0.49253,0.49379,0.47163,0.49414,0.49414,0.49414,-0.40653,-0.37871,-0.10836,-0.1356,0.98892,0.58239,0.99302,0.61431,0.77623,0.66787,0.7874,0.6518
