round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,spd_age,eod_age,spd_gender,eod_gender,p_pred_pos_age_priv,p_pred_pos_age_unpriv,tpr_age_priv,tpr_age_unpriv,p_pred_pos_gender_priv,p_pred_pos_gender_unpriv,tpr_gender_priv,tpr_gender_unpriv
1,0,0.49357,0.49699,0.49718,0.48712,0.49357,0.49357,0.49357,-0.67684,-0.67965,-0.11527,-0.11073,0.84083,0.16399,0.89426,0.21461,0.44673,0.33146,0.44227,0.33154
1,1,0.50071,0.50078,0.50078,0.50071,0.50071,0.50071,0.50071,-0.62047,-0.59768,-0.14172,-0.15529,0.92229,0.30182,0.95252,0.35484,0.58793,0.44621,0.59608,0.44079
1,2,0.49107,0.4868,0.4885,0.47267,0.49107,0.49107,0.49107,-0.66027,-0.70521,-0.10142,-0.10425,0.78349,0.12322,0.85855,0.15335,0.38737,0.28595,0.37797,0.27372
1,3,0.49786,0.49847,0.49854,0.49249,0.49786,0.49786,0.49786,-0.52005,-0.49039,-0.10977,-0.14056,0.97122,0.45117,0.98993,0.49954,0.67809,0.56832,0.69828,0.55771
1,4,0.49036,0.48969,0.4898,0.48867,0.49036,0.49036,0.49036,-0.64948,-0.66848,-0.11779,-0.13102,0.90644,0.25695,0.96026,0.29178,0.52459,0.4068,0.52079,0.38977
1,5,0.51464,0.5128,0.51217,0.50716,0.51464,0.51464,0.51464,-0.6511,-0.66712,-0.11926,-0.13421,0.84386,0.19276,0.9183,0.25118,0.46397,0.34471,0.48362,0.34941
1,6,0.51321,0.51395,0.5122,0.49698,0.51321,0.51321,0.51321,-0.65023,-0.69715,-0.09447,-0.10693,0.77791,0.12768,0.87037,0.17322,0.38509,0.29062,0.40693,0.3
1,7,0.49464,0.4935,0.49403,0.48373,0.49464,0.49464,0.49464,-0.68269,-0.69924,-0.14529,-0.14437,0.83003,0.14735,0.8865,0.18727,0.45086,0.30557,0.44513,0.30077
1,8,0.495,0.49441,0.49474,0.48726,0.495,0.495,0.495,-0.68046,-0.67954,-0.11239,-0.09449,0.85259,0.17213,0.90461,0.22507,0.4507,0.33832,0.43307,0.33858
1,9,0.50071,0.49955,0.49958,0.49251,0.50071,0.50071,0.50071,-0.51254,-0.48666,-0.12498,-0.13498,0.97194,0.4594,0.98854,0.50188,0.70378,0.5788,0.70968,0.5747
2,0,0.48679,0.48474,0.48497,0.48368,0.48679,0.48679,0.48679,-0.58257,-0.57042,-0.09678,-0.08087,0.9654,0.38282,0.98792,0.41749,0.62463,0.52786,0.60078,0.51991
2,1,0.49679,0.49834,0.49841,0.49217,0.49679,0.49679,0.49679,-0.65132,-0.65262,-0.13662,-0.13892,0.84457,0.19325,0.89318,0.24055,0.48569,0.34907,0.48431,0.34539
2,2,0.49643,0.49927,0.4994,0.47529,0.49643,0.49643,0.49643,-0.3858,-0.36703,-0.11238,-0.14479,0.97847,0.59267,0.99342,0.62639,0.78211,0.66973,0.80346,0.65867
2,3,0.50214,0.50173,0.5017,0.49954,0.50214,0.50214,0.50214,-0.66341,-0.67062,-0.11377,-0.12673,0.89688,0.23347,0.95973,0.28911,0.50571,0.39194,0.51724,0.39051
2,4,0.48714,0.48718,0.48718,0.48714,0.48714,0.48714,0.48714,-0.61238,-0.60955,-0.11617,-0.12286,0.9356,0.32322,0.96689,0.35734,0.57889,0.46272,0.56832,0.44545
2,5,0.51393,0.51577,0.51547,0.51228,0.51393,0.51393,0.51393,-0.55032,-0.5175,-0.1134,-0.13137,0.95471,0.40439,0.98693,0.46943,0.64166,0.52826,0.66667,0.53529
2,6,0.50857,0.50856,0.50763,0.49445,0.50857,0.50857,0.50857,-0.66632,-0.71099,-0.10384,-0.1113,0.80166,0.13534,0.88889,0.1779,0.40373,0.29989,0.41775,0.30645
2,7,0.49179,0.49157,0.4925,0.47775,0.49179,0.49179,0.49179,-0.45988,-0.44569,-0.12453,-0.1455,0.98487,0.52499,1.0,0.55431,0.74671,0.62217,0.75362,0.60812
