round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,spd_age,eod_age,spd_gender,eod_gender,p_pred_pos_age_priv,p_pred_pos_age_unpriv,tpr_age_priv,tpr_age_unpriv,p_pred_pos_gender_priv,p_pred_pos_gender_unpriv,tpr_gender_priv,tpr_gender_unpriv
1,0,0.48571,0.24286,0.5,0.32692,0.48571,0.48571,0.48571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.49214,0.24607,0.5,0.32982,0.49214,0.49214,0.49214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.50714,0.25357,0.5,0.33649,0.50714,0.50714,0.50714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0.50321,0.25161,0.5,0.33476,0.50321,0.50321,0.50321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,0.50536,0.25268,0.5,0.33571,0.50536,0.50536,0.50536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.51107,0.25554,0.5,0.33822,0.51107,0.51107,0.51107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,0.50286,0.25143,0.5,0.3346,0.50286,0.50286,0.50286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,0.50214,0.25107,0.5,0.33428,0.50214,0.50214,0.50214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,0.50107,0.25054,0.5,0.33381,0.50107,0.50107,0.50107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9,0.49536,0.24768,0.5,0.33126,0.49536,0.49536,0.49536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.495,0.51657,0.50627,0.40977,0.495,0.495,0.495,-0.26622,-0.33341,-0.06447,-0.05117,0.2895,0.02328,0.36858,0.03517,0.14663,0.08216,0.14481,0.09365
2,1,0.50143,0.52466,0.50791,0.40402,0.50143,0.50143,0.50143,-0.23626,-0.31411,-0.07083,-0.05571,0.25029,0.01403,0.33531,0.0212,0.13395,0.06312,0.13137,0.07566
2,2,0.51964,0.54091,0.51383,0.42032,0.51964,0.51964,0.51964,-0.23887,-0.3434,-0.05329,-0.07263,0.26077,0.02189,0.375,0.0316,0.12842,0.07514,0.15551,0.08288
2,3,0.5125,0.52933,0.50988,0.41379,0.5125,0.5125,0.5125,-0.24344,-0.33039,-0.06423,-0.05271,0.26379,0.02035,0.36242,0.03202,0.13499,0.07077,0.13793,0.08522
2,4,0.51571,0.53259,0.5114,0.41867,0.51571,0.51571,0.51571,-0.26561,-0.36965,-0.08263,-0.08822,0.28433,0.01872,0.39735,0.0277,0.15061,0.06798,0.16436,0.07614
2,5,0.52286,0.54297,0.51373,0.41853,0.52286,0.52286,0.52286,-0.24606,-0.34903,-0.05006,-0.03818,0.25983,0.01377,0.37255,0.02352,0.11945,0.06939,0.12524,0.08706
2,6,0.515,0.53642,0.51269,0.41903,0.515,0.515,0.515,-0.24933,-0.32834,-0.04085,-0.02771,0.27078,0.02145,0.36111,0.03277,0.12319,0.08233,0.12771,0.1
2,7,0.50643,0.51253,0.50474,0.4144,0.50643,0.50643,0.50643,-0.28077,-0.35628,-0.07614,-0.07807,0.30035,0.01958,0.38344,0.02715,0.15502,0.07887,0.16149,0.08342
2,8,0.51179,0.53217,0.51091,0.41457,0.51179,0.51179,0.51179,-0.22946,-0.30368,-0.05925,-0.06159,0.25354,0.02408,0.34211,0.03843,0.13179,0.07254,0.1437,0.08211
2,9,0.5075,0.52971,0.51117,0.41896,0.5075,0.5075,0.5075,-0.26906,-0.36717,-0.08356,-0.0759,0.28844,0.01938,0.39255,0.02538,0.15935,0.07578,0.16532,0.08942
