round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.48236,0.48209,0.48248,0.47958,0.48236,0.48236,0.48236
2,0.47829,0.47813,0.47823,0.47769,0.47829,0.47829,0.47829
3,0.47821,0.47788,0.47812,0.47672,0.47821,0.47821,0.47821
4,0.47843,0.47822,0.47836,0.47756,0.47843,0.47843,0.47843
5,0.47964,0.47935,0.47956,0.47831,0.47964,0.47964,0.47964
6,0.4815,0.48026,0.4813,0.47444,0.4815,0.4815,0.4815
7,0.51664,0.5218,0.51704,0.48895,0.51664,0.51664,0.51664
8,0.55079,0.55314,0.55096,0.54622,0.55079,0.55079,0.55079
9,0.56643,0.5706,0.56622,0.5595,0.56643,0.56643,0.56643
10,0.586,0.60284,0.58565,0.56779,0.586,0.586,0.586
11,0.56879,0.62765,0.5682,0.51164,0.56879,0.56879,0.56879
12,0.63671,0.69988,0.63719,0.60601,0.63671,0.63671,0.63671
13,0.65421,0.67602,0.65391,0.64289,0.65421,0.65421,0.65421
14,0.60429,0.66952,0.60375,0.56152,0.60429,0.60429,0.60429
15,0.57586,0.67589,0.57521,0.50465,0.57586,0.57586,0.57586
16,0.69,0.70166,0.68979,0.68531,0.69,0.69,0.69
17,0.70964,0.70983,0.70967,0.70959,0.70964,0.70964,0.70964
18,0.69014,0.71462,0.69043,0.68125,0.69014,0.69014,0.69014
19,0.69671,0.71544,0.69697,0.69015,0.69671,0.69671,0.69671
20,0.676,0.70105,0.6757,0.66535,0.676,0.676,0.676
21,0.69314,0.70604,0.69293,0.68811,0.69314,0.69314,0.69314
22,0.71014,0.71789,0.7103,0.70765,0.71014,0.71014,0.71014
23,0.71229,0.71746,0.71242,0.71065,0.71229,0.71229,0.71229
24,0.59964,0.69144,0.59905,0.5444,0.59964,0.59964,0.59964
25,0.688,0.71488,0.6883,0.67814,0.688,0.688,0.688
26,0.67121,0.69965,0.67089,0.65881,0.67121,0.67121,0.67121
27,0.68493,0.71503,0.68525,0.67374,0.68493,0.68493,0.68493
28,0.70814,0.71922,0.70833,0.70453,0.70814,0.70814,0.70814
29,0.66571,0.70964,0.66611,0.64755,0.66571,0.66571,0.66571
30,0.71314,0.71452,0.71321,0.71272,0.71314,0.71314,0.71314
31,0.69957,0.7092,0.69939,0.69595,0.69957,0.69957,0.69957
32,0.65221,0.69714,0.6518,0.63084,0.65221,0.65221,0.65221
33,0.69043,0.70647,0.69019,0.68412,0.69043,0.69043,0.69043
34,0.67771,0.70177,0.67742,0.66758,0.67771,0.67771,0.67771
35,0.64621,0.70656,0.64668,0.61876,0.64621,0.64621,0.64621
36,0.69929,0.7092,0.6991,0.69555,0.69929,0.69929,0.69929
37,0.63307,0.69806,0.63258,0.59979,0.63307,0.63307,0.63307
38,0.70507,0.70954,0.70495,0.70341,0.70507,0.70507,0.70507
39,0.71279,0.71959,0.71294,0.71063,0.71279,0.71279,0.71279
40,0.71471,0.71482,0.71473,0.71469,0.71471,0.71471,0.71471
41,0.68207,0.7147,0.6824,0.66976,0.68207,0.68207,0.68207
42,0.70414,0.70986,0.704,0.70202,0.70414,0.70414,0.70414
43,0.70793,0.71992,0.70813,0.70402,0.70793,0.70793,0.70793
44,0.70479,0.71015,0.70465,0.7028,0.70479,0.70479,0.70479
45,0.71421,0.7145,0.71424,0.71414,0.71421,0.71421,0.71421
46,0.70179,0.71847,0.70202,0.69614,0.70179,0.70179,0.70179
47,0.65664,0.69737,0.65625,0.63763,0.65664,0.65664,0.65664
48,0.705,0.70981,0.70487,0.70321,0.705,0.705,0.705
49,0.71471,0.71514,0.71475,0.7146,0.71471,0.71471,0.71471
50,0.7115,0.71213,0.71145,0.71125,0.7115,0.7115,0.7115
