round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.49,0.48373,0.49056,0.43059,0.49,0.49,0.49
1,1,0.47814,0.47748,0.47801,0.475,0.47814,0.47814,0.47814
1,2,0.48014,0.4789,0.47995,0.47349,0.48014,0.48014,0.48014
1,3,0.48729,0.48555,0.48761,0.4685,0.48729,0.48729,0.48729
1,4,0.47821,0.47818,0.47819,0.47813,0.47821,0.47821,0.47821
1,5,0.484,0.48347,0.48418,0.4785,0.484,0.484,0.484
1,6,0.48057,0.48057,0.48057,0.48057,0.48057,0.48057,0.48057
1,7,0.48707,0.48529,0.4874,0.4682,0.48707,0.48707,0.48707
1,8,0.48107,0.47904,0.48082,0.46964,0.48107,0.48107,0.48107
1,9,0.48179,0.48149,0.48192,0.47885,0.48179,0.48179,0.48179
2,0,0.48364,0.47904,0.48326,0.45605,0.48364,0.48364,0.48364
2,1,0.47664,0.47618,0.47654,0.47459,0.47664,0.47664,0.47664
2,2,0.48064,0.48064,0.48064,0.48064,0.48064,0.48064,0.48064
2,3,0.48229,0.48226,0.48235,0.48168,0.48229,0.48229,0.48229
2,4,0.47786,0.47784,0.47785,0.47783,0.47786,0.47786,0.47786
2,5,0.476,0.47552,0.47589,0.47393,0.476,0.476,0.476
2,6,0.47679,0.47578,0.47663,0.47211,0.47679,0.47679,0.47679
2,7,0.48336,0.48289,0.48352,0.4786,0.48336,0.48336,0.48336
2,8,0.48143,0.4801,0.48122,0.47389,0.48143,0.48143,0.48143
2,9,0.48264,0.4824,0.48277,0.48,0.48264,0.48264,0.48264
3,0,0.48021,0.4802,0.4802,0.48019,0.48021,0.48021,0.48021
3,1,0.48107,0.48108,0.48108,0.48105,0.48107,0.48107,0.48107
3,2,0.48,0.47847,0.47979,0.47182,0.48,0.48,0.48
3,3,0.47957,0.47856,0.4794,0.47431,0.47957,0.47957,0.47957
3,4,0.47914,0.4791,0.47912,0.47903,0.47914,0.47914,0.47914
3,5,0.47921,0.47657,0.47894,0.46552,0.47921,0.47921,0.47921
3,6,0.48129,0.48123,0.48136,0.48042,0.48129,0.48129,0.48129
3,7,0.48071,0.48072,0.48072,0.48071,0.48071,0.48071,0.48071
3,8,0.48057,0.47788,0.48029,0.46588,0.48057,0.48057,0.48057
3,9,0.48036,0.48032,0.48033,0.48024,0.48036,0.48036,0.48036
4,0,0.48571,0.48458,0.48597,0.47397,0.48571,0.48571,0.48571
4,1,0.47629,0.4754,0.47614,0.47224,0.47629,0.47629,0.47629
4,2,0.48336,0.48038,0.48304,0.46506,0.48336,0.48336,0.48336
4,3,0.47914,0.47911,0.47912,0.47905,0.47914,0.47914,0.47914
4,4,0.47686,0.47677,0.47682,0.47656,0.47686,0.47686,0.47686
4,5,0.48043,0.48043,0.48043,0.48043,0.48043,0.48043,0.48043
4,6,0.47757,0.47652,0.4774,0.47249,0.47757,0.47757,0.47757
4,7,0.47921,0.47767,0.479,0.47122,0.47921,0.47921,0.47921
4,8,0.47836,0.47721,0.47818,0.47266,0.47836,0.47836,0.47836
4,9,0.48314,0.48304,0.48324,0.48168,0.48314,0.48314,0.48314
5,0,0.47614,0.47495,0.47597,0.47068,0.47614,0.47614,0.47614
5,1,0.48,0.47692,0.4797,0.46365,0.48,0.48,0.48
5,2,0.489,0.47842,0.48842,0.4217,0.489,0.489,0.489
5,3,0.48457,0.48288,0.48486,0.46934,0.48457,0.48457,0.48457
5,4,0.48357,0.48002,0.48395,0.45709,0.48357,0.48357,0.48357
5,5,0.47857,0.47858,0.47859,0.47851,0.47857,0.47857,0.47857
5,6,0.484,0.48346,0.48418,0.47839,0.484,0.484,0.484
5,7,0.49507,0.47545,0.49432,0.37438,0.49507,0.49507,0.49507
5,8,0.48586,0.48527,0.48605,0.47902,0.48586,0.48586,0.48586
5,9,0.47936,0.47878,0.47923,0.47653,0.47936,0.47936,0.47936
6,0,0.49171,0.48749,0.49224,0.43872,0.49171,0.49171,0.49171
6,1,0.49007,0.48883,0.49039,0.47178,0.49007,0.49007,0.49007
6,2,0.48671,0.4865,0.48685,0.4834,0.48671,0.48671,0.48671
6,3,0.49743,0.47152,0.49662,0.35471,0.49743,0.49743,0.49743
6,4,0.4815,0.4718,0.48101,0.43508,0.4815,0.4815,0.4815
6,5,0.47829,0.4758,0.47803,0.46588,0.47829,0.47829,0.47829
6,6,0.48664,0.46685,0.48599,0.39958,0.48664,0.48664,0.48664
6,7,0.48664,0.47312,0.48605,0.41607,0.48664,0.48664,0.48664
6,8,0.48621,0.48501,0.48599,0.47755,0.48621,0.48621,0.48621
6,9,0.49343,0.49208,0.49383,0.46405,0.49343,0.49343,0.49343
7,0,0.48964,0.48371,0.48915,0.44286,0.48964,0.48964,0.48964
7,1,0.51907,0.52549,0.51949,0.48921,0.51907,0.51907,0.51907
7,2,0.50929,0.50963,0.50941,0.50663,0.50929,0.50929,0.50929
7,3,0.49771,0.4976,0.49762,0.49624,0.49771,0.49771,0.49771
7,4,0.5095,0.5994,0.51031,0.36852,0.5095,0.5095,0.5095
7,5,0.496,0.49179,0.49543,0.43278,0.496,0.496,0.496
7,6,0.49343,0.49083,0.49301,0.46112,0.49343,0.49343,0.49343
7,7,0.503,0.66125,0.50385,0.3433,0.503,0.503,0.503
7,8,0.5115,0.64452,0.51232,0.36733,0.5115,0.5115,0.5115
7,9,0.49179,0.4869,0.49129,0.44499,0.49179,0.49179,0.49179
8,0,0.5165,0.52264,0.51604,0.4782,0.5165,0.5165,0.5165
8,1,0.50814,0.51686,0.5075,0.42851,0.50814,0.50814,0.50814
8,2,0.5185,0.63716,0.51929,0.38737,0.5185,0.5185,0.5185
8,3,0.53279,0.60809,0.5335,0.43586,0.53279,0.53279,0.53279
8,4,0.532,0.61187,0.53272,0.43193,0.532,0.532,0.532
8,5,0.50143,0.50691,0.50061,0.35355,0.50143,0.50143,0.50143
8,6,0.55243,0.59278,0.55299,0.499,0.55243,0.55243,0.55243
8,7,0.50029,0.4934,0.49946,0.35057,0.50029,0.50029,0.50029
8,8,0.51129,0.65665,0.51211,0.36543,0.51129,0.51129,0.51129
8,9,0.53593,0.59571,0.5366,0.45163,0.53593,0.53593,0.53593
9,0,0.55314,0.56334,0.55279,0.53357,0.55314,0.55314,0.55314
9,1,0.57657,0.6376,0.57714,0.52462,0.57657,0.57657,0.57657
9,2,0.51286,0.54962,0.51211,0.3988,0.51286,0.51286,0.51286
9,3,0.50079,0.48374,0.49993,0.33457,0.50079,0.50079,0.50079
9,4,0.51371,0.54655,0.51299,0.40625,0.51371,0.51371,0.51371
9,5,0.51471,0.65411,0.51553,0.37463,0.51471,0.51471,0.51471
9,6,0.50486,0.53972,0.50404,0.36081,0.50486,0.50486,0.50486
9,7,0.59307,0.60394,0.59335,0.58255,0.59307,0.59307,0.59307
9,8,0.53229,0.65226,0.53304,0.419,0.53229,0.53229,0.53229
9,9,0.503,0.64728,0.50385,0.34378,0.503,0.503,0.503
10,0,0.54921,0.58947,0.54864,0.49082,0.54921,0.54921,0.54921
10,1,0.62386,0.62386,0.62386,0.62386,0.62386,0.62386,0.62386
10,2,0.61993,0.62221,0.61981,0.61801,0.61993,0.61993,0.61993
10,3,0.51821,0.57748,0.51746,0.40194,0.51821,0.51821,0.51821
10,4,0.50771,0.56503,0.5069,0.36539,0.50771,0.50771,0.50771
10,5,0.60657,0.66366,0.60708,0.56958,0.60657,0.60657,0.60657
10,6,0.62264,0.65964,0.62305,0.59988,0.62264,0.62264,0.62264
10,7,0.50007,0.44631,0.49922,0.33589,0.50007,0.50007,0.50007
10,8,0.55429,0.67491,0.555,0.46255,0.55429,0.55429,0.55429
10,9,0.60579,0.65846,0.60628,0.57065,0.60579,0.60579,0.60579
11,0,0.51993,0.67371,0.52073,0.38503,0.51993,0.51993,0.51993
11,1,0.51486,0.60615,0.51406,0.37986,0.51486,0.51486,0.51486
11,2,0.57521,0.68729,0.57588,0.50139,0.57521,0.57521,0.57521
11,3,0.50086,0.50043,0.5,0.3346,0.50086,0.50086,0.50086
11,4,0.50093,0.51515,0.50007,0.33489,0.50093,0.50093,0.50093
11,5,0.61071,0.69023,0.61127,0.56591,0.61071,0.61071,0.61071
11,6,0.635,0.64309,0.63479,0.62955,0.635,0.635,0.635
11,7,0.53586,0.66991,0.53662,0.42316,0.53586,0.53586,0.53586
11,8,0.65771,0.68129,0.65802,0.64648,0.65771,0.65771,0.65771
11,9,0.50364,0.56571,0.5028,0.34675,0.50364,0.50364,0.50364
12,0,0.66893,0.67069,0.66884,0.668,0.66893,0.66893,0.66893
12,1,0.57243,0.68948,0.5731,0.49526,0.57243,0.57243,0.57243
12,2,0.50729,0.67127,0.50812,0.35398,0.50729,0.50729,0.50729
12,3,0.52957,0.6804,0.53035,0.40666,0.52957,0.52957,0.52957
12,4,0.6055,0.6515,0.60503,0.57251,0.6055,0.6055,0.6055
12,5,0.62886,0.65879,0.62848,0.61011,0.62886,0.62886,0.62886
12,6,0.64336,0.7008,0.64381,0.61631,0.64336,0.64336,0.64336
12,7,0.67979,0.68524,0.67993,0.67752,0.67979,0.67979,0.67979
12,8,0.65571,0.70101,0.65612,0.63551,0.65571,0.65571,0.65571
12,9,0.5555,0.68335,0.55621,0.46275,0.5555,0.5555,0.5555
13,0,0.69529,0.69584,0.69533,0.6951,0.69529,0.69529,0.69529
13,1,0.69286,0.69924,0.69301,0.69048,0.69286,0.69286,0.69286
13,2,0.50571,0.6181,0.50488,0.34918,0.50571,0.50571,0.50571
13,3,0.51693,0.68147,0.51774,0.37689,0.51693,0.51693,0.51693
13,4,0.68707,0.69296,0.68722,0.68477,0.68707,0.68707,0.68707
13,5,0.66693,0.70949,0.66731,0.64942,0.66693,0.66693,0.66693
13,6,0.50807,0.62665,0.50724,0.35566,0.50807,0.50807,0.50807
13,7,0.51779,0.63978,0.51698,0.38144,0.51779,0.51779,0.51779
13,8,0.53929,0.65631,0.53854,0.43185,0.53929,0.53929,0.53929
13,9,0.68243,0.68396,0.68235,0.6817,0.68243,0.68243,0.68243
14,0,0.52207,0.68421,0.52287,0.38872,0.52207,0.52207,0.52207
14,1,0.50029,0.44473,0.49943,0.33523,0.50029,0.50029,0.50029
14,2,0.68336,0.71094,0.68367,0.67288,0.68336,0.68336,0.68336
