round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.47786,0.47842,0.4867,0.42782,0.47786,0.47786,0.47786
1,1,0.48036,0.4783,0.47897,0.47552,0.48036,0.48036,0.48036
1,2,0.47893,0.47954,0.48037,0.47429,0.47893,0.47893,0.47893
1,3,0.48571,0.48172,0.48447,0.46492,0.48571,0.48571,0.48571
1,4,0.48036,0.48034,0.48034,0.48033,0.48036,0.48036,0.48036
1,5,0.50321,0.50101,0.50097,0.49685,0.50321,0.50321,0.50321
1,6,0.495,0.49491,0.49492,0.49485,0.495,0.495,0.495
1,7,0.48321,0.47984,0.48244,0.46555,0.48321,0.48321,0.48321
1,8,0.49536,0.49528,0.49566,0.485,0.49536,0.49536,0.49536
1,9,0.4925,0.49295,0.49305,0.49098,0.4925,0.4925,0.4925
2,0,0.47357,0.45907,0.46718,0.4422,0.47357,0.47357,0.47357
2,1,0.47786,0.47629,0.47675,0.47467,0.47786,0.47786,0.47786
2,2,0.48321,0.48307,0.48307,0.48307,0.48321,0.48321,0.48321
2,3,0.49071,0.49027,0.49038,0.48913,0.49071,0.49071,0.49071
2,4,0.48143,0.48132,0.48132,0.48131,0.48143,0.48143,0.48143
2,5,0.49571,0.49725,0.4973,0.49385,0.49571,0.49571,0.49571
2,6,0.49071,0.49094,0.49113,0.48826,0.49071,0.49071,0.49071
2,7,0.48429,0.48337,0.4839,0.47994,0.48429,0.48429,0.48429
2,8,0.495,0.49499,0.49524,0.48865,0.495,0.495,0.495
2,9,0.49179,0.4922,0.4923,0.49049,0.49179,0.49179,0.49179
3,0,0.47143,0.47111,0.4711,0.4711,0.47143,0.47143,0.47143
3,1,0.47464,0.47459,0.47459,0.47458,0.47464,0.47464,0.47464
3,2,0.47929,0.47986,0.48095,0.47299,0.47929,0.47929,0.47929
3,3,0.4925,0.49284,0.49306,0.4889,0.4925,0.4925,0.4925
3,4,0.48107,0.48107,0.48107,0.48106,0.48107,0.48107,0.48107
3,5,0.48964,0.49252,0.49336,0.47678,0.48964,0.48964,0.48964
3,6,0.49,0.48959,0.4897,0.48845,0.49,0.49,0.49
3,7,0.48357,0.48358,0.48358,0.48357,0.48357,0.48357,0.48357
3,8,0.49429,0.49406,0.49461,0.4823,0.49429,0.49429,0.49429
3,9,0.48429,0.48404,0.48408,0.48391,0.48429,0.48429,0.48429
4,0,0.48071,0.48333,0.4845,0.47331,0.48071,0.48071,0.48071
4,1,0.47929,0.47681,0.47772,0.47324,0.47929,0.47929,0.47929
4,2,0.47893,0.47884,0.48142,0.46389,0.47893,0.47893,0.47893
4,3,0.49071,0.49069,0.49069,0.49069,0.49071,0.49071,0.49071
4,4,0.48286,0.4829,0.4829,0.48286,0.48286,0.48286,0.48286
4,5,0.50143,0.50155,0.50155,0.50141,0.50143,0.50143,0.50143
4,6,0.49679,0.49717,0.49724,0.49375,0.49679,0.49679,0.49679
4,7,0.485,0.48465,0.4855,0.47801,0.485,0.485,0.485
4,8,0.49286,0.49279,0.49307,0.4881,0.49286,0.49286,0.49286
4,9,0.48929,0.48957,0.48963,0.48876,0.48929,0.48929,0.48929
5,0,0.47107,0.46641,0.46795,0.46301,0.47107,0.47107,0.47107
5,1,0.47929,0.4733,0.47654,0.46142,0.47929,0.47929,0.47929
5,2,0.49607,0.50154,0.50085,0.43553,0.49607,0.49607,0.49607
5,3,0.48571,0.48237,0.48458,0.46849,0.48571,0.48571,0.48571
5,4,0.49071,0.48551,0.48834,0.46319,0.49071,0.49071,0.49071
5,5,0.49893,0.49875,0.49875,0.49875,0.49893,0.49893,0.49893
5,6,0.49464,0.49369,0.494,0.48791,0.49464,0.49464,0.49464
5,7,0.49679,0.49386,0.49869,0.37524,0.49679,0.49679,0.49679
5,8,0.48536,0.48427,0.48511,0.47824,0.48536,0.48536,0.48536
5,9,0.47607,0.47459,0.47529,0.47196,0.47607,0.47607,0.47607
6,0,0.48321,0.48716,0.49183,0.43665,0.48321,0.48321,0.48321
6,1,0.4875,0.48889,0.49022,0.47309,0.4875,0.4875,0.4875
