round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.50043,0.64052,0.50128,0.33668,0.50043,0.50043,0.50043
2,0.47336,0.47279,0.47325,0.47108,0.47336,0.47336,0.47336
3,0.51179,0.66139,0.51261,0.36625,0.51179,0.51179,0.51179
4,0.46971,0.46956,0.46979,0.46874,0.46971,0.46971,0.46971
5,0.506,0.62252,0.50683,0.35406,0.506,0.506,0.506
6,0.46386,0.46365,0.46393,0.46286,0.46386,0.46386,0.46386
7,0.49936,0.60677,0.50021,0.33368,0.49936,0.49936,0.49936
8,0.49421,0.48381,0.49355,0.40423,0.49421,0.49421,0.49421
9,0.49936,0.58296,0.50021,0.33381,0.49936,0.49936,0.49936
10,0.49986,0.37518,0.499,0.33416,0.49986,0.49986,0.49986
11,0.49929,0.62461,0.50014,0.3334,0.49929,0.49929,0.49929
12,0.50071,0.25039,0.49986,0.33365,0.50071,0.50071,0.50071
13,0.49929,0.74961,0.50014,0.33327,0.49929,0.49929,0.49929
14,0.50071,0.25039,0.49986,0.33365,0.50071,0.50071,0.50071
15,0.49921,0.5353,0.50007,0.33349,0.49921,0.49921,0.49921
16,0.50071,0.25039,0.49986,0.33365,0.50071,0.50071,0.50071
17,0.49929,0.62461,0.50014,0.3334,0.49929,0.49929,0.49929
18,0.50029,0.41695,0.49943,0.33447,0.50029,0.50029,0.50029
19,0.49921,0.5353,0.50007,0.33349,0.49921,0.49921,0.49921
20,0.50079,0.41708,0.49993,0.33381,0.50079,0.50079,0.50079
21,0.49929,0.56211,0.50014,0.33365,0.49929,0.49929,0.49929
22,0.50043,0.4562,0.49958,0.3353,0.50043,0.50043,0.50043
23,0.49929,0.56211,0.50014,0.33365,0.49929,0.49929,0.49929
24,0.50029,0.44473,0.49943,0.33523,0.50029,0.50029,0.50029
25,0.49936,0.58296,0.50021,0.33381,0.49936,0.49936,0.49936
26,0.50036,0.4503,0.4995,0.33526,0.50036,0.50036,0.50036
27,0.49936,0.58296,0.50021,0.33381,0.49936,0.49936,0.49936
28,0.50079,0.49587,0.49994,0.33709,0.50079,0.50079,0.50079
29,0.49936,0.58296,0.50021,0.33381,0.49936,0.49936,0.49936
30,0.50029,0.44473,0.49943,0.33523,0.50029,0.50029,0.50029
31,0.49936,0.58296,0.50021,0.33381,0.49936,0.49936,0.49936
32,0.50064,0.48507,0.49979,0.33652,0.50064,0.50064,0.50064
33,0.49936,0.60677,0.50021,0.33368,0.49936,0.49936,0.49936
34,0.5005,0.47127,0.49965,0.33596,0.5005,0.5005,0.5005
35,0.49936,0.58296,0.50021,0.33381,0.49936,0.49936,0.49936
36,0.50029,0.44765,0.49943,0.33536,0.50029,0.50029,0.50029
37,0.49936,0.60677,0.50021,0.33368,0.49936,0.49936,0.49936
38,0.50086,0.50043,0.50001,0.33737,0.50086,0.50086,0.50086
39,0.49936,0.58296,0.50021,0.33381,0.49936,0.49936,0.49936
40,0.50814,0.57911,0.50733,0.36316,0.50814,0.50814,0.50814
41,0.49936,0.58296,0.50021,0.33381,0.49936,0.49936,0.49936
42,0.50064,0.48507,0.49979,0.33652,0.50064,0.50064,0.50064
43,0.49936,0.58296,0.50021,0.33381,0.49936,0.49936,0.49936
44,0.50143,0.52497,0.50058,0.33962,0.50143,0.50143,0.50143
45,0.49936,0.60677,0.50021,0.33368,0.49936,0.49936,0.49936
46,0.50121,0.51864,0.50037,0.33853,0.50121,0.50121,0.50121
47,0.49936,0.58296,0.50021,0.33381,0.49936,0.49936,0.49936
48,0.50421,0.56693,0.50338,0.34918,0.50421,0.50421,0.50421
49,0.49936,0.58296,0.50021,0.33381,0.49936,0.49936,0.49936
50,0.52443,0.57014,0.52373,0.42969,0.52443,0.52443,0.52443
